code_WWTP,name_WWTP,Year,capacity,name_commune,PE_bin,DBO5_in,DCO_in,MES_in,NGL_in,NTK_in,NO3_in,NO2_in,Pt_in,DBO5_out,DCO_out,MES_out,NGL_out,NTK_out,NO3_out,NO2_out,Pt_out,DBO5_yield,DCO_yield,MES_yield,NGL_yield,Pt_yield
039300701000,Seine Morée,2015,300000,BLANC-MESNIL,> 100 000 PE,3710,8670,5030,857,844,10.5,2.89,97.4,14.8,191,25.1,101,11,31734.46662086228,1085.3478982108363,2.34,99.60107816711592,97.79700115340255,99.50099403578528,88.2147024504084,97.59753593429159
037862401000,Seine Grésillons,2015,371666,TRIEL-SUR-SEINE,> 100 000 PE,41000,99900,47300,11500,11400,96.9,20.6,1190,902,5900,994,2970,365,850275.6604612031,100519.31775557945,133,97.8,94.09409409409409,97.8985200845666,74.17391304347827,88.8235294117647
037800501000,Seine Aval,2015,7500000,ACHERES,> 100 000 PE,239000,613000,353000,69600,69600,0,0,7730,17400,86500,30300,33600,19400,4800102.172121633,367737.31513015914,1480,92.71966527196652,85.88907014681892,91.41643059490086,51.72413793103448,80.85381630012937
039202501000,Seine Centre,2015,900000,COLOMBES,> 100 000 PE,30200,73300,35000,7270,7000,160,106,770,603,3590,630,2100,287,612720.7979032915,48745.84988001682,62.3,98.00331125827815,95.10231923601637,98.2,71.11416781292985,91.9090909090909
039305101000,Marne Aval,2015,550000,NOISY-LE-GRAND,> 100 000 PE,13600,31300,18200,3180,3130,38.1,13.8,379,353,1940,581,507,178,97379.12757488116,22463.78874665895,24.6,97.40441176470588,93.80191693290735,96.8076923076923,84.0566037735849,93.50923482849605
039407401000,Seine Amont,2015,3600000,VALENTON,> 100 000 PE,123000,281000,156000,26400,26300,29.4,30.7,2960,2210,12900,4820,7900,948,2528218.231973319,10784.664732320483,663,98.20325203252033,95.40925266903915,96.91025641025641,70.07575757575756,77.60135135135135
033501802000,LA BAZOUGE DU DESERT,2015,750,BAZOUGE-DU-DESERT,200 - 2 000 PE,19.2,43.6,21.8,3.83,3.83,NA,NA,0.61,3.83,10.9,2.18,NA,0.767,NA,NA,0.427,80.05208333333333,75,90,NA,30.000000000000004
0435162S0001,LOUVIGNE-DU-DESERT,2015,4000,LOUVIGNE-DU-DESERT,2 000 - 10 000 PE,162,435,212,31.3,31.3,NA,NA,3.72,2.43,20.9,2.97,NA,1.72,NA,NA,0.499,98.5,95.19540229885057,98.59905660377358,NA,86.58602150537634
031469902000,TOUQUES Deauville Biosep,2015,115000,TOUQUES,> 100 000 PE,3320,4990,2560,487,474,11.7,1.34,66.9,73,265,38.4,69.4,38.9,9879.43306583502,1345.8310229202068,9.16,97.8012048192771,94.68937875751503,98.5,85.74948665297741,86.30792227204783
031402201000,ASNELLES,2015,6000,ASNELLES,2 000 - 10 000 PE,55.4,168,90.1,18.7,18.3,0.411,0.0103,2.08,1.22,21.3,26.5,1.68,1.55,32.61439821375939,11.445160667370512,0.865,97.79783393501805,87.32142857142857,70.58823529411764,91.01604278074866,58.41346153846154
