Year,capacity,nb_WWTP,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1992,5.78,330,3.56,3.57,13.1,13.1,NA,NA,NA,NA,78.9,78.9,2.36,2.37,8.24,8.69,NA,NA,NA,NA,14.5,14.5,33,34,NA,NA,82,3.67,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6900000000000002,1.1199999999999999,6.22,4.13,NA,NA,NA,NA,37.400000000000006,6.88
1993,5.94,339,2.99,3.29,13.5,13.5,NA,NA,NA,NA,77.4,77.4,1.96,2.13,7.37,9.09,NA,NA,NA,NA,15,15,34,35,NA,NA,81,4.21,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,0.9890000000000001,6.22,4.0600000000000005,NA,NA,NA,NA,35.7,6.94
1994,5.98,345,3.14,3.13,13.5,13.5,NA,NA,NA,NA,77.5,77.4,2.05,2.05,7.03,8.67,NA,NA,NA,NA,13.9,13.9,37,35,NA,NA,82,4.29,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4400000000000002,0.9380000000000001,6.159999999999999,3.81,NA,NA,NA,NA,35.5,6.35
1995,6.01,350,3.02,3.02,13.4,13.4,NA,NA,NA,NA,71.7,71.9,1.96,1.95,6.65,8.57,NA,NA,NA,NA,12.8,12.8,39,35,NA,NA,82,4.45,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.892,6.13,3.7,NA,NA,NA,NA,32.800000000000004,5.83
1996,6.18,365,3.02,3.02,13.8,13.8,NA,NA,NA,NA,70.8,70.9,1.79,1.79,8.21,8.23,NA,NA,NA,NA,11.5,11.5,40,41,NA,NA,84,4.58,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.7929999999999999,6.13,3.65,NA,NA,NA,NA,31.5,5.1000000000000005
1997,6.3,375,2.87,2.88,14.4,14.4,NA,NA,NA,NA,71.6,72,1.6,1.6,6.15,7.31,NA,NA,NA,NA,11.8,11.8,50,45,NA,NA,84,5,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.695,6.26,3.04,NA,NA,NA,NA,31.3,5.12
1998,6.32,381,2.65,2.65,14,14,NA,NA,NA,NA,73,73.5,1.43,1.43,5.56,6.55,NA,NA,NA,NA,10.9,10.9,54,46,NA,NA,86,5.28,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.622,6.08,2.7399999999999998,NA,NA,NA,NA,31.8,4.71
1999,6.3,384,2.44,2.73,13.9,14.3,NA,NA,NA,NA,78.3,80.8,1.44,1.47,5.48,6.77,NA,NA,NA,NA,11.6,11.8,55,49,NA,NA,86,5.31,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1800000000000002,0.64,6.22,2.84,NA,NA,NA,NA,35.2,5.159999999999999
2000,6.34,391,2.35,2.63,13.1,14.3,NA,NA,NA,NA,81.3,81.7,1.38,1.38,5.32,6.38,NA,NA,NA,NA,12.7,12.7,61,50,NA,NA,85,5.47,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,0.598,6.14,2.69,NA,NA,NA,NA,35.3,5.4799999999999995
2001,6.29,401,2.4,2.49,13.8,13.8,NA,NA,NA,NA,75.6,76.2,1.41,1.41,6.75,6.87,NA,NA,NA,NA,12.6,12.6,50,42,NA,NA,84,5.71,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.6130000000000001,6.0200000000000005,3.0100000000000002,NA,NA,NA,NA,33.2,5.47
