Year,capacity,nb_WWTP,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1996,5.25,423,2.79,2.78,13.1,13.1,69.3,69.4,157,157,69.5,69.6,1.23,1.24,4.5,5.33,6.28,6.32,21.3,21.5,7.45,7.48,61,55,91,86,89,4.71,4.57,5.29,1.16,24.9,5.09,12,4,56.2,17.3,2.26,3.4,1.45,0.647,6.84,2.77,36.2,3.29,81.8,11.2,36.3,3.9
1997,5.35,429,2.6,2.6,12.9,12.9,65.9,66,151,151,68.3,68.4,1.05,1.06,4.93,5.3,5.79,5.81,20.5,20.6,8.21,8.25,58,59,91,86,88,4.96,5.24,5.12,0.986,25.4,5.5,11.7,3.63,58.2,19.5,2.29,3.55,1.33,0.541,6.6,2.7,33.8,2.98,77.5,10.6,35,4.22
1998,5.5,446,2.64,2.64,15,15,76.5,76.5,173,173,78.5,78.5,1,1.01,5.52,5.69,4.82,4.84,20.8,20.9,6.5,6.53,62,62,94,88,92,5.67,5.65,5.11,0.825,29,4.81,11.6,3.62,65.8,20.7,2.27,4.31,1.31,0.501,7.4,2.81,37.900000000000006,2.33,85.9,10.200000000000001,38.9,3.2
1999,5.57,435,2.74,2.73,14.8,14.8,75.4,75.4,175,175,83,83,1,1,5.46,5.5,5.43,5.46,23.6,23.7,8.79,8.82,63,63,93,86,89,5.42,5.48,5.08,0.966,27.6,5.43,11.8,4.24,63.9,23.6,2.32,4.34,1.34,0.494,7.25,2.69,36.900000000000006,2.64,85.3,11.5,40.599999999999994,4.32
2000,5.62,448,2.57,2.57,14.7,14.7,76.1,76,172,172,84,84,0.925,0.927,5.62,5.67,4.5,4.5,21.5,21.5,7.64,7.65,61,64,94,87,91,5.73,6.21,5.17,0.769,29.6,4.86,11.7,3.71,67,23.2,2.26,4.78,1.25,0.451,7.14,2.75,36.900000000000006,2.15,83.4,10.4,40.7,3.7
2001,5.66,469,2.45,2.45,15.2,15.2,69.3,69.3,168,168,83.6,83.5,0.908,0.907,5.54,5.61,4.34,4.35,20.6,20.6,7.51,7.51,63,63,94,88,91,6.19,6.18,4.57,0.771,28.3,4.78,11.1,3.66,68.8,22.7,2.43,4.74,1.1800000000000002,0.439,7.3,2.7,33.4,2.06,81.10000000000001,9.84,40.300000000000004,3.6
2002,5.67,442,2.3,2.32,14.9,14.9,71.3,71.5,167,167,80.6,80.6,0.758,0.761,5.34,5.37,4.08,4.09,19.8,19.8,6.61,6.61,64,67,94,88,92,6.44,6.85,4.79,0.75,30.9,5.36,11.2,3.64,72.4,25.8,2.35,4.83,1.1199999999999999,0.367,7.19,2.5799999999999996,34.4,1.91,80.5,9.4,38.800000000000004,3.15
2003,6.02,499,2.35,2.35,16,16,79.4,79.5,180,180,84.8,84.7,0.658,0.658,4.88,4.93,3.92,3.93,20,20,6.93,6.92,69,72,95,89,92,6.79,7.79,4.97,0.691,33.8,5.96,11.3,3.76,76.7,30.3,2.27,5.09,1.07,0.299,7.26,2.2399999999999998,36.1,1.75,82,9.01,38.5,3.14
2004,6.02,509,2.3,2.3,16.2,16.2,77.5,77.5,179,179,84.5,84.5,0.552,0.553,4.59,4.61,3.01,3.01,16.3,16.3,4.91,4.9,72,76,96,91,94,7.02,8.38,4.79,0.642,33.6,5.46,11.1,3.51,77.9,29.6,2.32,5.42,1.05,0.251,7.34,2.0799999999999996,35.2,1.34,81.4,7.35,38.3,2.22
2005,6.1,525,2.33,2.33,15.9,15.9,75.6,75.7,179,179,83.7,83.7,0.455,0.455,3.59,3.61,3.18,3.18,16.2,16.2,5.6,5.59,77,80,96,91,93,6.83,8.04,4.76,0.814,32.5,7,11.3,4.3,77,35.6,2.37,5.08,1.0399999999999998,0.204,7.13,1.61,33.9,1.38,80.3,7.17,37.6,2.5
