Year,capacity,nb_WWTP,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2005,15.1,1034,5.01,5.59,33.9,38.2,155,173,364,405,168,187,1.02,1.18,6.72,7.74,4.78,5.4,26.4,30.6,7.11,8.1,78,77,97,92,95,6.85,6.68,4.53,0.686,31,4.68,10.6,3.85,72.6,25.8,2.34,5.52,0.914,0.17,6.22,1.02,28.299999999999997,0.6130000000000001,66.5,4.24,30.5,1.05
2006,15.8,1547,5.22,5.83,36,40.5,159,178,377,423,176,196,1.14,1.26,7.47,8.33,4.83,5.26,29.1,32.2,8.68,9.51,79,77,97,92,95,7.05,6.7,4.37,0.63,30.4,4.23,10.4,3.8,72.2,25.5,2.37,6.03,0.9169999999999999,0.18000000000000002,6.34,1.08,27.900000000000002,0.626,66.3,4.45,30.700000000000003,1.26
2007,16.6,1957,5.71,5.97,39.2,42,174,181,421,439,205,214,1.29,1.33,8.5,8.98,4.86,4.97,31.7,32.5,8.85,9.04,78,78,97,93,96,7.06,7.1,4.31,0.547,30.4,3.75,10.4,3.54,73.5,24.5,2.42,6.52,0.9079999999999999,0.182,6.39,1.22,27.599999999999998,0.621,66.69999999999999,4.53,32.4,1.1900000000000002
2008,17.2,2230,5.8,5.9,40.9,42.1,179,180,436,440,216,218,1.21,1.24,8.36,8.69,4.54,4.59,32.7,33,9.35,9.45,79,79,97,93,96,7.15,7.09,4.27,0.521,30.5,3.7,10.4,3.77,74.5,26.7,2.44,7.21,0.891,0.17200000000000001,6.35,1.22,27.3,0.6449999999999999,66.8,4.8,33,1.33
2009,17.4,2283,5.64,5.91,41.6,44.1,169,177,416,435,204,214,1.09,1.11,6.89,7.17,3.87,3.91,29.4,29.7,7.9,8,84,82,98,93,96,7.46,6.52,3.98,0.538,29.9,3.53,9.77,4.12,73.4,26.9,2.45,7.6,0.886,0.153,6.64,0.9859999999999999,26.5,0.5379999999999999,65.10000000000001,4.2700000000000005,32,1.09
2010,17.7,2520,5.52,5.72,40.2,43.5,175,181,430,444,214,222,1.03,1.05,7.19,7.5,4.29,4.37,30.7,31.3,7.66,7.81,83,81,98,93,96,7.63,7.13,4.12,0.581,31.6,4.14,10.1,4.17,77.7,29.7,2.46,7.17,0.855,0.149,6.49,1.06,27.099999999999998,0.631,66.5,4.58,33.2,1.1199999999999999
2011,17.8,2531,5.32,5.39,41.2,42.2,174,176,421,425,207,209,0.905,0.918,6.3,6.5,3.44,3.47,26.6,26.8,6.7,6.77,85,83,98,94,97,7.85,7.08,4.11,0.533,32.7,3.79,9.96,4.13,79,29.3,2.42,7.75,0.8069999999999999,0.12999999999999998,6.35,0.928,26.4,0.499,64,3.93,31.4,0.966
2012,18.3,2634,5.57,5.63,42.8,44.2,176,178,434,438,214,216,0.939,0.962,6.66,6.91,3.8,3.88,29.7,30.2,7.88,8.1,84,83,98,93,96,7.87,7.21,3.99,0.557,31.6,4.04,9.82,4.37,77.9,31.6,2.46,7.82,0.828,0.136,6.52,0.9810000000000001,26.200000000000003,0.5519999999999999,64.5,4.37,31.9,1.14
2013,18.5,2827,5.51,5.57,43.8,44.9,178,180,438,442,218,219,0.869,0.886,6.94,7.2,3.92,3.98,29.6,30,7.65,7.8,84,84,98,93,96,8.06,8.19,4,0.55,32.3,4.5,9.82,4.16,79.5,34,2.46,7.56,0.816,0.127,6.590000000000001,1.0399999999999998,26.4,0.5670000000000001,64.9,4.34,32.2,1.1
2014,18.5,2874,5.7,5.75,45.1,46.2,182,183,450,453,227,228,0.885,0.9,6.84,7.3,3.91,3.96,28.4,28.6,7.37,7.49,84,85,98,94,97,7.93,8.23,3.94,0.541,31.9,4.38,9.76,3.94,78.9,32,2.47,7.26,0.844,0.12999999999999998,6.8,1.07,26.9,0.574,66.60000000000001,4.18,33.6,1.08
2015,18.8,3033,5.78,5.8,44.8,45.8,185,185,454,455,225,226,0.817,0.832,6.42,6.62,3.47,3.5,26.4,26.7,6.44,6.54,86,86,98,94,97,7.86,8.06,4.02,0.526,31.9,4.24,9.9,4.03,78.5,32.3,2.46,7.63,0.844,0.11900000000000001,6.66,0.9560000000000001,27,0.504,66.3,3.8600000000000003,32.800000000000004,0.939
2016,18.8,2990,5.78,5.81,45.7,46.5,188,188,462,463,230,231,0.81,0.824,7.21,7.48,3.61,3.65,27.1,27.3,7.03,7.14,84,86,98,94,97,7.97,9.08,4.04,0.493,32.4,4.46,9.95,3.68,79.9,33.4,2.46,7.5,0.844,0.118,6.75,1.08,27.400000000000002,0.526,67.4,3.95,33.6,1.03
