Year,capacity,nb_WWTP,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2000,7.62,2948,3.97,3.98,21.4,21.4,107,107,245,246,114,114,1.98,1.99,13.6,13.6,12,12,41,41,16.9,17,37,50,89,83,85,5.37,6.83,5,0.881,26.9,6.03,11.5,3.02,61.6,20.7,2.29,3.43,1.1,0.546,6.04,3.47,29.6,2.85,68.6,10.4,30.599999999999998,4.35
2001,7.89,3097,3.97,3.97,21.9,22,108,108,249,249,118,118,1.94,1.95,15.7,15.7,10.4,10.4,39.1,39.2,15.6,15.6,28,51,90,84,87,5.52,8.05,4.9,0.664,27.1,5.34,11.3,2.49,62.6,20.1,2.31,3.76,1.05,0.524,6.029999999999999,4.17,29.7,2.3600000000000003,68.7,9.74,32.2,3.87
2002,8.04,3182,4.13,4.14,23.6,23.7,113,114,258,258,120,120,1.77,1.79,13.9,13.9,10.8,10.8,40.3,40.3,16.8,16.8,41,57,90,84,86,5.72,7.82,4.79,0.78,27.4,6.08,10.9,2.9,62.3,22.6,2.27,3.72,1.13,0.46900000000000003,6.4799999999999995,3.5,31.099999999999998,2.44,70.1,9.790000000000001,32.099999999999994,4.26
2003,8.24,3261,3.82,3.84,22.8,22.8,112,112,257,257,120,120,1.57,1.58,11.4,11.4,9.74,9.75,34.7,34.7,13.5,13.6,50,59,91,87,89,5.95,7.25,4.92,0.855,29.3,6.18,11.3,3.03,67.1,22,2.29,3.56,1.02,0.4,6.2,2.92,30.5,2.18,70.2,8.24,32.2,3.22
2004,8.55,3371,3.95,3.97,24.1,24.2,116,116,272,273,133,133,1.59,1.6,11.1,11.1,9.5,9.52,37.8,37.9,15.4,15.5,54,60,92,86,88,6.09,6.92,4.79,0.86,29.2,5.95,11.3,3.42,68.8,23.7,2.35,3.98,1.07,0.40900000000000003,6.4799999999999995,2.7,31.4,2.16,73.4,9.209999999999999,35.1,3.78
2005,8.98,3498,3.75,3.75,24,24,113,113,262,262,122,122,1.32,1.34,10.4,10.4,7.83,7.84,31.5,31.5,11.4,11.4,57,65,93,88,91,6.4,7.82,4.69,0.751,30,5.88,10.9,3.02,69.7,23.7,2.32,4.02,1,0.345,6.43,2.6,30.200000000000003,1.73,70.9,7.77,32.300000000000004,2.78
2006,9.28,3632,3.85,3.86,26.1,26.1,117,117,272,273,131,131,1.35,1.37,11.4,11.4,7.84,7.85,32.5,32.5,12,12,56,65,93,88,91,6.77,8.33,4.48,0.69,30.4,5.75,10.4,2.86,70.6,23.9,2.33,4.14,0.995,0.35300000000000004,6.57,2.81,30.200000000000003,1.77,70.5,7.9,33.099999999999994,2.9499999999999997
2007,10.4,3892,4.01,4.02,27.7,27.8,119,120,277,278,134,134,1.47,1.48,11.8,11.8,8.13,8.15,33.4,33.4,12.1,12.2,57,63,93,88,91,6.91,8,4.3,0.686,29.7,5.49,10,2.82,69.1,22.6,2.32,4.11,0.9510000000000001,0.33799999999999997,6.88,2.76,28.8,1.74,67.2,7.63,31.2,2.8
2008,10.6,3853,3.62,3.63,25.3,25.3,109,109,258,258,121,121,1.27,1.27,9.77,10,6.58,6.59,29.7,29.7,10.8,10.8,61,65,94,89,91,6.98,7.95,4.3,0.66,30,5.19,10.2,2.95,71.3,23.4,2.37,4.51,0.902,0.319,6.42,2.49,27.599999999999998,1.6,65.5,7.36,30.8,2.63
2009,11,3942,3.58,3.6,26.2,26.4,110,110,259,260,122,123,1.19,1.2,9.84,10.2,6.07,6.11,28.6,28.8,10.1,10.1,62,67,94,89,92,7.33,8.58,4.18,0.595,30.7,5.09,9.88,2.77,72.4,24,2.36,4.71,0.9,0.3,6.6,2.54,27.599999999999998,1.5299999999999998,65.19999999999999,7.19,30.700000000000003,2.5300000000000002
2010,11.2,3987,3.48,3.5,26.6,26.8,108,109,261,262,122,123,1.18,1.18,9.84,10.2,5.65,5.68,28.1,28.3,9.13,9.16,62,66,95,89,93,7.65,8.77,4.06,0.553,31,4.79,9.79,2.71,74.9,23.9,2.41,4.98,0.858,0.29100000000000004,6.57,2.5100000000000002,26.599999999999998,1.39,64.3,6.94,30.099999999999998,2.25
2011,11.2,4053,3.41,3.43,26.1,26.2,107,107,261,262,123,123,1.11,1.12,9.27,9.61,5.12,5.14,25.8,25.8,8.04,8.08,64,67,95,90,93,7.63,8.73,4.09,0.533,31.2,4.6,10,2.66,76.4,23.2,2.45,5.04,0.8360000000000001,0.272,6.38,2.33,26.1,1.25,63.9,6.32,30.099999999999998,1.97
2012,11.6,4106,3.31,3.34,27,27.1,108,108,267,269,125,126,1.13,1.13,9.44,9.8,4.18,4.21,24,24.1,6.7,6.74,64,66,96,91,95,8.16,8.8,3.99,0.424,32.5,3.71,9.9,2.4,80.7,21.3,2.48,5.74,0.785,0.26699999999999996,6.41,2.3,25.5,0.992,63.4,5.7,29.7,1.59
2013,11.6,4171,3.4,3.42,27.5,27.7,108,109,269,270,129,129,1.13,1.14,10.5,10.9,4.53,4.55,25.1,25.2,7.16,7.2,61,67,96,91,94,8.11,9.64,3.94,0.417,31.9,3.99,9.75,2.28,79.1,22.1,2.48,5.55,0.804,0.26899999999999996,6.52,2.54,25.7,1.07,63.6,5.94,30.5,1.6900000000000002
2014,11.8,4268,3.48,3.49,28.1,28.1,112,112,278,278,135,136,1.21,1.21,10.4,10.8,4.57,4.58,24.3,24.4,7.39,7.4,62,65,96,91,95,8.07,9.05,4,0.413,32.2,3.78,9.88,2.19,79.7,20.1,2.47,5.32,0.8109999999999999,0.28200000000000003,6.54,2.5,26.200000000000003,1.07,64.60000000000001,5.67,31.5,1.72
2015,12,4437,3.42,3.44,28.2,28.3,110,111,276,277,130,130,1.16,1.17,10.1,10.5,3.97,3.99,21.9,22,6.14,6.16,63,66,96,92,95,8.23,9.13,3.91,0.375,32.2,3.42,9.78,2.08,80.5,18.9,2.5,5.53,0.787,0.26699999999999996,6.4799999999999995,2.39,25.4,0.9129999999999999,63.4,5.05,29.9,1.41
2016,12,4485,3.4,3.41,28.6,28.7,109,110,276,276,135,135,1.09,1.09,10.2,10.3,3.99,4,23,23,6.43,6.44,64,68,96,92,95,8.41,9.6,3.82,0.383,32.2,3.66,9.64,2.15,81.1,21.1,2.52,5.75,0.778,0.24899999999999997,6.54,2.3600000000000003,25,0.914,63.1,5.25,31,1.47
2017,11.9,4487,3.49,3.48,28.6,28.6,111,111,278,279,133,133,1.08,1.08,10.3,10.5,3.78,3.79,21.8,21.8,6.17,6.18,63,69,97,92,95,8.21,9.77,3.89,0.36,31.9,3.51,9.74,2.02,79.9,20.2,2.5,5.75,0.8009999999999999,0.248,6.57,2.4,25.6,0.869,64,5,30.599999999999998,1.42
2018,12,4531,3.45,3.46,29.2,29.3,107,107,271,272,132,132,1.14,1.14,11.1,11.2,4.16,4.17,23.4,23.4,6.89,6.9,62,67,96,91,95,8.47,9.87,3.65,0.37,30.9,3.66,9.28,2.06,78.6,20.5,2.54,5.61,0.789,0.25999999999999995,6.6899999999999995,2.5500000000000003,24.400000000000002,0.9520000000000001,62.1,5.34,30.099999999999998,1.57
2019,12,4553,3.5,3.51,29.9,30,110,110,278,278,134,135,1.13,1.14,11,11.2,4.33,4.35,23.5,23.6,6.98,7,63,68,96,92,95,8.55,9.88,3.68,0.386,31.5,3.82,9.28,2.09,79.3,20.8,2.52,5.43,0.8009999999999999,0.259,6.8500000000000005,2.5500000000000003,25.2,0.9909999999999999,63.5,5.38,30.8,1.6
2020,11.9,4549,3.42,3.42,29.7,29.7,110,110,277,276,134,134,1.12,1.13,10.9,11.1,4.02,4.02,22.7,22.7,6.71,6.72,63,67,96,92,95,8.7,9.88,3.69,0.362,32.1,3.58,9.31,2.03,81,20.2,2.53,5.64,0.785,0.258,6.83,2.5300000000000002,25.2,0.923,63.6,5.2,30.700000000000003,1.5399999999999998
