Year,basin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2007,Artois-Picardie,NA,NA,NA,NA,NA,NA,NA,5.461871,413
2007,Rhin-Meuse,NA,NA,NA,NA,NA,NA,NA,6.057171,493
2007,Seine-Normandie,NA,NA,NA,NA,NA,NA,NA,23.441358,2170
2007,Loire-Bretagne,NA,NA,NA,NA,NA,NA,NA,17.05642,5394
2007,Adour-Garonne,NA,NA,NA,NA,NA,NA,NA,9.182242,2681
2007,Rhône-Méditerranée,NA,NA,NA,NA,NA,NA,NA,22.15954,3905
2008,Artois-Picardie,NA,NA,NA,NA,NA,NA,NA,5.565802,426
2008,Rhin-Meuse,NA,NA,NA,NA,NA,NA,NA,6.335545,518
2008,Seine-Normandie,NA,NA,NA,NA,NA,NA,NA,23.831052,2239
2008,Loire-Bretagne,NA,NA,NA,NA,NA,NA,NA,17.610953,5636
2008,Adour-Garonne,NA,NA,NA,NA,NA,NA,NA,9.480947,2888
2008,Rhône-Méditerranée,NA,NA,NA,NA,NA,NA,NA,23.36161,4127
2009,Artois-Picardie,NA,NA,NA,NA,NA,NA,NA,5.793891,439
2009,Rhin-Meuse,NA,NA,NA,NA,NA,NA,NA,6.399985,544
2009,Seine-Normandie,NA,NA,NA,NA,NA,NA,NA,24.56876,2303
2009,Loire-Bretagne,NA,NA,NA,NA,NA,NA,NA,18.447464,5832
2009,Adour-Garonne,NA,NA,NA,NA,NA,NA,NA,9.99527,3038
2009,Rhône-Méditerranée,NA,NA,NA,NA,NA,NA,NA,24.241678,4299
2010,Artois-Picardie,NA,NA,NA,NA,NA,NA,NA,5.848599,447
2010,Rhin-Meuse,NA,NA,NA,NA,NA,NA,NA,6.481175,586
2010,Seine-Normandie,NA,NA,NA,NA,NA,NA,NA,25.164858,2360
2010,Loire-Bretagne,NA,NA,NA,NA,NA,NA,NA,18.76616,5969
2010,Adour-Garonne,NA,NA,NA,NA,NA,NA,NA,10.356022,3185
2010,Rhône-Méditerranée,NA,NA,NA,NA,NA,NA,NA,25.179306,4453
2011,Artois-Picardie,NA,NA,NA,NA,NA,NA,NA,5.887759,462
