Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1992,2.5e-4,2,0 - 200 PE,4.38e-5,1.1e-4,2.19e-4,2.2e-4,NA,NA,NA,NA,0.00175,0.00175,2.19e-5,5e-5,0,0,NA,NA,NA,NA,7.48e-4,7.5e-4,NA,50,NA,NA,57,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.6,2.4,NA,NA,NA,NA,NA,19.2,8.200000000000001
1992,0.0957,99,200 - 2 000 PE,0.064,0.07608,0.257,0.25781,NA,NA,NA,NA,0.99,1.00363,0.0366,0.04298,0.079,0.1328,NA,NA,NA,NA,0.212,0.212,47,43,NA,NA,80,3.52,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1.23,7.37,3.8,NA,NA,NA,NA,28.7,6.0600000000000005
1992,0.631,139,2 000 - 10 000 PE,0.417,0.41866,1.42,1.42542,NA,NA,NA,NA,6.77,6.77,0.294,0.294,0.649,0.71579,NA,NA,NA,NA,0.887,0.887,50,30,NA,NA,87,3.38,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,1.28,6.17,3.1,NA,NA,NA,NA,29.4,3.85
1992,1.94,74,10 000 - 100 000 PE,1.15,1.15,3.79,3.79,NA,NA,NA,NA,24.9,24.9,0.779,0.779,2.13,2.20226,NA,NA,NA,NA,3.66,3.66,40,32,NA,NA,85,3.31,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6199999999999999,1.1,5.37,3.12,NA,NA,NA,NA,35.2,5.19
1992,3.11,16,> 100 000 PE,1.93,1.93,7.64,7.64,NA,NA,NA,NA,46.2,46.2,1.25,1.25,5.38,5.63641,NA,NA,NA,NA,9.73,9.73,27,35,NA,NA,79,3.96,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.1,6.720000000000001,4.96,NA,NA,NA,NA,40.7,8.57
1993,2.5e-4,2,0 - 200 PE,0,0,1.46e-4,3.6e-4,NA,NA,NA,NA,0.00106,0.00265,0,0,1.02e-4,2.6e-4,NA,NA,NA,NA,0.0012,0.0012,30,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.8,NA,NA,NA,NA,29,13.2
1993,0.0992,103,200 - 2 000 PE,0.0616,0.08131,0.269,0.26982,NA,NA,NA,NA,1.08,1.09435,0.0322,0.0425,0.135,0.14053,NA,NA,NA,NA,0.184,0.184,46,48,NA,NA,84,3.55,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,1.1800000000000002,7.45,3.8800000000000003,NA,NA,NA,NA,30.3,5.07
1993,0.632,139,2 000 - 10 000 PE,0.201,0.37111,1.3,1.3,NA,NA,NA,NA,6.19,6.19,0.116,0.21417,0.685,0.73563,NA,NA,NA,NA,0.83,0.83,44,42,NA,NA,87,4.21,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,0.9259999999999999,5.6499999999999995,3.19,NA,NA,NA,NA,26.8,3.6
1993,2.09,79,10 000 - 100 000 PE,0.917,1.02278,4.09,4.09,NA,NA,NA,NA,25.1,25.1,0.58,0.63874,2.37,2.43634,NA,NA,NA,NA,3.68,3.68,40,38,NA,NA,85,4.05,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,0.8350000000000001,5.35,3.19,NA,NA,NA,NA,32.9,4.81
1993,3.11,16,> 100 000 PE,1.81,1.81,7.82,7.82,NA,NA,NA,NA,45,45,1.23,1.23,4.18,5.77584,NA,NA,NA,NA,10.3,10.3,28,32,NA,NA,77,4.32,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.08,6.88,5.08,NA,NA,NA,NA,39.6,9.11
