Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1996,0.00173,12,0 - 200 PE,0.00162,0.00162,0.00652,0.00652,0.0253,0.0253,0.0517,0.0517,0.02,0.02,0.001,0.00106,0.0029,0.00395,0.00503,0.00534,0.0148,0.01571,0.00392,0.00416,39,37,80,70,80,4.03,4.03,3.88,1.39,15.7,5.03,7.94,4.18,32,14.8,2.04,2.95,2.57,1.6900000000000002,10.3,6.28,40.2,8.47,82.10000000000001,25,31.8,6.61
1996,0.168,196,200 - 2 000 PE,0.127,0.12826,0.515,0.52013,2.41,2.434,5.3,5.35277,2.24,2.2623,0.0731,0.07362,0.188,0.22562,0.638,0.64258,1.85,1.86328,0.889,0.89538,56,43,74,66,61,4.06,3.22,4.68,2.94,19,8.73,10.3,8.45,41.8,25.3,2.2,2.9,2.0799999999999996,1.2,8.47,3.67,39.6,10.5,87.1,30.3,36.8,14.6
1996,0.645,145,2 000 - 10 000 PE,0.394,0.394,1.68,1.68,9,9,19.9,19.9,9.09,9.09,0.196,0.196,0.477,0.53713,0.886,0.886,2.5,2.5,0.774,0.774,68,50,90,87,91,4.26,2.91,5.36,1.61,22.8,4.53,11.9,4.48,50.6,12.8,2.22,2.83,1.6700000000000002,0.8310000000000001,7.13,2.28,38.199999999999996,3.76,84.6,10.6,38.6,3.28
1996,1.87,65,10 000 - 100 000 PE,1.04,1.04,4.78,4.78,25.1,25.1,55.6,55.6,24.9,24.9,0.454,0.45964,1.67,1.89054,2.22,2.2476,7.46,7.55275,2.44,2.47034,60,56,91,86,90,4.59,4.22,5.25,1.11,24.1,4.88,11.6,3.8,53.4,16.4,2.22,3.37,1.5299999999999998,0.675,7.01,2.77,36.8,3.29,81.60000000000001,11.1,36.6,3.62
1996,2.57,5,> 100 000 PE,1.22,1.22,6.14,6.14,32.8,32.8,75.9,75.9,33.3,33.3,0.51,0.51,2.17,2.66814,2.54,2.54,9.52,9.52,3.34,3.34,59,58,92,87,90,5.02,5.91,5.34,0.944,26.8,4.98,12.4,3.66,62,18.6,2.31,3.75,1.3,0.544,6.54,2.84,35,2.71,80.9,10.1,35.4,3.5599999999999996
1997,0.00179,12,0 - 200 PE,0.00155,0.00155,0.0073,0.0073,0.0274,0.0274,0.0641,0.0641,0.0324,0.0324,0.00108,0.00114,0.00336,0.00443,0.00527,0.00558,0.0205,0.02172,0.00681,0.00721,32,28,80,66,78,4.73,4.36,3.75,1.42,17.7,4.88,8.78,5.41,41.5,19,2.34,3.89,2.37,1.75,11.2,6.79,42,8.56,98.3,33.300000000000004,49.7,11.1
1997,0.168,197,200 - 2 000 PE,0.114,0.11514,0.55,0.55549,2.46,2.48454,5.66,5.71647,2.79,2.81784,0.0702,0.07045,0.194,0.23723,0.546,0.54796,1.84,1.84659,1.16,1.16416,53,41,79,69,61,4.81,3.88,4.47,1.59,21.5,7.77,10.3,5.1,49.5,26.1,2.3,3.36,1.88,1.15,9.06,3.87,40.5,8.94,93.2,30,46,18.9
1997,0.66,147,2 000 - 10 000 PE,0.39,0.39,1.79,1.79,9.65,9.65,22.1,22.1,10.6,10.6,0.189,0.189,0.51,0.58401,1.07,1.07,3.02,3.02,1.2,1.2,67,52,89,86,89,4.6,3.02,5.38,1.82,24.7,5.65,12.3,5.17,56.6,16,2.29,2.82,1.6199999999999999,0.786,7.45,2.42,40.099999999999994,4.44,91.7,12.5,44.1,4.989999999999999
1997,1.95,68,10 000 - 100 000 PE,1.08,1.08,5.31,5.31,28,28,61.8,61.8,28,28,0.433,0.43815,1.89,2.15812,2.24,2.26665,8,8.09517,2.55,2.58033,59,59,92,87,91,4.9,5.24,5.26,0.893,25.8,5.18,11.6,3.47,56.9,18.5,2.21,3.57,1.52,0.615,7.46,3.04,39.300000000000004,3.19,86.8,11.4,39.300000000000004,3.62
1997,2.57,5,> 100 000 PE,1.01,1.01,5.22,5.22,25.8,25.8,61.7,61.7,26.9,26.9,0.358,0.358,2.32,2.32,1.92,1.92,7.65,7.65,3.3,3.3,56,64,93,88,88,5.19,6.49,4.94,0.828,25.7,5.37,11.8,3.29,61.3,21.3,2.39,3.98,1.07,0.382,5.57,2.48,27.5,2.0500000000000003,65.69999999999999,8.149999999999999,28.7,3.52
