Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2015,0.0461,406,0 - 200 PE,0.0211,0.0211,0.133,0.133,0.666,0.666,1.51,1.51,0.755,0.755,0.014,0.014,NA,NA,0.128,0.128,0.392,0.392,0.146,0.146,NA,34,81,74,81,6.29,NA,5.01,NA,31.5,9.12,11.4,NA,71.4,27.9,2.27,3.06,1.26,0.8350000000000001,7.9,NA,39.6,7.609999999999999,89.80000000000001,23.3,44.900000000000006,8.69
2015,1.18,1674,200 - 2 000 PE,0.481,0.481,3.03,3.03,15.1,15.1,34.3,34.3,17.1,17.1,0.245,0.245,0.00104,0.68158,1.44,1.44,5.13,5.13,1.84,1.84,59,49,90,85,89,6.3,13.2,4.97,0.123,31.3,5.91,11.3,1.54,71.4,21,2.28,3.55,1.1199999999999999,0.5680000000000001,7.029999999999999,1.59,35,3.35,79.69999999999999,11.9,39.800000000000004,4.2700000000000005
2015,2.02,500,2 000 - 10 000 PE,0.658,0.658,5.44,5.44,19.6,19.6,50.8,50.8,25,25,0.165,0.165,0.58,0.69816,0.532,0.532,2.72,2.72,0.844,0.844,88,75,97,95,97,8.26,4.45,3.6,0.686,29.7,3.23,9.34,3.72,77.1,16.5,2.59,5.12,0.893,0.223,7.37,0.9460000000000001,26.5,0.721,68.8,3.69,33.8,1.14
2015,5.41,182,10 000 - 100 000 PE,1.66,1.66,13.8,13.8,52.4,52.4,135,135,64.3,64.3,0.177,0.177,1.32,1.32293,2.48,2.48,6.2,6.2,1.55,1.55,90,89,95,95,98,8.31,7.49,3.8,1.88,31.6,14.1,9.75,4.69,81.1,35.1,2.57,2.5,0.841,0.0895,6.989999999999999,0.669,26.5,1.26,68.2,3.14,32.599999999999994,0.7829999999999999
2015,18,27,> 100 000 PE,6.4,6.4,56.5,56.5,219,219,539,539,292,292,1.03,1.03,19.1,19.21758,9.25,9.25,48.3,48.3,16.3,16.3,66,84,96,91,94,8.83,18.7,3.87,0.482,34.2,9,9.54,2.51,84.2,47.1,2.46,5.23,0.975,0.156,8.61,2.9299999999999997,33.300000000000004,1.41,82.10000000000001,7.36,44.5,2.48
2016,0.0465,411,0 - 200 PE,0.0196,0.0196,0.123,0.123,0.616,0.616,1.4,1.4,0.7,0.7,0.0129,0.0129,NA,NA,0.121,0.121,0.379,0.379,0.142,0.142,NA,33,80,73,79,6.29,NA,5,NA,31.4,9.33,11.4,NA,71.4,29.3,2.27,3.14,1.15,0.848,7.26,NA,36.3,7.92,82.4,24.8,41.2,9.34
2016,1.2,1700,200 - 2 000 PE,0.467,0.467,2.94,2.94,14.7,14.7,33.3,33.3,16.6,16.6,0.236,0.236,NA,NA,1.34,1.34,4.94,4.94,1.79,1.79,NA,49,91,85,89,6.3,NA,4.99,NA,31.4,5.7,11.3,NA,71.3,20.9,2.27,3.67,1.07,0.5609999999999999,6.720000000000001,NA,33.5,3.2,76.2,11.700000000000001,38,4.26
2016,2.01,500,2 000 - 10 000 PE,0.651,0.651,5.32,5.32,19.5,19.5,50.2,50.2,24.7,24.7,0.16,0.16,NA,NA,0.521,0.521,2.65,2.65,0.825,0.825,NA,75,97,95,97,8.18,NA,3.66,NA,29.9,3.25,9.44,NA,77.2,16.5,2.58,5.09,0.885,0.219,7.24,NA,26.5,0.712,68.3,3.62,33.6,1.13
2016,5.47,185,10 000 - 100 000 PE,1.67,1.67,13.7,13.7,53.1,53.1,136,136,64.4,64.4,0.222,0.222,NA,NA,2.48,2.48,9.69,9.69,3.37,3.37,NA,87,95,93,95,8.2,NA,3.87,NA,31.8,11.2,9.91,NA,81.3,43.6,2.56,3.91,0.837,0.112,6.87,NA,26.599999999999998,1.26,68,4.91,32.300000000000004,1.71
2016,18,27,> 100 000 PE,6.4,6.4,56.2,56.2,219,219,539,539,292,292,1.03,1.03,NA,NA,9.25,9.25,48.3,48.3,16.3,16.3,NA,84,96,91,94,8.78,NA,3.89,NA,34.2,9,9.59,NA,84.2,47.1,2.46,5.23,0.975,0.156,8.56,NA,33.300000000000004,1.41,82.10000000000001,7.36,44.5,2.48
2018,0.00287,26,0 - 200 PE,9.45e-4,9.45e-4,0.00854,0.00854,0.0275,0.0275,0.0747,0.0747,0.0326,0.0326,6.38e-4,6.38e-4,0.00422,0.00422,9.84e-4,9.84e-4,0.00748,0.00748,0.00317,0.00317,51,32,96,90,90,9.04,6.62,3.22,0.233,29.1,1.54,8.74,1.77,79,11.7,2.71,7.6,0.9,0.608,8.139999999999999,4.0200000000000005,26.200000000000003,0.9380000000000001,71.2,7.13,31.099999999999998,3.02
2018,0.249,264,200 - 2 000 PE,0.0824,0.0824,0.676,0.676,2.43,2.43,6.51,6.51,3.13,3.13,0.0366,0.0366,0.184,0.184,0.119,0.119,0.601,0.601,0.185,0.185,73,56,95,91,94,8.2,5.03,3.6,0.646,29.5,3.25,9.64,3.27,79,16.4,2.68,5.06,0.9079999999999999,0.40299999999999997,7.45,2.0300000000000002,26.8,1.31,71.8,6.63,34.5,2.04
2018,1.91,444,2 000 - 10 000 PE,0.653,0.653,5.6,5.6,17.8,17.8,48.2,48.2,24.5,24.5,0.151,0.151,0.855,0.855,0.828,0.828,3.53,3.53,1.15,1.15,85,77,95,93,95,8.59,5.65,3.18,0.968,27.3,5.47,8.6,4.13,73.9,23.3,2.7,4.26,0.937,0.217,8.040000000000001,1.23,25.6,1.1900000000000002,69.2,5.07,35.1,1.65
2018,5.34,181,10 000 - 100 000 PE,1.64,1.64,13.8,13.8,51.3,51.3,132,132,64.4,64.4,0.183,0.183,1.75,1.75,1.69,1.69,7.54,7.54,2.33,2.33,87,89,97,94,96,8.45,9.57,3.71,0.962,31.4,9.21,9.53,4.3,80.5,41.2,2.57,4.47,0.8400000000000001,0.094,7.09,0.9,26.3,0.866,67.6,3.87,33.099999999999994,1.2
