Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2005,0,172,unreported PE,0.546,0.546,3.91,3.91,17,17,39.6,39.6,19,19,0.238,0.238,2.05,2.05,1.95,1.95,6.79,6.79,2.26,2.26,45,56,88,83,88,7.14,8.96,4.34,0.894,31,8.18,10.1,3.18,72.2,28.5,2.33,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,7.83e-4,7,0 - 200 PE,4.87e-4,5.9e-4,0.00345,0.00345,0.0133,0.0133,0.0398,0.0398,0.0176,0.0176,1.99e-4,3.1e-4,0.00139,0.00167,5.51e-4,6.6e-4,0.00359,0.00432,0.00468,0.00564,51,46,94,85,57,6.22,5.75,3.87,0.397,25.8,2.17,11.5,2.59,77.2,13,2.98,6.51,2.0799999999999996,1.07,12.1,5.8500000000000005,46.699999999999996,2.32,139,15.100000000000001,61.400000000000006,19.7
2005,0.138,133,200 - 2 000 PE,0.058,0.06276,0.389,0.4205,1.57,1.70335,3.71,4.02512,1.73,1.81242,0.0239,0.02628,0.101,0.11792,0.0872,0.09752,0.422,0.47194,0.181,0.19395,72,58,95,89,89,6.69,4.47,3.94,0.82,26.4,3.77,9.3,3.97,62.2,18.1,2.37,4.84,1.24,0.519,8.33,2.33,33.7,1.9300000000000002,79.69999999999999,9.350000000000001,35.9,3.8400000000000003
2005,2.38,480,2 000 - 10 000 PE,0.787,0.80624,5.51,5.62653,22.5,23.01538,54.1,55.26074,25.5,26.008,0.203,0.20559,1.13,1.19028,0.659,0.67086,4.34,4.40303,1.34,1.35449,79,74,97,92,95,7.01,5.8,4.08,0.544,28.6,3.28,9.8,3.69,68.7,21.6,2.4,6.59,0.929,0.236,6.49,1.3699999999999999,26.5,0.773,63.70000000000001,5.07,30,1.56
2005,6.6,216,10 000 - 100 000 PE,1.72,1.93992,11.4,12.89951,55.6,62.70901,125,140.9825,57.2,64.51359,0.302,0.31548,1.84,1.93672,1.07,1.11777,7.75,8.09601,1.63,1.70277,86,83,98,94,97,6.67,6.1,4.85,0.578,32.4,3.53,10.9,4.2,72.9,25.7,2.25,7.27,0.805,0.131,5.38,0.803,26,0.462,58.7,3.3600000000000003,26.8,0.708
2005,5.96,26,> 100 000 PE,1.9,2.23068,12.7,15.33329,58.7,68.91622,141,165.53982,64.5,75.72566,0.259,0.39573,1.6,2.44469,1.02,1.55849,7.11,10.86361,1.69,2.58221,83,81,98,93,96,6.87,6.2,4.51,0.638,30.9,3.95,10.9,4.43,74.5,27.5,2.41,6.95,1.03,0.182,7.029999999999999,1.13,31.7,0.718,76.39999999999999,4.989999999999999,34.8,1.1900000000000002
2006,0,213,unreported PE,0.53,0.53,3.9,3.9,16.3,16.3,38.1,38.1,18.9,18.9,0.225,0.225,2.05,2.05,1.63,1.63,6.39,6.39,2.26,2.26,46,58,90,83,88,7.38,9.28,4.17,0.781,30.7,7.25,9.74,3.04,71.7,28.3,2.34,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.00325,24,0 - 200 PE,0.00109,0.00185,0.00905,0.01247,0.0288,0.0418,0.0903,0.10952,0.0467,0.07908,6.41e-4,0.00107,0.00276,0.00616,0.00357,0.00436,0.0191,0.02002,0.00973,0.01631,42,35,87,79,79,7.31,6.42,3.36,0.658,24.6,5.17,9.54,3.12,68.3,26.1,2.71,5.05,1.55,0.906,10.5,5.2,35.2,3.68,92.39999999999999,16.9,66.69999999999999,13.700000000000001
2006,0.474,541,200 - 2 000 PE,0.196,0.20556,1.36,1.41059,5.27,5.38447,12.7,12.91405,5.89,6.06212,0.084,0.08993,0.338,0.4121,0.297,0.31284,1.74,1.80838,0.952,1.00084,72,57,94,86,83,6.9,4.62,3.8,0.708,26,3.54,9.12,4.29,62.4,20.4,2.4,5.79,1.1900000000000002,0.5199999999999999,8.16,2.3800000000000003,31.099999999999998,1.81,74.7,10.5,35.1,5.79
2006,2.53,519,2 000 - 10 000 PE,0.851,0.86119,6.21,6.28434,24.5,24.7933,59.1,59.80752,28.3,28.6388,0.219,0.22069,1.21,1.25326,0.692,0.69566,4.67,4.69471,1.51,1.51799,80,74,97,92,95,7.29,5.74,3.94,0.552,28.7,3.16,9.52,3.69,69.5,21.3,2.42,6.75,0.934,0.23900000000000002,6.8100000000000005,1.36,26.8,0.754,64.9,5.08,31,1.64
