Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2000,0,521,unreported PE,0.938,0.938,4.63,4.63,24.7,24.7,54.7,54.7,28.7,28.7,0.469,0.469,3.94,3.94,4.05,4.05,12,12,4.87,4.87,15,50,84,78,83,4.94,8.38,5.34,1.03,26.4,8.64,11.8,3.06,58.4,25.7,2.21,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,0.0809,879,0 - 200 PE,0.0217,0.02599,0.175,0.1753,0.676,0.67717,1.63,1.63283,0.684,0.68519,0.0177,0.024140000000000002,0.18,0.18031,0.152,0.15306,0.37,0.37064,0.136,0.13669,-3,1,77,77,80,6.73,7.47,3.86,0.85,26.1,6.74,9.3,2.06,62.9,16.4,2.41,2.43,0.88,0.8180000000000001,5.94,6.1000000000000005,22.9,5.2,55.199999999999996,12.6,23.2,4.63
2000,0.805,1131,200 - 2 000 PE,0.434,0.43674,1.65,1.65452,8.25,8.27262,18.2,18.2499,7.74,7.76122,0.205,0.20855,1.28,1.28596,0.894,0.90213,3.22,3.22883,1.45,1.45597,22,52,89,82,81,3.8,6.2,4.99,0.699,19,4.34,11,2.51,41.8,15.5,2.2,3.6,1.49,0.7110000000000001,5.64,4.38,28.2,3.07,62,11,26.4,4.95
2000,1.19,288,2 000 - 10 000 PE,0.494,0.50166,2.47,2.5083,12,12.18607,28.4,28.84037,13.6,13.81088,0.27,0.27419,1.45,1.47248,0.829,0.84185,4.09,4.15342,2.36,2.39659,41,45,93,86,83,5,5.37,4.87,0.573,24.3,3.07,11.5,2.83,57.6,15.2,2.37,4.93,1.16,0.633,5.79,3.4,28.2,1.95,66.8,9.6,31.8,5.54
2000,2.93,120,10 000 - 100 000 PE,1.12,1.12,6.57,6.57,33.3,33.3,76.7,76.7,32.5,32.5,0.452,0.452,2.5,2.5,1.67,1.67,7.21,7.21,3.17,3.17,62,60,95,91,90,5.84,5.52,5.07,0.67,29.6,3.7,11.7,2.89,68.2,15.9,2.3,4.31,1.05,0.423,6.14,2.34,31.099999999999998,1.57,71.7,6.74,30.4,2.96
2000,2.62,9,> 100 000 PE,0.961,0.961,5.89,5.89,28,28,65.4,65.4,30.4,30.4,0.563,0.563,4.23,4.23,4.35,4.35,14,14,4.96,4.96,28,41,84,79,84,6.12,7.51,4.75,1.03,29.1,7.74,11.1,3.32,68,24.9,2.34,3.22,1.01,0.589,6.159999999999999,4.42,29.3,4.56,68.4,14.7,31.9,5.19
2001,0,517,unreported PE,0.959,0.959,4.62,4.62,22.2,22.2,51.1,51.1,25.5,25.5,0.443,0.443,3.72,3.72,3.63,3.63,11.2,11.2,4.52,4.52,20,54,84,78,82,4.82,8.38,4.81,0.976,23.2,8.18,11,3,53.2,25.2,2.3,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,0.0882,969,0 - 200 PE,0.0236,0.02846,0.19,0.1903,0.735,0.73617,1.77,1.77281,0.744,0.74518,0.0192,0.02634,0.196,0.19631,0.169,0.17021,0.412,0.41266,0.15,0.15081,-3,2,77,77,80,6.71,7.45,3.86,0.866,26,6.83,9.3,2.1,62.6,16.7,2.41,2.43,0.883,0.819,5.930000000000001,6.1000000000000005,22.9,5.29,55.1,12.8,23.2,4.68
2001,0.838,1184,200 - 2 000 PE,0.369,0.37073,1.71,1.71481,9.21,9.2359000000000009,20,20.05624,8.64,8.6643,0.211,0.21469,1.35,1.35688,0.98,0.98665,3.55,3.55998,1.62,1.62631,21,42,89,82,81,4.64,6.32,5.38,0.728,25,4.62,11.7,2.64,54.1,16.6,2.17,3.62,1.21,0.7020000000000001,5.61,4.42,30.200000000000003,3.23,65.4,11.6,28.299999999999997,5.33
2001,1.2,292,2 000 - 10 000 PE,0.518,0.52282,2.6,2.62419,13.6,13.72652,31.3,31.59118,15,15.13954,0.278,0.28059,1.7,1.71581,0.965,0.97398,4.49,4.53177,2.44,2.4627,35,46,93,86,84,5.02,6.1,5.23,0.568,26.2,3.47,12.1,2.65,60.5,16.1,2.31,4.66,1.1900000000000002,0.639,5.97,3.9,31.2,2.21,72,10.3,34.5,5.61
