Year,basin,PE_bin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2007,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.001729,13
2007,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.177537,191
2007,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.623951,122
2007,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.158321,75
2007,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2007,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.004612,40
2007,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.178118,234
2007,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.6187,131
2007,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.256741,80
2007,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.999,8
2007,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.029014,264
2007,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.954267,1368
2007,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.474194,372
2007,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.021334,143
2007,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,16.962549,23
2007,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.158099,1591
2007,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.914576,3010
2007,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.447749,550
2007,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.601499,216
2007,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.934497,27
2007,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.087366,900
2007,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.921668,1373
2007,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.09458,259
2007,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.481395,133
2007,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.597233,16
2007,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.093764,881
2007,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.428032,2198
2007,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.345272,532
2007,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,8.114224,260
2007,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.178248,34
2008,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.001829,14
2008,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.181735,198
2008,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.635201,124
2008,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.246704,78
2008,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2008,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.005223,44
2008,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.187668,246
2008,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.643763,136
2008,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.499891,84
2008,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.999,8
2008,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.030314,275
2008,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.983949,1402
2008,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.534252,387
2008,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.319988,152
2008,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,16.962549,23
2008,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.16534,1654
2008,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.000264,3134
2008,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.641153,593
2008,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.869699,228
2008,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.934497,27
2008,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.096381,989
2008,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.971883,1464
2008,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.188055,280
2008,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.627395,139
2008,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.597233,16
2008,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.097462,918
2008,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.498487,2316
2008,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.557839,579
2008,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,8.809574,279
2008,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.398248,35
2009,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.001949,15
2009,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.184455,202
