Year,NGL_in,DBO5_in,DCO_in,MES_in,Pt_in,NGL_out,DBO5_out,DCO_out,MES_out,Pt_out,NGL_nb_facilities,DBO5_nb_facilities,DCO_nb_facilities,MES_nb_facilities,Pt_nb_facilities,basin
2010,9.32,75.8,191,41.9,1.63,1.9,4.51,26,3.8,0.307,1229,1508,1766,1676,1190,Metropolitan France
2011,9.22,68.6,175,36.5,1.52,1.98,3.39,15,2.97,0.233,1232,1501,1774,1677,1209,Metropolitan France
2012,9.86,79.9,186,34.9,1.27,1.6,4.45,17.2,3.55,0.204,1286,1520,1808,1713,1248,Metropolitan France
2013,8.33,70,175,33.8,1.15,1.36,3.76,15.7,2.48,0.178,1306,1549,1829,1747,1267,Metropolitan France
2014,8.29,67.5,172,36.5,1.27,1.27,3.51,15.5,2.74,0.176,1304,1544,1816,1738,1267,Metropolitan France
2015,7.94,76.7,181,36.2,1.2,1.08,4.2,16.2,2.4,0.175,1273,1519,1789,1708,1247,Metropolitan France
2016,7.84,78.5,183,36.1,1.21,1.06,3.12,14.4,1.96,0.159,1281,1524,1793,1701,1249,Metropolitan France
2017,7.4,80.6,197,35.4,1.15,1.03,4.09,16.2,1.94,0.212,1272,1512,1787,1699,1240,Metropolitan France
2018,7.33,72.2,182,35.5,1.08,0.955,5.06,18.3,3.58,0.144,1217,1450,1720,1624,1184,Metropolitan France
2019,7.09,60.9,153,28.8,1.05,1.46,5.94,21.6,4.01,0.217,1135,1345,1578,1491,1114,Metropolitan France
2020,7.49,67,168,31.5,1.03,2.32,7.75,25.4,4.91,0.224,1210,1425,1654,1581,1185,Metropolitan France
2021,8.11,57.4,153,28.6,0.948,3.04,7.95,28.4,4.81,0.298,1197,1396,1619,1542,1177,Metropolitan France
2010,0.563,8.08,22.6,2.68,0.0582,0.138,1.54,6.05,0.411,0.013,100,131,150,135,87,Adour-Garonne
