Year,Id,NGL,Pt,DCO,DBO5,MES,site_name,SIRET_code,discharge_environment,lat_site,long_site,code_epsg,code_ape,libelle_ape,code_eprtr,libelle_eprtr
2003,0005101078,NA,NA,450000,210000,NA,COLGATE PALMOLIVE,47898966800023,water (indirect),688495,6925784000000,2154,2042Z,Fabrication de parfums et de produits pour la toilette,4.(a).(xi),tensioactifs et agents de surface
2003,0005101664,NA,NA,200000,NA,NA,PICARDIE LAVAGES CITERNES,35368779100015,water (indirect),2.50251,49278832,4326,8121Z,Nettoyage courant des bâtiments,NA,NA
2003,0005101670,100000,NA,240000,NA,NA,FRANCOLOR PIGMENTS,38931619100029,water (indirect),611399,2476459,27572,241C,Fabrication de colorants et de pigments,NA,NA
2003,0005101758,NA,NA,220000,120000,NA,EUROSERUM,40086927700097,water (indirect),624006,6986108000000,2154,1051D,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2003,0005101899,NA,NA,230000,77000,NA,C & V COSSERAT INTERNATIONAL,47842524200011,water (indirect),595658.28793996,25458514566297,27572,172A,Tissage de l'industrie cotonnière,NA,NA
2003,0005101904,NA,NA,390000,120000,NA,PROCTER et  GAMBLE AMIENS,39154895500023,water (indirect),2.27018,49935700,4326,2041Z,"Fabrication de savons, détergents et produits d'entretien",NA,NA
2003,0005102088,NA,NA,1100000,300000,NA,Le JERSEY de PARIS,38009819400042,water (indirect),612512,2545563,27572,171F,Filature de l'industrie lainière - cycle peigné,NA,NA
2003,0005102374,110000,NA,3800000,2200000,1000000,BONDUELLE EUROPE LONG LIFE,66558007200197,water (indirect),703115,6975172000000,2154,1039A,Autre transformation et conservation de légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2003,0005102550,NA,NA,170000,NA,NA,Sapsa Bedding,34896841300057,water (indirect),593096,2539926,27572,3103Z,Fabrication de matelas,NA,NA
2003,0005202084,NA,NA,220000,100000,NA,EUTICALS  SAS,49075603800017,water (indirect),512285,6346855000000,2154,2014Z,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
2003,0005202609,NA,NA,540000,NA,NA,TOTAL E&P France,40916013200026,water (indirect),405384,6263578000000,2154,0610Z,Extraction de pétrole brut,1.(b),Installations de gazéification et de liquéfaction
2003,0005301462,NA,NA,200000,59000,NA,DUPONT D'ISIGNY ET JACQUIN,32927632300022,water (indirect),390096,6920150000000,2154,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",NA,NA
2003,0005301493,NA,18000,670000,NA,NA,COMPAGNIE DES FROMAGES & RICHESMONTS SCA,50164519600087,water (indirect),383897,6845053000000,2154,1051C,Fabrication de fromage,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2003,0005401075,NA,NA,220000,73000,NA,KRONOSPAN SAS,79937878100030,water (indirect),810106,6629535000000,2154,1621Z,Fabrication de placage et de panneaux de bois,NA,NA
2003,0005401089,NA,NA,360000,150000,NA,IFF,77556787800019,water (indirect),805510,22565350,27572,246E,Fabrication d'huiles essentielles,NA,NA
2003,0005401225,120000,NA,2400000,1600000,NA,KODAK INDUSTRIE,40308787700029,water (indirect),791919,2200645,27572,246G,Fabrication de produits chimiques pour la photographie,NA,NA
2003,0005401241,NA,5200,870000,470000,NA,YOPLAIT PRODUCTION FRANCE - NOBLEVAL,44076754900106,water (indirect),743602,6748642000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2003,0005401402,NA,NA,180000,110000,NA,AMORA MAILLE Chevigny,31164122900076,water (indirect),862618,6690205000000,2154,1084Z,Fabrication de condiments et assaisonnements,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2003,0005401483,NA,NA,NA,58000,NA,DAUNAT BOURGOGNE,42099049100029,water (indirect),840097,6627278000000,2154,1089Z,Fabrication d'autres produits alimentaires n.c.a.,NA,NA
