sex,age_class,energy,carbohydrates,lipids,proteins,nitrogen,phosphorus,potassium
both,<1,210,27.1,8.18,5.66,0.909,0.137,0.297
both,1-3,423,53.3,15.1,15.9,2.55,0.3,0.653
both,4-6,558,69.4,20.7,20.4,3.26,0.354,0.796
both,7-10,672,82.9,25.1,24.6,3.94,0.409,0.905
both,11-14,723,89.4,26.5,27.5,4.38,0.442,0.978
both,15-17,715,91.2,24.6,28.1,4.49,0.438,0.971
both,18-44,774,88.7,28.8,29.3,4.71,0.453,1.08
both,45-64,759,84.3,28,30.5,4.89,0.456,1.19
both,65-79,704,77.7,25.7,28.6,4.56,0.423,1.14
F,<1,214,27.5,8.32,5.95,0.949,0.142,0.315
F,1-3,412,51.1,15.2,15.7,2.51,0.296,0.628
F,4-6,533,65,20,19.9,3.18,0.346,0.785
F,7-10,635,77.7,23.9,23.4,3.76,0.387,0.85
F,11-14,675,84,24.8,25.4,4.09,0.412,0.92
F,15-17,628,80.7,21.5,24.1,3.83,0.383,0.876
F,18-44,686,78.5,26.5,25.9,4.12,0.405,0.986
F,45-64,661,73.7,24.9,27.2,4.34,0.409,1.09
F,65-79,610,67.5,23,25.3,4.05,0.376,1.04
M,<1,207,26.9,8.07,5.51,0.88,0.134,0.286
M,1-3,434,55.5,15.1,16.1,2.58,0.303,0.675
M,4-6,584,73.7,21.4,20.8,3.33,0.361,0.803
M,7-10,712,88.7,26.5,25.9,4.16,0.434,0.964
M,11-14,763,94.2,28,29.2,4.67,0.467,1.03
M,15-17,807,102,27.7,32.4,5.18,0.5,1.07
M,18-44,894,103,32.1,34.2,5.48,0.515,1.21
M,45-64,891,98.9,32.3,35.1,5.62,0.518,1.34
M,65-79,832,91.6,29.3,33,5.29,0.482,1.27
