source,target,flow_group,value
excretion,sewage network,excretion,19.34
large industries,sewage network,large industries,0.99
sewage network,WWTP,WWTP,17.86
WWTP,water,water,4
sewage network,water,water,3.6
residual,sewage network,large industries,1.27
excretion,IAS,excretion,2.66
residual,IAS,sewage network,0.23
IAS,groundwater,water,2.11
IAS,WWTP,WWTP,0.14
IAS,air,air,0.66
WWTP,sludge,sludge,3.78
WWTP,air,air,10.36
sludge,spread,sludge,2.46
sludge,composted,sludge,1.17
sludge,"landfill, incineration..",lost,0.15
composted,air,air,0.35
composted,recycled,sludge,0.82
spread,recycled,sludge,2.46
