code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
011031300000,MARQUETTE LEZ LILLE (2013) SE,555333,0.555333,1,8.7,0.2,Artois-Picardie
011056200000,WATTRELOS SE,416667,0.972,2,15.3,0.4,Artois-Picardie
012020500000,AMIENS AMBONNE SE,260000,1.232,3,19.3,0.5,Artois-Picardie
011055500000,BOULOGNE (OUTREAU) SE,180000,1.412,4,22.2,0.7,Artois-Picardie
011036900000,HOUPLIN ANCOISNE SE,172000,1.584,5,24.9,0.9,Artois-Picardie
011042400000,VILLENEUVE D ASCQ SE,170000,1.754,6,27.5,1.1,Artois-Picardie
011031500000,DOUAI SE,165000,1.919,7,30.1,1.2,Artois-Picardie
011039600000,ST QUENTIN (GAUCHY) SE,151000,2.07,8,32.5,1.4,Artois-Picardie
011243700000,ARRAS (ST LAURENT BLANGY) SE,133333,2.203333,9,34.6,1.6,Artois-Picardie
011179800000,CALAIS MONOD SE,133000,2.336333,10,36.7,1.8,Artois-Picardie
011039100000,LENS (LOISON SOUS LENS) SE,116667,2.453,11,38.5,2,Artois-Picardie
011051300000,GRANDE SYNTHE SE,113000,2.566,12,40.3,2.1,Artois-Picardie
011064200000,BIERNE SE,110000,2.676,13,42,2.3,Artois-Picardie
011034600000,COUDEKERQUE BRANCHE SE,100000,2.776,14,43.6,2.5,Artois-Picardie
011040600000,ST POL SUR TERNOISE  ZI SE,92600,2.8686,15,45,2.7,Artois-Picardie
011048700000,MAUBEUGE SE,83000,2.9516,16,46.3,2.9,Artois-Picardie
011054200000,HENIN BEAUMONT SE,78667,3.030267,17,47.6,3,Artois-Picardie
011041000000,ST OMER SE,78333,3.1086,18,48.8,3.2,Artois-Picardie
011033500000,VALENCIENNES SE,70000,3.1786,19,49.9,3.4,Artois-Picardie
011046900000,BETHUNE SE,69300,3.2479,20,51,3.6,Artois-Picardie
010693700000,FOUQUIERES - LENS (HARNES) SE,68000,3.3159,21,52,3.8,Artois-Picardie
010761600000,ARMENTIERES (PLOEGSTEERT) SE,65000,3.3809,22,53.1,3.9,Artois-Picardie
011249300000,NEUVILLE EN FERRAIN SE,65000,3.4459,23,54.1,4.1,Artois-Picardie
011042600000,ABBEVILLE SE,64667,3.510567,24,55.1,4.3,Artois-Picardie
010330500000,LE TOUQUET (CUCQ) (2009) SE,60000,3.570567,25,56,4.5,Artois-Picardie
014012600000,CAUDRY (BEAUVOIS) SE,57383,3.62795,26,56.9,4.6,Artois-Picardie
014012500000,CAMBRAI (NEUVILLE ST REMY) SE,56700,3.68465,27,57.8,4.8,Artois-Picardie
