code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
026751900405,STRASBOURG,1017000,1.017,1,15,0.1,Rhin-Meuse
026830000459,SAUSHEIM (ILE NAPOLEON),536666,1.553666,2,22.9,0.2,Rhin-Meuse
025435700075,MAXEVILLE/NANCY,480000,2.033666,3,30,0.4,Rhin-Meuse
025745200219,METZ,339000,2.372666,4,35,0.5,Rhin-Meuse
026728602110,MEISTRATZHEIM,201916.6666666667,2.5745826666666667,5,37.9,0.6,Rhin-Meuse
026806600424,COLMAR,198300,2.7728826666666664,6,40.9,0.7,Rhin-Meuse
025722101340,VALLEE DE LA FENSCH,118620,2.8915026666666663,7,42.6,0.8,Rhin-Meuse
020810500005,CHARLEVILLE-MEZIERES,95666,2.9871686666666664,8,44,1,Rhin-Meuse
026746201414,SELESTAT,94316,3.0814846666666664,9,45.4,1.1,Rhin-Meuse
026834901929,VILLAGE-NEUF,93333.33333333334,3.174818,10,46.8,1.2,Rhin-Meuse
025767201458,THIONVILLE,72000,3.246818,11,47.8,1.3,Rhin-Meuse
025763101489,SARREGUEMINES,69000,3.315818,12,48.9,1.4,Rhin-Meuse
026718001467,HAGUENAU,65450,3.381268,13,49.8,1.6,Rhin-Meuse
025758201247,VALLEE DE L'ORNE,63450,3.444718,14,50.8,1.7,Rhin-Meuse
026815600438,ISSENHEIM,62000,3.506718,15,51.7,1.8,Rhin-Meuse
028820900489,GOLBEY,58333,3.565051,16,52.5,1.9,Rhin-Meuse
026828901215,RUELISHEIM,56583,3.621634,17,53.4,2,Rhin-Meuse
025432300744,LONGWY,49635,3.671269,18,54.1,2.2,Rhin-Meuse
020819400011,GLAIRE SEDAN,48600,3.719869,19,54.8,2.3,Rhin-Meuse
026747801412,SAVERNE,48600,3.768469,20,55.5,2.4,Rhin-Meuse
025724001538,FREYMING-MERLEBACH,47717,3.816186,21,56.2,2.5,Rhin-Meuse
026806301928,CERNAY,45900,3.862086,22,56.9,2.7,Rhin-Meuse
025753700165,FORBACH MARIENAU,44333,3.906419,23,57.6,2.8,Rhin-Meuse
025749101599,MOYEUVRE-GRANDE,42165,3.948584,24,58.2,2.9,Rhin-Meuse
026755700413,ZELLWILLER,42000,3.990584,25,58.8,3,Rhin-Meuse
026754402407,WISSEMBOURG,41666.66666666667,4.032250666666666,26,59.4,3.1,Rhin-Meuse
026802300417,BEBLENHEIM,38250,4.070500666666667,27,60,3.3,Rhin-Meuse
026713002379,ERSTEIN,37500,4.108000666666666,28,60.5,3.4,Rhin-Meuse
025504300095,BELLEVILLE/MEUSE VERDUN,36300,4.144300666666666,29,61.1,3.5,Rhin-Meuse
026704601204,BISCHWILLER,35100,4.179400666666666,30,61.6,3.6,Rhin-Meuse
028819600842,GERARDMER,34875,4.214275666666666,31,62.1,3.7,Rhin-Meuse
025432900074,LUNEVILLE,34000,4.248275666666666,32,62.6,3.9,Rhin-Meuse
028828500515,VITTEL CONTREXEVILLE,33750,4.282025666666666,33,63.1,4,Rhin-Meuse
