code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
037800501000,Seine Aval,7500000,7.5,1,28.2,0,Seine-Normandie
039407401000,Seine Amont,3600000,11.1,2,41.7,0.1,Seine-Normandie
039202501000,Seine Centre,900000,12,3,45.1,0.1,Seine-Normandie
039305101000,Marne Aval,550000,12.55,4,47.1,0.1,Seine-Normandie
037649801000,ROUEN,500000,13.05,5,49,0.2,Seine-Normandie
035147401000,REIMS,470000,13.52,6,50.8,0.2,Seine-Normandie
039545001000,Neuville sur Oise.,400000,13.92,7,52.3,0.3,Seine-Normandie
037862401000,Seine Grésillons,371666,14.291666,8,53.7,0.3,Seine-Normandie
037743801000,ST THIBAULT-DES-VIGNES,350000,14.641666,9,55,0.3,Seine-Normandie
031443702000,MONDEVILLE CAEN NOUVEAU MONDE,332000,14.973666,10,56.2,0.4,Seine-Normandie
037635102000,LE HAVRE,322000,15.295666,11,57.4,0.4,Seine-Normandie
039300701000,Seine Morée,300000,15.595666,12,58.5,0.4,Seine-Normandie
039508801000,BONNEUIL en FRANCE,300000,15.895666,13,59.7,0.5,Seine-Normandie
031003001000,TROYES,260000,16.155666,14,60.7,0.5,Seine-Normandie
037804301000,CARRE DE REUNION (VERSAILLES),250000,16.405666,15,61.6,0.5,Seine-Normandie
039122801000,Evry-CA,220000,16.625666,16,62.4,0.6,Seine-Normandie
032729902000,EVREUX,166750,16.792416,17,63,0.6,Seine-Normandie
037853101000,ROSNY SUR SEINE,141000,16.933416,18,63.6,0.6,Seine-Normandie
035134401000,EPERNAY,138350,17.071766,19,64.1,0.7,Seine-Normandie
032820901000,CHARTRES,128600,17.200366,20,64.6,0.7,Seine-Normandie
037656101000,ELBEUF,118000,17.318366,21,65,0.8,Seine-Normandie
037751301000,MEAUX,115833,17.434199,22,65.5,0.8,Seine-Normandie
031469902000,TOUQUES Deauville Biosep,115000,17.549199,23,65.9,0.8,Seine-Normandie
036041402000,MONTATAIRE,110000,17.659199,24,66.3,0.9,Seine-Normandie
036005702000,BEAUVAIS,110000,17.769199,25,66.7,0.9,Seine-Normandie
036033801000,LACROIX SAINT OUEN,110000,17.879199,26,67.1,0.9,Seine-Normandie
037844001000,LES MUREAUX,100000,17.979199,27,67.5,1,Seine-Normandie
035124201000,CHALONS-EN-CHAMPAGNE,99170,18.078369,28,67.9,1,Seine-Normandie
031406601000,BERNIERES SUR MER,97000,18.175369,29,68.2,1,Seine-Normandie
035060201000,TOURLAVILLE,96000,18.271369,30,68.6,1.1,Seine-Normandie
030261001000,POMMIERS,91667,18.363036,31,68.9,1.1,Seine-Normandie
032736501000,VAL DE REUIL,86683,18.449719,32,69.3,1.1,Seine-Normandie
032813401000,DREUX,86667,18.536386,33,69.6,1.2,Seine-Normandie
034506802000,CHALETTE / MONTARGIS,85000,18.621386,34,69.9,1.2,Seine-Normandie
038901302000,APPOIGNY-AUXERRE,83000,18.704386,35,70.2,1.3,Seine-Normandie
037715202000,Dammarie-Les-Lys,80000,18.784386,36,70.5,1.3,Seine-Normandie
037703801000,Boissettes,77000,18.861386,37,70.8,1.3,Seine-Normandie
039122802000,Corbeil-Essonnes,75000,18.936386,38,71.1,1.4,Seine-Normandie
031436601000,LISIEUX,70000,19.006386,39,71.4,1.4,Seine-Normandie
031411702000,CABOURG/Biosep,70000,19.076386,40,71.6,1.4,Seine-Normandie
035061601000,AVRANCHES / Biosep,70000,19.146386,41,71.9,1.5,Seine-Normandie
035021802000,GRANVILLE,70000,19.216386,42,72.1,1.5,Seine-Normandie
035164901000,VITRY-LE-FRANCOIS,69000,19.285386,43,72.4,1.5,Seine-Normandie
039146101000,OLLAINVILLE,66667,19.352053,44,72.7,1.6,Seine-Normandie
038934201000,SENS ST DENIS,64500,19.416553,45,72.9,1.6,Seine-Normandie
039502601000,ASNIERES-SUR-OISE,63000,19.479553,46,73.1,1.6,Seine-Normandie
037654501000,DIEPPE,61667,19.54122,47,73.4,1.7,Seine-Normandie
036107002000,CALIGNY,60000,19.60122,48,73.6,1.7,Seine-Normandie
037701401000,FONTAINEBLEAU-AVON,60000,19.66122,49,73.8,1.8,Seine-Normandie
037632201000,LE GRAND QUEVILLY,58300,19.71952,50,74,1.8,Seine-Normandie
031466301000,BAYEUX 2,55000,19.77452,51,74.2,1.8,Seine-Normandie
039143301000,Morigny-Champigny,55000,19.82952,52,74.4,1.9,Seine-Normandie
032756201000,VERNON,54000,19.88352,53,74.6,1.9,Seine-Normandie
037833501000,LIMAY,54000,19.93752,54,74.9,1.9,Seine-Normandie
031476202000,VIRE,50000,19.98752,55,75,2,Seine-Normandie
037737701000,PRESLES en BRIE,50000,20.03752,56,75.2,2,Seine-Normandie
037632901000,BOLBEC,50000,20.08752,57,75.4,2,Seine-Normandie
035244801000,SAINT-DIZIER,50000,20.13752,58,75.6,2.1,Seine-Normandie
037861503000,LE VAL DES EGLANTIERS,50000,20.18752,59,75.8,2.1,Seine-Normandie
037838301000,MAUREPAS,46667,20.234187,60,76,2.2,Seine-Normandie
030216801000,CHATEAU-THIERRY,46000,20.280187,61,76.1,2.2,Seine-Normandie
037625901000,FECAMP,45500,20.325687,62,76.3,2.2,Seine-Normandie
037671102000,LE TREPORT,45100,20.370787,63,76.5,2.3,Seine-Normandie
037864201000,VERNEUIL SUR SEINE,45000,20.415787,64,76.6,2.3,Seine-Normandie
037867401000,VILLEPREUX,45000,20.460787,65,76.8,2.3,Seine-Normandie
035017301000,EQUEURDREVILLE,45000,20.505787,66,77,2.4,Seine-Normandie
039548701000,PERSAN,45000,20.550787,67,77.2,2.4,Seine-Normandie
030217302000,CHAUNY,45000,20.595787,68,77.3,2.4,Seine-Normandie
037674302000,BARENTIN,41200,20.636987,69,77.5,2.5,Seine-Normandie
035050201000,SAINT LO,40000,20.676987,70,77.6,2.5,Seine-Normandie
037732004000,COULOMMIERS,40000,20.716987,71,77.8,2.5,Seine-Normandie
037820801000,ELANCOURT,40000,20.756987,72,77.9,2.6,Seine-Normandie
037851701000,GAZERAN La Gueville,40000,20.796987,73,78.1,2.6,Seine-Normandie
030240801000,LAON,40000,20.836987,74,78.2,2.7,Seine-Normandie
036028203000,GOUVIEUX,40000,20.876987,75,78.4,2.7,Seine-Normandie
036010202000,BRENOUILLE,40000,20.916987,76,78.5,2.7,Seine-Normandie
035103001000,AY,39000,20.955987,77,78.7,2.8,Seine-Normandie
035226901000,LANGRES,36250,20.992237,78,78.8,2.8,Seine-Normandie
036039501000,MERU,36000,21.028237,79,78.9,2.8,Seine-Normandie
032166301000,VENAREY-LES-LAUMES,36000,21.064237,80,79.1,2.9,Seine-Normandie
035000302000,AGON COUTAINVILLE,35300,21.099537,81,79.2,2.9,Seine-Normandie
036100603000,ARGENTAN,35000,21.134537,82,79.3,2.9,Seine-Normandie
037743104000,NEMOURS,35000,21.169537,83,79.5,3,Seine-Normandie
035518603000,FAINS-VEEL,35000,21.204537,84,79.6,3,Seine-Normandie
034525201000,PITHIVIERS,35000,21.239537,85,79.7,3,Seine-Normandie
039503901000,AUVERS-SUR-OISE,34300,21.273837,86,79.9,3.1,Seine-Normandie
032737501000,LOUVIERS,34000,21.307837,87,80,3.1,Seine-Normandie
036047102000,NOYON,33300,21.341137,88,80.1,3.2,Seine-Normandie
035212101000,CHAUMONT-TANNERIES,33000,21.374137,89,80.2,3.2,Seine-Normandie
037721002000,Grande Paroisse,32667,21.406804,90,80.4,3.2,Seine-Normandie
037751401000,VILLEPARISIS,32000,21.438804,91,80.5,3.3,Seine-Normandie
030273802000,TERGNIER,32000,21.470804,92,80.6,3.3,Seine-Normandie
032746701000,PONT AUDEMER,31633,21.502437,93,80.7,3.3,Seine-Normandie
035045801000,CARENTAN ST HILAIRE ST COME,30000,21.532437,94,80.8,3.4,Seine-Normandie
037615901000,CANY BARVILLE,30000,21.562437,95,81,3.4,Seine-Normandie
038906801000,CHABLIS,30000,21.592437,96,81.1,3.4,Seine-Normandie
036118101000,GACE,28000,21.620437,97,81.2,3.5,Seine-Normandie
036040902000,MONCHY SAINT ELOI,27000,21.647437,98,81.3,3.5,Seine-Normandie
037665501000,SAINT VALERY EN CAUX,26500,21.673937,99,81.4,3.5,Seine-Normandie
031433301000,HONFLEUR,26000,21.699937,100,81.5,3.6,Seine-Normandie
038925701000,MIGENNES,26000,21.725937,101,81.6,3.6,Seine-Normandie
037868301000,VILLIERS SAINT FREDERIC,25000,21.750937,102,81.7,3.7,Seine-Normandie
036061202000,SENLIS,25000,21.775937,103,81.8,3.7,Seine-Normandie
035012701000,CHEF DU PONT,24000,21.799937,104,81.8,3.7,Seine-Normandie
037729401000,mitry mory,24000,21.823937,105,81.9,3.8,Seine-Normandie
037740702000,ST FARGEAU PONTHIERRY,24000,21.847937,106,82,3.8,Seine-Normandie
037736801000,PROVINS,23333,21.87127,107,82.1,3.8,Seine-Normandie
039157901000,Marolles,22000,21.89327,108,82.2,3.9,Seine-Normandie
036010701000,BREUIL LE VERT,22000,21.91527,109,82.3,3.9,Seine-Normandie
037675801000,YVETOT,22000,21.93727,110,82.4,3.9,Seine-Normandie
035034901000,MONTMARTIN SUR MER,21600,21.95887,111,82.4,4,Seine-Normandie
037638402000,LILLEBONNE,20600,21.97947,112,82.5,4,Seine-Normandie
031425801000,FALAISE,20000,21.99947,113,82.6,4.1,Seine-Normandie
035053701000,COUTANCES,20000,22.01947,114,82.7,4.1,Seine-Normandie
036145601000,SAINT-SULPICE-SUR-RISLE,20000,22.03947,115,82.7,4.1,Seine-Normandie
031473802000,VERSON,20000,22.05947,116,82.8,4.2,Seine-Normandie
031402001000,ARGENCES,20000,22.07947,117,82.9,4.2,Seine-Normandie
037729102000,Le Mesnil Amelot,20000,22.09947,118,83,4.2,Seine-Normandie
037730502000,Montereau confluent,20000,22.11947,119,83,4.3,Seine-Normandie
037839701000,LE MESNIL SAINT DENIS,20000,22.13947,120,83.1,4.3,Seine-Normandie
039531301000,L'ISLE-ADAM,20000,22.15947,121,83.2,4.3,Seine-Normandie
030238102000,HIRSON,20000,22.17947,122,83.3,4.4,Seine-Normandie
032767901000,VERNEUIL SUR AVRE,20000,22.19947,123,83.3,4.4,Seine-Normandie
032705601000,BERNAY,20000,22.21947,124,83.4,4.4,Seine-Normandie
037631901000,GRAND COURONNE,20000,22.23947,125,83.5,4.5,Seine-Normandie
037647601000,NOTRE DAME DE GRAVENCHON,20000,22.25947,126,83.6,4.5,Seine-Normandie
036031302000,HERMES,20000,22.27947,127,83.6,4.6,Seine-Normandie
031032301000,ROMILLY-SUR-SEINE,19384,22.298854,128,83.7,4.6,Seine-Normandie
037711803000,Claye,19333,22.318187000000002,129,83.8,4.6,Seine-Normandie
030836201000,RETHEL,19000,22.337187,130,83.9,4.7,Seine-Normandie
036068601000,VILLERS SOUS ST LEU,18167,22.355354,131,83.9,4.7,Seine-Normandie
031465402000,SAINT-PIERRE-SUR-DIVES 2,18000,22.373354,132,84,4.7,Seine-Normandie
031447801000,ORBEC,18000,22.391354,133,84.1,4.8,Seine-Normandie
031448801000,OUISTREHAM,18000,22.409354,134,84.1,4.8,Seine-Normandie
037749101000,VENEUX LES SABLONS,18000,22.427354,135,84.2,4.8,Seine-Normandie
030281002000,VILLERS-COTTERETS,18000,22.445354,136,84.3,4.9,Seine-Normandie
036017602000,CREPY EN VALOIS,18000,22.463354,137,84.3,4.9,Seine-Normandie
038920602000,JOIGNY,18000,22.481354,138,84.4,4.9,Seine-Normandie
034519101000,MALESHERBES,18000,22.499354,139,84.5,5,Seine-Normandie
037711101000,Station EURO DISNEY,17500,22.516854,140,84.5,5,Seine-Normandie
037802902000,AUBERGENVILLE,17500,22.534354,141,84.6,5.1,Seine-Normandie
034500401000,AMILLY,17000,22.551354,142,84.7,5.1,Seine-Normandie
032728401000,GISORS,16700,22.568054,143,84.7,5.1,Seine-Normandie
032702201000,AUBEVOYE,16250,22.584304,144,84.8,5.2,Seine-Normandie
036043902000,MOUY,15800,22.600104,145,84.8,5.2,Seine-Normandie
037653501000,FORGES LES EAUX,15800,22.615904,146,84.9,5.2,Seine-Normandie
031003301000,BAR SUR AUBE,15500,22.631404,147,85,5.3,Seine-Normandie
035048401000,SAINT HILAIRE DU HARCOUET,15000,22.646404,148,85,5.3,Seine-Normandie
037744801000,SEPT-SORTS,15000,22.661404,149,85.1,5.3,Seine-Normandie
037712801000,COUILLY PONT AUX DAMES,15000,22.676404,150,85.1,5.4,Seine-Normandie
037825501000,FRENEUSE,15000,22.691404,151,85.2,5.4,Seine-Normandie
037848601000,LE PERRAY EN YVELINES,15000,22.706404,152,85.2,5.4,Seine-Normandie
039111101000,Briis sous Forges,15000,22.721404,153,85.3,5.5,Seine-Normandie
039140501000,Milly la Forêt,15000,22.736404,154,85.4,5.5,Seine-Normandie
039133001000,Lardy-Janville-Bouray,15000,22.751404,155,85.4,5.6,Seine-Normandie
039104701000,Baulne,15000,22.766404,156,85.5,5.6,Seine-Normandie
036039802000,LE MESNIL EN THELLE,15000,22.781404,157,85.5,5.6,Seine-Normandie
035551901000,TRONVILLE EN BARROIS,15000,22.796404,158,85.6,5.7,Seine-Normandie
037656501000,OFFRANVILLE,15000,22.811404,159,85.6,5.7,Seine-Normandie
031440901000,MERVILLE-FRANCEVILLE,15000,22.826404,160,85.7,5.7,Seine-Normandie
032733202000,HEUDEBOUVILLE ECOPARC 2,14800,22.841204,161,85.8,5.8,Seine-Normandie
037670901000,LE TRAIT,14800,22.856004,162,85.8,5.8,Seine-Normandie
036068401000,VILLERS SAINT-PAUL,14500,22.870504,163,85.9,5.8,Seine-Normandie
036058101000,SAINT-JUST-EN-CHAUSSEE,14000,22.884504,164,85.9,5.9,Seine-Normandie
032154502000,CHATILLON-SUR-SEINE,14000,22.898504,165,86,5.9,Seine-Normandie
035003102000,BARNEVILLE-CARTERET Nouvelle,13000,22.911504,166,86,6,Seine-Normandie
037800301000,ABLIS - LES VIGNES,13000,22.924504,167,86.1,6,Seine-Normandie
037853701000,SAINT ARNOULT EN YVELINES,13000,22.937504,168,86.1,6,Seine-Normandie
031026801000,NOGENT-SUR-SEINE,12850,22.950354,169,86.2,6.1,Seine-Normandie
032809401000,NOGENT LE ROI,12585,22.962939,170,86.2,6.1,Seine-Normandie
036063602000,THOUROTTE,12500,22.975439,171,86.3,6.1,Seine-Normandie
036034102000,LAGNY LE SEC,12500,22.987939,172,86.3,6.2,Seine-Normandie
032763501000,LES ANDELYS,12500,23.000439,173,86.3,6.2,Seine-Normandie
035061502000,VALOGNES,12000,23.012439,174,86.4,6.2,Seine-Normandie
035056202000,SAINT VAAST LA HOUGUE,12000,23.024439,175,86.4,6.3,Seine-Normandie
037734901000,OTHIS,12000,23.036439,176,86.5,6.3,Seine-Normandie
037744201000,CHAMPAGNE SUR SEINE,12000,23.048439,177,86.5,6.3,Seine-Normandie
032744802000,PACY-SUR-EURE,12000,23.060439,178,86.6,6.4,Seine-Normandie
032814001000,EPERNON,12000,23.072439,179,86.6,6.4,Seine-Normandie
035129901000,ISLES SUR SUIPPE,12000,23.084439,180,86.7,6.5,Seine-Normandie
037619201000,CRIEL SUR MER,12000,23.096439,181,86.7,6.5,Seine-Normandie
037826701000,GARGENVILLE,12000,23.108439,182,86.8,6.5,Seine-Normandie
031040601000,VERRIERES,11700,23.120139000000002,183,86.8,6.6,Seine-Normandie
037806201000,BEYNES LES PLANTINS,11670,23.131809,184,86.8,6.6,Seine-Normandie
032743801000,NONANCOURT,11500,23.143309,185,86.9,6.6,Seine-Normandie
030216301000,CHARLY,11500,23.154809,186,86.9,6.7,Seine-Normandie
032742801000,LE NEUBOURG,11000,23.165809,187,87,6.7,Seine-Normandie
037843101000,MORAINVILLIERS,10800,23.176609,188,87,6.7,Seine-Normandie
037808401000,BOISSY SANS AVOIR,10800,23.187409,189,87.1,6.8,Seine-Normandie
035542701000,REVIGNY-SUR-ORNAIN,10500,23.197909,190,87.1,6.8,Seine-Normandie
037646201000,NEUFCHATEL EN BRAY,10500,23.208409,191,87.1,6.8,Seine-Normandie
037719201000,FONTENAY TRESIGNY,10450,23.218859,192,87.2,6.9,Seine-Normandie
037631201000,GOURNAY EN BRAY,10450,23.229309,193,87.2,6.9,Seine-Normandie
