code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
0444109S0011,Zone Industrielle de Tougas,600000,0.6,1,3.2,0,Loire-Bretagne
0463113S0006,LES 3 RIVIERES,425000,1.025,2,5.5,0.1,Loire-Bretagne
0437195S0002,STATION DE TOURS (GRANGE DAVID),393500,1.4185,3,7.5,0.1,Loire-Bretagne
0472181S0016,LA CHAUVINIERE,365000,1.7835,4,9.5,0.1,Loire-Bretagne
0435238S0004,Beaurade,360000,2.1435,5,11.4,0.2,Loire-Bretagne
0445075S0003,STATION D'EPURATION CHAPELLE SAINT MESMIN,350000,2.4935,6,13.3,0.2,Loire-Bretagne
0442218S0019,FURANIA,296600,2.7901,7,14.8,0.2,Loire-Bretagne
0449007S0002,LA BAUMETTE,285000,3.0751,8,16.4,0.2,Loire-Bretagne
0487085S0012,Route de Nexon,283300,3.3584,9,17.9,0.3,Loire-Bretagne
0429232S0004,Le Corniguel,266600,3.625,10,19.3,0.3,Loire-Bretagne
0453130S0009,RUE DU BAS DES BOIS,190333,3.815333,11,20.3,0.3,Loire-Bretagne
0444143S0002,La Petite Californie,180000,3.995333,12,21.3,0.4,Loire-Bretagne
0444069S0002,STATION DE LA BAULE LIVERY,178000,4.173333,13,22.2,0.4,Loire-Bretagne
0442187S0007,LES 3 PONTS,173000,4.346333,14,23.1,0.4,Loire-Bretagne
0417300S0002,PORT NEUF,170000,4.516333,15,24,0.5,Loire-Bretagne
0436044S0005,Route de CHATELLERAULT,168500,4.684833,16,24.9,0.5,Loire-Bretagne
0456121S0005,Kerolay  rue TOULLEC,166667,4.8515,17,25.8,0.5,Loire-Bretagne
0429019S0010,ZONE PORTUAIRE,163300,5.0148,18,26.7,0.6,Loire-Bretagne
0486194S0005,LA FOLIE,152500,5.1673,19,27.5,0.6,Loire-Bretagne
0418033S0004,BOURGES AQUAVARA,140000,5.3073,20,28.2,0.6,Loire-Bretagne
0422278S0002,LE LÉGUÉ,140000,5.4473,21,29,0.6,Loire-Bretagne
0435288S0002,"L.D. ""La Grande Rivière""",121600,5.5689,22,29.6,0.7,Loire-Bretagne
0449099S0012,CINQ PONTS,116000,5.6849,23,30.2,0.7,Loire-Bretagne
0485060S0001,LE PETIT PLESSIS,112500,5.7974,24,30.8,0.7,Loire-Bretagne
0403094S0002,VICHY-RHUE,108333,5.905733,25,31.4,0.8,Loire-Bretagne
0441018S0007,LES GRANDS CHAMPS,103300,6.009033,26,32,0.8,Loire-Bretagne
0444184S0010,LES ECOSSIERNES,102000,6.111033,27,32.5,0.8,Loire-Bretagne
0429024S0003,Moulin Hézec,100000,6.211033,28,33,0.9,Loire-Bretagne
0485234S0002,LES 60 BORNES,98333,6.309366,29,33.6,0.9,Loire-Bretagne
0445298S0001,ILE ARRAULT,95000,6.404366,30,34.1,0.9,Loire-Bretagne
0445272S0002,ORLEANS LA SOURCE (GOBSON),93933,6.498299,31,34.6,0.9,Loire-Bretagne
0486066S0010,LA DESIREE,93000,6.591299,32,35.1,1,Loire-Bretagne
0456178S0001,Lieu dit 'Le SIGNAN',91700,6.682999,33,35.5,1,Loire-Bretagne
0456066S0001,STATION D'EPURATION DE ARDO SA,90833,6.773832,34,36,1,Loire-Bretagne
0456117S0003,LIEU DIT /STATION MIXTE,90000,6.863832,35,36.5,1.1,Loire-Bretagne
0403185S0005,LES BUISSONNETS,88833,6.952665,36,37,1.1,Loire-Bretagne
0422070S0002,Z.I. DE GRACES,87833,7.040498,37,37.4,1.1,Loire-Bretagne
0422389S0001,LE MOULIN HERY,84000,7.124498,38,37.9,1.2,Loire-Bretagne
0458194S0006,les Saulaies,83333,7.207831,39,38.3,1.2,Loire-Bretagne
0429046S0001,POULIC AN AOD,83300,7.291131,40,38.8,1.2,Loire-Bretagne
0485191S0006,GRIMAUD,83300,7.374431,41,39.2,1.3,Loire-Bretagne
0485222S0002,CHEMIN DE CEINTURE,83000,7.457431,42,39.7,1.3,Loire-Bretagne
0442095S0002,LE PERTUISET,80000,7.537431,43,40.1,1.3,Loire-Bretagne
0479191S0010,GOILARD,80000,7.617431,44,40.5,1.3,Loire-Bretagne
0444003S0002,LA BIGOTERIE,78335,7.695766,45,40.9,1.4,Loire-Bretagne
0472308S0001,STATION D'ALENÇON,75800,7.771566,46,41.3,1.4,Loire-Bretagne
0444103S0004,PORT AUTONOME,75000,7.846566,47,41.7,1.4,Loire-Bretagne
0463300S0003,MOULIN D'EAU,66000,7.912566,48,42.1,1.5,Loire-Bretagne
0435115S0005,LA SERMANDIERE,65000,7.977566,49,42.4,1.5,Loire-Bretagne
0443157S0001,CHADRAC,63750,8.041316,50,42.8,1.5,Loire-Bretagne
0456244S0001,LIEU DIT 'LE RIDOLET'/ STATION MIXTE,63000,8.104316,51,43.1,1.6,Loire-Bretagne
0449328S0006,BELLEVUE,62000,8.166316,52,43.4,1.6,Loire-Bretagne
0429019S0009,MAISON BLANCHE,61700,8.228016,53,43.8,1.6,Loire-Bretagne
0429151S0002,KERANROUX,60000,8.288016,54,44.1,1.7,Loire-Bretagne
0456034S0001,Lieu dit Kergouellec,60000,8.348016,55,44.4,1.7,Loire-Bretagne
0456186S0002,PONT ER BAIL,60000,8.408016,56,44.7,1.7,Loire-Bretagne
0456260S0005,tohannic,60000,8.468016,57,45,1.7,Loire-Bretagne
0471540S0002,Z I,60000,8.528016,58,45.4,1.8,Loire-Bretagne
0479049S0011,LD RHEAS,60000,8.588016,59,45.7,1.8,Loire-Bretagne
0429039S0003,CONCARNEAU - TREGUNC  (KERAMBRETON),56700,8.644716,60,46,1.8,Loire-Bretagne
0436088S0003,Les Proteaux,55667,8.700383,61,46.3,1.9,Loire-Bretagne
0429058S0004,PENFALUT,55000,8.755383,62,46.6,1.9,Loire-Bretagne
