code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
0531555V018,TOULOUSE (Ginestous),950000,0.95,1,8,0,Adour-Garonne
0533063V006,BORDEAUX (LOUIS FARGUE 2),477000,1.427,2,12,0,Adour-Garonne
0533039V005,BEGLES (CLOS DE HILDE),400000,1.827,3,15.3,0.1,Adour-Garonne
0519229V003,SAINT PANTALEON DE LARCHE (BRIVE),250000,2.077,4,17.4,0.1,Adour-Garonne
0581105V001,GRAULHET,220000,2.297,5,19.2,0.1,Adour-Garonne
0564335V004,LESCAR (PAU),190000,2.487,6,20.8,0.1,Adour-Garonne
0517380V001,ST PALAIS SUR MER,175000,2.662,7,22.3,0.2,Adour-Garonne
0533529V018,LA TESTE DE BUCH 2,150000,2.812,8,23.6,0.2,Adour-Garonne
0533051V002,BIGANOS 2,135000,2.947,9,24.7,0.2,Adour-Garonne
0512202V001,RODEZ (BENECHOU),132500,3.0795,10,25.8,0.2,Adour-Garonne
0581065V001,CASTRES,130000,3.2095,11,26.9,0.2,Adour-Garonne
0512202V002,RODEZ (CANTARANNE),120000,3.3295,12,27.9,0.3,Adour-Garonne
0533003V005,AMBARES ET LAGRAVE (SABAREGES 2),117000,3.4465,13,28.9,0.3,Adour-Garonne
0564024V010,ANGLET (PONT DE L'AVEUGLE N°2),111667,3.558167,14,29.8,0.3,Adour-Garonne
0565286V004,LOURDES (INTERCOMMUNALE),109500,3.667667,15,30.7,0.3,Adour-Garonne
0540310V002,SOUSTONS PORT D'ALBRET,100000,3.767667,16,31.6,0.4,Adour-Garonne
0564122V003,BIARRITZ (Marbella 2),100000,3.867667,17,32.4,0.4,Adour-Garonne
0582121V019,MONTAUBAN,95000,3.962667,18,33.2,0.4,Adour-Garonne
0581004V005,ALBI-INTERCOMMUNALE-C2A-,90000,4.052667,19,34,0.4,Adour-Garonne
0533162V005,EYSINES (Cantinolle 2),85500,4.138167,20,34.7,0.4,Adour-Garonne
0531541V002,SEILH (INTERCOMMUNALE BV DE L'AUSSONNELLE),85000,4.223167,21,35.4,0.5,Adour-Garonne
0516015V004,ANGOULEME (FREGENEUIL),82000,4.305167,22,36.1,0.5,Adour-Garonne
0564483V001,ST JEAN DE LUZ (ARCHILUA),78000,4.383167,23,36.7,0.5,Adour-Garonne
0512084V001,CREISSELS (MILLAU),75265,4.458432,24,37.4,0.5,Adour-Garonne
0531157V003,CUGNAUX INTERCOMMUNALE (SAUDRUNE),71000,4.529432,25,37.9,0.6,Adour-Garonne
0533056V004,BLANQUEFORT LILLE (2),67000,4.596432,26,38.5,0.6,Adour-Garonne
0517333V003,ST GEORGES DE DIDONNE,64000,4.660432,27,39,0.6,Adour-Garonne
0517385V007,St PIERRE D'OLERON LA COTINIERE N°2,60000,4.720432,28,39.5,0.6,Adour-Garonne
0531116V003,CASTELGINEST (INTERCOMMUNALE),60000,4.780432,29,40.1,0.6,Adour-Garonne
0516138V002,FLEAC (LES MURAILLES),57000,4.837432,30,40.5,0.7,Adour-Garonne
0540184V007,MIMIZAN,57000,4.894432,31,41,0.7,Adour-Garonne
0565100V004,TARBES OUEST 2,55700,4.950132,32,41.5,0.7,Adour-Garonne
0547001V009,AGEN,55000,5.005132,33,41.9,0.7,Adour-Garonne
0564102V006,BAYONNE (SAINT FREDERIC 2),55000,5.060132,34,42.4,0.7,Adour-Garonne
0517225V005,LES MATHES,52000,5.112132,35,42.8,0.8,Adour-Garonne
0524037V003,BERGERAC (STEP DU PONT ROUX ),50000,5.162132,36,43.2,0.8,Adour-Garonne
0532013V006,AUCH,50000,5.212132,37,43.7,0.8,Adour-Garonne
0533214V008,LACANAU (Station des Pellegrins),50000,5.262132,38,44.1,0.8,Adour-Garonne
0546042V004,CAHORS (ST MARY),49000,5.311132,39,44.5,0.9,Adour-Garonne
0524256V002,MARSAC SUR L ISLE (PERIGUEUX SALTGOURDE),48333,5.359465,40,44.9,0.9,Adour-Garonne
