code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
060913055001,STATION D'EPURATION DE MARSEILLE - AGGLOMERATION,1860000,1.86,1,6.7,0,Rhône-Méditerranée
060969199001,STATION D'EPURATION DE LYON - SAINT-FONS,983333,2.843333,2,10.2,0.1,Rhône-Méditerranée
060969152001,STATION D'EPURATION DE LYON - PIERRE-BENITE,950000,3.793333,3,13.6,0.1,Rhône-Méditerranée
060906088001,STATION D'EPURATION DE NICE,623333,4.416666,4,15.8,0.1,Rhône-Méditerranée
060938170002,STATION D'EPURATION DE GRENOBLE (AQUAPOLE),598333,5.014999,5,18,0.1,Rhône-Méditerranée
060983126001,STATION D'EPURATION DE TOULON OUEST - CAP-SICIE,500000,5.514999,6,19.7,0.2,Rhône-Méditerranée
060934172001,STATION D'EPURATION DE MONTPELLIER - MAERA,470000,5.984999,7,21.4,0.2,Rhône-Méditerranée
060921231001,STATION D'EPURATION DE DIJON (EAUVITALE),400000,6.384999,8,22.9,0.2,Rhône-Méditerranée
060983061001,STATION D'EPURATION DE FREJUS - REYRAN,347000,6.731999,9,24.1,0.3,Rhône-Méditerranée
060966136002,STATION D'EPURATION DE PERPIGNAN,330000,7.061999,10,25.3,0.3,Rhône-Méditerranée
060969266001,STATION D'EPURATION DE LYON - VILLEURBANNE FEYSSINE,300000,7.361999,11,26.4,0.3,Rhône-Méditerranée
060973065001,STATION D'EPURATION DE CHAMBERY,265000,7.626999,12,27.3,0.4,Rhône-Méditerranée
060906079001,STATION D'EPURATION DE CANNES - AGGLOMERATION,250000,7.876999,13,28.2,0.4,Rhône-Méditerranée
060974093001,STATION D'EPURATION DE ANNECY - CRAN-GEVRIER (SILOE),230000,8.106999,14,29,0.4,Rhône-Méditerranée
060930189002,STATION D'EPURATION DE NIMES - OUEST,220000,8.326999,15,29.8,0.4,Rhône-Méditerranée
060934032001,STATION D'EPURATION DE BEZIERS,219400,8.546399,16,30.6,0.5,Rhône-Méditerranée
060925056002,STATION D'EPURATION DE BESANCON - PORT-DOUVOT,200000,8.746399,17,31.3,0.5,Rhône-Méditerranée
060934003001,STATION D'EPURATION DE AGDE,198000,8.944399,18,32,0.5,Rhône-Méditerranée
060984007001,STATION D'EPURATION DE AVIGNON,178000,9.122399,19,32.7,0.6,Rhône-Méditerranée
060906004001,STATION D'EPURATION DE ANTIBES & BIOT,172000,9.294399,20,33.3,0.6,Rhône-Méditerranée
060913001001,STATION D'EPURATION DE AIX EN PROVENCE - LA PIOLINE,164167,9.458566,21,33.9,0.6,Rhône-Méditerranée
060974281001,STATION D'EPURATION DE THONON-LES-BAINS,160000,9.618566,22,34.4,0.6,Rhône-Méditerranée
060926362001,STATION D'EPURATION DE VALENCE,150000,9.768566,23,35,0.7,Rhône-Méditerranée
060938449001,STATION D'EPURATION DE ST QUENTIN FALLAVIER -TRAFFEY.,150000,9.918566,24,35.5,0.7,Rhône-Méditerranée
060901451003,STATION D'EPURATION DE BOURG EN BRESSE - VIRIAT,148333,10.066899,25,36,0.7,Rhône-Méditerranée
060971270001,STATION D'EPURATION DE MACON,148000,10.214899,26,36.6,0.8,Rhône-Méditerranée
060934301001,STATION D'EPURATION DE SETE,135000,10.349899,27,37.1,0.8,Rhône-Méditerranée
060906027001,STATION D'EPURATION DE CAGNES-SUR-MER,130000,10.479899,28,37.5,0.8,Rhône-Méditerranée
060969264001,STATION D'EPURATION DE VILLEFRANCHE SUR SAONE,130000,10.609899,29,38,0.9,Rhône-Méditerranée
060966008001,STATION D'EPURATION DE ARGELES SUR MER,127500,10.737399,30,38.4,0.9,Rhône-Méditerranée
060938336001,STATION D'EPURATION DE VIENNE - REVENTIN VAUGRIS,125000,10.862399,31,38.9,0.9,Rhône-Méditerranée
060920033001,STATION D'EPURATION DE BASTIA - SUD,124000,10.986399,32,39.3,0.9,Rhône-Méditerranée
060974012001,STATION D'EPURATION DE GAILLARD - ANNEMASSE,124000,11.110399,33,39.8,1,Rhône-Méditerranée
060983069001,STATION D'EPURATION DE HYERES -CARQUEIRANNE-ALMANARRE,121667,11.232066,34,40.2,1,Rhône-Méditerranée
060911069001,STATION D'EPURATION DE CARCASSONNE - SAINT-JEAN,120000,11.352066,35,40.6,1,Rhône-Méditerranée
060911262001,STATION D'EPURATION DE NARBONNE - VILLE,120000,11.472066,36,41.1,1.1,Rhône-Méditerranée
060913117001,STATION D'EPURATION DE VITROLLES,120000,11.592066,37,41.5,1.1,Rhône-Méditerranée
