code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
037800501000,PARIS SEINE AVAL,7500000,7.5,1,7.3,0,national
039407401000,PARIS SEINE-AMONT,3600000,11.1,2,10.8,0,national
060913055001,MARSEILLE,1865000,12.965,3,12.6,0,national
037862401000,PARIS SEINE GRÉSILLONS,1212000,14.177,4,13.8,0,national
026751900405,STRASBOURG,1000000,15.177,5,14.8,0,national
060969199001,LYON - SAINT FONS,983333,16.160333,6,15.7,0,national
060969152001,LYON - PIERRE BÉNITE,950000,17.110333,7,16.6,0,national
0531555V018,TOULOUSE GINESTOUS,950000,18.060333,8,17.6,0,national
039202501000,PARIS SEINE-CENTRE,900000,18.960333,9,18.4,0,national
060906088001,NICE-HALIOTIS,623333,19.583666,10,19,0,national
0444109S0011,NANTES 1-TOUGAS,600000,20.183666,11,19.6,0.1,national
011031300000,LILLE C. U. MARQUETTE,555333,20.738999,12,20.2,0.1,national
039305101000,PARIS MARNE AVAL,550000,21.288999,13,20.7,0.1,national
037649801000,ROUEN,550000,21.838999,14,21.2,0.1,national
060983126001,CAP SICIÉ - AMPHITRIA,500000,22.338999,15,21.7,0.1,national
025435700075,MAXEVILLE,500000,22.838999,16,22.2,0.1,national
026830000459,SAUSHEIM,490000,23.328999,17,22.7,0.1,national
0533063V006,BORDEAUX (LOUIS FARGUE 2),477000,23.805999,18,23.1,0.1,national
035147401000,REIMS,470000,24.275999,19,23.6,0.1,national
060934172001,MAERA (EX CEREIREDE),466667,24.742666,20,24.1,0.1,national
025745200219,METZ,440000,25.182666,21,24.5,0.1,national
060938170002,GRENOBLE / AQUAPOLE,433333,25.615999,22,24.9,0.1,national
0463113S0006,CLERMONT-FERRAND,425000,26.040999,23,25.3,0.1,national
011056200000,ROUBAIX WATTRELOS,416667,26.457666,24,25.7,0.1,national
039545001000,CERGY-PONTOISE-NEUVILLE SUR OISE.,408333,26.865999,25,26.1,0.1,national
0533039V005,BEGLES (CLOS DE HILDE),408333,27.274332,26,26.5,0.1,national
060921231001,DIJON,400000,27.674332,27,26.9,0.1,national
0437195S0002,"TOURS, LA RICHE LA GRANGE DAVID",393330,28.067662,28,27.3,0.1,national
0472181S0016,LE MANS - LA CHAUVINIÈRE,365000,28.432662,29,27.6,0.1,national
0435238S0004,RENNES,360000,28.792662,30,28,0.1,national
037743801000,LAGNY-SUR-MARNE ST THIBAULT-DES-VIGNES,350000,29.142662,31,28.3,0.1,national
0445075S0003,ORLEANS LA CHAPELLE-SAINT-MESMIN,350000,29.492662,32,28.7,0.1,national
060983061001,REYRAN,346600,29.839262,33,29,0.2,national
037804301000,CARRE DE REUNION,340000,30.179262,34,29.3,0.2,national
031443702000,MONDEVILLE,332000,30.511262,35,29.7,0.2,national
037635102000,LE HAVRE,322000,30.833262,36,30,0.2,national
039300701000,PARIS SEINE-MORÉE,320000,31.153262,37,30.3,0.2,national
060969266001,VILLEURBANNE (FEYSSINE),300000,31.453262,38,30.6,0.2,national
0531483V004,SAINT-GAUDENS (FIBRE EXCELLENCE EX TEMBE,300000,31.753262,39,30.9,0.2,national
060966136002,PERPIGNAN,299100,32.052362,40,31.2,0.2,national
0487085S0012,LIMOGES,285000,32.337362,41,31.4,0.2,national
0449007S0002,ANGERS LA BAUMETTE,285000,32.622362,42,31.7,0.2,national
0442218S0019,SAINT-ETIENNE - FURANIA,282000,32.904362,43,32,0.2,national
039508801000,BONNEUIL-EN-FRANCE,273000,33.177362,44,32.2,0.2,national
0429232S0004,STEU DE:  QUIMPER - Corniguel,267000,33.444362,45,32.5,0.2,national
012020500000,AMIENS,260000,33.704362,46,32.8,0.2,national
031003001000,TROYES BARBEREY,260000,33.964362,47,33,0.2,national
060973065001,CHAMBÉRY,258750,34.223112,48,33.3,0.2,national
026806600424,COLMAR,250000,34.473112,49,33.5,0.2,national
0519229V003,SAINT PANTALEON DE LARCHE (BRIVE),250000,34.723112,50,33.8,0.2,national
060906079001,CANNES,250000,34.973112,51,34,0.2,national
060906004001,ANTIBES,245000,35.218112,52,34.2,0.2,national
060974093001,CRAN-GEVRIER - SILOE,234500,35.452612,53,34.5,0.2,national
039122801000,EVRY CENTRE-CAECE,220000,35.672612,54,34.7,0.3,national
0581105V001,GRAULHET,220000,35.892612,55,34.9,0.3,national
060930189002,NIMES,220000,36.112612,56,35.1,0.3,national
060934032001,BEZIERS,219400,36.332012,57,35.3,0.3,national
026728602110,OBERNAI MEISTRATZHEIM,204550,36.536562000000004,58,35.5,0.3,national
060934003001,AGDE,197583,36.734145,59,35.7,0.3,national
0453130S0009,LAVAL-,190333,36.924478,60,35.9,0.3,national
0564335V004,LESCAR,190000,37.114478,61,36.1,0.3,national
011036900000,FACHES-THUMESNIL LILLE-C.U.-HOUPLIN ANCO,188333,37.302811,62,36.3,0.3,national
060925056002,BESANCON - PORT-DOUVOT,188333,37.491144,63,36.4,0.3,national
011055500000,BOULOGNE SUR MER,180000,37.671144,64,36.6,0.3,national
0444143S0002,NANTES 2 - PETITE CALIFORNIE,180000,37.851144,65,36.8,0.3,national
0444069S0002,LA BAULE-ESCOUBLAC-GUERANDE LIVERY,178000,38.029144,66,37,0.3,national
060984007001,AVIGNON - LE PONTET,177166,38.20631,67,37.1,0.3,national
060911069001,CARCASSONNE NOUVELLE,176000,38.38231,68,37.3,0.3,national
0422136S0006,LOUDEAC-CALOUET,175000,38.55731,69,37.5,0.3,national
0517380V001,ST PALAIS SUR MER,175000,38.73231,70,37.6,0.3,national
0442187S0007,ROANNE - LES 3 PONTS,173000,38.90531,71,37.8,0.3,national
060926362001,VALENCE,171666,39.076976,72,38,0.3,national
109741100002,STEU DU GRAND PRADO,170000,39.246976,73,38.1,0.3,national
0429019S0010,STEU DE: BREST (ZONE-PORTUAIRE),170000,39.416976,74,38.3,0.3,national
0417300S0002,LA ROCHELLE,170000,39.586976,75,38.5,0.3,national
0436044S0005,CHATEAUROUX,168500,39.755476,76,38.6,0.4,national
032729902000,GRAVIGNY-CTEU,166750,39.922226,77,38.8,0.4,national
0456121S0005,LORIENT Kérolay,166667,40.088893,78,39,0.4,national
011031500000,DOUAI,165000,40.253893,79,39.1,0.4,national
060913001001,AIX EN PROVENCE LA PIOLINE,164167,40.41806,80,39.3,0.4,national
032822901000,MARE CORBONNE,160000,40.57806,81,39.4,0.4,national
0486194S0005,POITIERS LA FOLIE,152500,40.73056,82,39.6,0.4,national
011042400000,VILLENEUVE-D'ASCQ,151083,40.881643,83,39.7,0.4,national
035060201000,TOURLAVILLE,150000,41.031643,84,39.9,0.4,national
060938449001,VILLEFONTAINE ST-QUENTIN-FALLAVIER / TRA,150000,41.181643,85,40,0.4,national
0533529V018,LA TESTE DE BUCH 2,150000,41.331643,86,40.2,0.4,national
0449099S0012,CHOLET-LES CINQ PONTS,149000,41.480643,87,40.3,0.4,national
060974281001,THONON LES BAINS,148500,41.629143,88,40.5,0.4,national
060901451003,BOURG-EN-BRESSE - VIRIAT,148333,41.777476,89,40.6,0.4,national
060971270001,MACON,147500,41.924976,90,40.8,0.4,national
0422278S0002,SAINT-BRIEUC LE LÉGUÉ,140000,42.064976,91,40.9,0.4,national
035134401000,EPERNAY,138300,42.203276,92,41,0.4,national
011039600000,GAUCHY,136250,42.339526,93,41.2,0.4,national
037853101000,ROSNY-SUR-SEINE,135417,42.474943,94,41.3,0.4,national
060934301001,SETE,135000,42.609943,95,41.4,0.4,national
