Code SANDRE;Date de mise en configuration actuelle;Date mise en service;Date de fermeture;Nom ouvrage;Commune d'implantation;Code insee commune;Cours d'eau;Entité Hydro;Masse d'eau;Code masse d'eau;X (L93);Y (L93);Capacité nominale;Unité;Exploitant;Maître d'ouvrage;Autorisation de rejet;Communes raccordées
"026800401101";"25/09/1998";"25/09/1998";"";"ALTKIRCH";"ALTKIRCH";"68004";"";"A1050030";"ILL 2";"FRCR17";"1019662";"6734294";"1053";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"CC D'ALTKIRCH";"12/04/1995";
"026732500362";"02/11/2000";"01/01/1983";"";"NIEDERHASLACH";"NIEDERHASLACH";"67325";"";"A2740110";"BRUCHE 3";"FRCR90";"1021145";"6833715";"486";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIVOM MOY VALLEE DE LA BRUCHE & HASEL";"";
"026728900348";"01/01/1977";"01/01/1977";"25/05/2009";"INGWILLER";"MENCHHOFFEN";"67289";"";"A3120100";"MODER 2";"FRCR153";"1030608";"6871292";"690";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIA DE LA REGION D'INGWILLER";"";
"025765501296";"01/01/2000";"01/01/2000";"";"SOLGNE";"SOLGNE";"57655";"";"A7840300";"RUISSEAU DE MOINCE";"FRCR366";"940425";"6878517";"83,7";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"SM D'ASSAINISSEMENT DE LA SEILLE AVAL";"23/01/2006";
"025506202274";"30/01/2012";"30/01/2012";"";"BOUCONVILLE-SUR-MADT";"BOUCONVILLE-SUR-MADT";"55062";"";"A7300200";"RUPT DE MAD 1";"FRCR343";"899948";"6863781";"10";"kg/j DBO5";"CNE DE BOUCONVILLE-S-MADT";"CNE DE BOUCONVILLE-S-MADT";"23/03/2009";
"025752300231";"01/06/2008";"01/01/1984";"";"OGY";"OGY";"57523";"";"A7890350";"RUISSEAU DE VALLIERES";"FRCR371";"940899";"6894507";"62";"kg/j DBO5";"SM COMOGYRE";"SM COMOGYRE";"08/08/2007";
"025526702214";"01/05/2012";"01/05/2012";"";"HAUMONT-LES-LACHAUSSEE";"LACHAUSSEE";"55267";"";"A8100200";"YRON";"FRCR382";"904945";"6882419";"9";"kg/j DBO5";"SIE DU SOIRON";"SIE DU SOIRON";"10/09/2010";
"025769000278";"01/01/1956";"01/01/1956";"31/05/2000";"VALMONT (SETA)";"VALMONT";"57690";"RIVIERE LA NIED ALLEMANDE";"A981020A";"NIED ALLEMANDE 1";"FRCR459";"970128";"6892720";"21";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"SIA DES TROIS VALLEES";"";
"025706000123";"04/06/1968";"04/06/1968";"29/04/2012";"BENESTROFF";"BENESTROFF";"57060";"";"A9100200";"ALBE 1";"FRCR432";"975827";"6874246";"21";"kg/j DBO5";"CNE DE BENESTROFF";"CNE DE BENESTROFF";"";
"026743500385";"01/01/1981";"01/01/1981";"";"SARREWERDEN";"SARREWERDEN";"67435";"";"A9070100";"SARRE 3";"FRCR413";"998925";"6878003";"720";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"26/03/1982";
"028810402447";"01/07/2013";"01/07/2013";"";"CIRCOURT-SUR-MOUZON";"CIRCOURT-SUR-MOUZON";"88104";"";"B1090200";"MOUZON 2";"FRB1R486";"900988";"6802939";"7";"kg/j DBO5";"CNE DE CIRCOURT-SUR-MOUZON";"CNE DE CIRCOURT-SUR-MOUZON";"26/06/2012";
"025539800105";"01/01/1970";"01/01/1970";"11/01/2012";"PAGNY-S-MEUSE";"PAGNY-SUR-MEUSE";"55398";"";"B2100000";"MEUSE 3";"FRB1R472";"899729";"6846687";"84";"kg/j DBO5";"CNE DE PAGNY-SUR-MEUSE";"CNE DE PAGNY-SUR-MEUSE";"10/11/2006";
"026806600424";"01/04/1997";"01/07/1978";"";"COLMAR LA FERME DU LADHOF";"COLMAR";"68066";"";"A1610030";"ILL 5";"FRCR20";"1026306";"6787835";"11898";"kg/j DBO5";"COLMARIENNE DES EAUX SEML";"SM TRAIT EAUX USEES DE COLMAR ET ENV";"22/08/1994";
"026837501216";"01/11/1997";"01/01/1975";"";"WITTELSHEIM";"WITTELSHEIM";"68375";"";"A1460200";"THUR 4";"FRCR69";"1019649";"6755193";"1155,6";"kg/j DBO5";"SOGEST";"SM WISTARI";"04/04/1996";
"026745800389";"01/01/1972";"01/01/1972";"31/01/2002";"SCHWEIGHOUSE-SUR-MODER";"SCHWEIGHOUSE-SUR-MODER";"67458";"RIVIERE LA MODER";"A315010A";"MODER 3";"FRCR154";"1048027";"6868472";"330";"kg/j DBO5";"LYONNAISE DES EAUX";"SIVOM DE SCHWEIGHOUSE-SUR-MODER";"";
"026728300347";"01/01/1989";"01/01/1989";"";"MARMOUTIER";"MARMOUTIER";"67283";"";"A3450600";"MOSSEL";"FRCR190";"1023238";"6855122";"399";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"CC DU PAYS DE MARMOUTIER SOMMERAU";"";
"028809800479";"01/01/1996";"01/05/1988";"";"CHAUMOUSEY SANCHEY";"CHAUMOUSEY";"88098";"";"A4600500";"AVIERE";"FRCR242";"949256";"6790959";"73,8";"kg/j DBO5";"SYND D'EPURATION DE CHAUMOUSEY-SANCHEY";"SYND D'EPURATION DE CHAUMOUSEY-SANCHEY";"";
"025404701940";"01/12/2008";"01/12/2008";"";"BARISEY-LA-COTE";"BARISEY-LA-COTE";"54047";"";"A5600200";"BOUVADE";"FRCR272";"910043";"6830746";"14";"kg/j DBO5";"CNE DE BARISEY-LA-COTE";"CNE DE BARISEY-LA-COTE";"18/03/2004";
"025754701244";"01/09/1999";"01/09/1999";"";"POMMERIEUX";"POMMERIEUX";"57547";"";"A7860100";"SEILLE 4";"FRCR335";"932132";"6882081";"301,98";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"SM D'ASSAINISSEMENT DE LA SEILLE AVAL";"24/10/1997";
"025708402345";"01/03/2014";"01/03/2014";"";"BIONCOURT ALINCOURT";"BIONCOURT";"57084";"";"A7730100";"SEILLE 3";"FRCR334";"945987";"6861215";"2";"kg/j DBO5";"CNE DE BIONCOURT";"CNE DE BIONCOURT";"01/03/2012";
"025771601888";"01/12/2008";"01/12/2008";"";"VIGY";"VIGY";"57716";"";"A7910920";"BEVOTTE";"FRCR376";"939758";"6905304";"135";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"CC DU HAUT CHEMIN";"";
"025773300286";"01/01/1971";"01/01/1971";"30/04/2000";"VOLTROFF REINANGE";"VOLSTROFF";"57733";"RUISSEAU LA SEE";"A850047A";"";"";"935603";"6916392";"12";"kg/j DBO5";"CNE DE VOLSTROFF";"CNE DE VOLSTROFF";"";
