Numouvep,Nomouvep,Numineco,Coola2ex,Coola2ey,Coola2ez,Codhyd,Libcodhyd,Numnat,Codeurme,Nommasea,Datmises,Datfer,Datautre,Datcnfac,Nomcom,Coddep,Libdep,Codmilsu,Libmilsu,Valcapst,Valcapconstructeur,Unicapst,Codpar,Maitre Ouvrage,Exploitant,Coola2ex Rjet,Coola2ey Rjet,Type Ouvrage,Cap Traitmt Reglmt,Debit Reference,Debit Moy Jour,Debit Horair Pointe,Code Hydro
1903,EGUISHEIM ,68078,1023645,6779979,,A1560200,LA LAUCH,26807801903,FRCR78,LAUCH 3,6/9/08,,7/28/06,,EGUISHEIM,68,HAUT-RHIN,A15-0200,La Lauch,1660,1080,kg/j DBO5,86,ETS ROBERT WEHRLEN,,1024367,6780590,Boues Activées - traitement Azote - traitement Phosphore,23500,11376,5050,631,
1949,ENSISHEIM ,68082,1024698,6761826,,A1330030,RIVIERE L'ILL,26808201949,FRCR19,ILL 4,9/29/09,,1/12/09,,ENSISHEIM,68,HAUT-RHIN,A---0030,L'Ill,1270,908,kg/j DBO5,86,LYCEE PROFESSIONNEL CHARLES STOESSEL,LYCEE PROFESSIONNEL CHARLES STOESSEL,1024528,6761783,Boues Activées - traitement Azote - traitement Phosphore,16500,9900,3100,387,
2417,GOLDBACH ,68106,1006815,6760372,,A1430750,RUISSEAU LE MITTELBACHRUNZ,26810602417,FRCR74,WISSBACH,3/1/12,,,,GOLDBACH-ALTENBACH,68,HAUT-RHIN,A1430750,Ruisseau le Mittelbachrunz,7,8,kg/j DBO5,86,SARL BULLES DE JEUX,SARL BULLES DE JEUX,1006847,6760365,Filtres plantés de Roseaux,,,23,2,
453,PULVERSHEIM ,68258,1022881,6758290,,A1460740,RUISSEAU LE VEIDRUNTZ,26825800453,FRCR69,THUR 4,6/1/76,6/9/13,8/9/76,,PULVERSHEIM,68,HAUT-RHIN,A1460740,Ruisseau le Veidruntz,189,,kg/j DBO5,86,LA POUPONNIERE,FERMATEC,,,Boues Activées,3150,,832,104,
419,BERNWILLER ,68006,1015449,6740607,,A1150670,ruisseau le Spechbach,26803100419,FRCR51,KREBSBACH (AFFL. LARGUE),11/1/86,,,,BERNWILLER,68,HAUT-RHIN,A1150670,Ruisseau le Krebsbach,30,30,kg/j DBO5,86,,,,,Lagunage Naturel,,,75,9,
2156,BALLERSDORF ,68017,1011533,6733430,,A1140350,RUISSEAU DE BALLERSDORF,26801702156,FRCR49,BALLERSDORF,4/30/11,,11/17/09,,BALLERSDORF,68,HAUT-RHIN,A1140350,Ruisseau de Ballersdorf,67,50,kg/j DBO5,86,,,1011545,6733471,Filtres plantés de Roseaux,833,,335,27.7,
2600,HINDLINGEN ,68137,1011110,6727786,,A1120200,LA LARGUE,26813702600,FRCR705,LARGUE 2,3/1/16,,10/9/14,,HINDLINGEN,68,HAUT-RHIN,A11-0200,La Largue,49,43,kg/j DBO5,86,,,1010956,6727754,Filtres plantés de Roseaux,717,422,234,17.5,
2601,LARGITZEN ,68176,1014158,6726141,,A1110410,RUISSEAU DE LARGITZEN,26817602601,FRCR703,RUISSEAU DE LARGITZEN,3/1/16,,10/9/14,,LARGITZEN,68,HAUT-RHIN,A1110410,Ruisseau de Largitzen,22,19,kg/j DBO5,86,,,1014158,6726049,Filtres plantés de Roseaux,317,180,90,7.4,
841,MANSPACH ,68200,1008076,6732586,,A1120200,RIVIERE LA LARGUE,26820000841,FRCR705,LARGUE 2,1/1/96,,,,MANSPACH,68,HAUT-RHIN,A11-0200,La Largue,36,,kg/j DBO5,86,,,,,Filtres plantés de Roseaux,,,150,0,
2209,MONTREUX-JEUNE ,68214,1002222,6730957,,,CANAL RHIN-RHONE,26821402209,,,11/1/10,,6/25/10,,MONTREUX-JEUNE,68,HAUT-RHIN,,,29,24,kg/j DBO5,86,,,1002171,6730981,Lagunage Naturel,400,395,145,18,
1946,WOLFERSDORF ,68378,1009006,6735736,,A1120200,RIVIERE LA LARGUE,26837801946,FRCR705,LARGUE 2,5/25/09,,2/16/06,,WOLFERSDORF,68,HAUT-RHIN,A11-0200,La Largue,,,kg/j DBO5,86,,,1009187,6735767,Boues Activées - traitement Azote - traitement Phosphore,5200,3224,,,
1204,BISCHWILLER ,67046,1058901,6861808,,A3320100,RIVIERE LA MODER,26704601204,FRCR155,MODER 4,9/1/99,,8/11/97,,BISCHWILLER,67,BAS-RHIN,A3--0100,La Moder,2106,2100,kg/j DBO5,86,,,1058968,6861849,Boues Activées - traitement Azote - traitement Phosphore,35000,,6170,771,
1211,DRUSENHEIM ,67106,1064272,6860303,,A3530200,RUISSEAU LE LANDGRABEN,26710601211,FRCR3,RHIN 3,8/30/99,,10/15/96,,DRUSENHEIM,67,BAS-RHIN,A35-0200,Le Landgraben,1039.5,978,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1064887,6861595,Boues Activées - traitement Azote - traitement Phosphore,16600,12700,5190,649,
1347,ERNOLSHEIM-SUR-BRUCHE ,67128,1037608,6838040,,A2850110,RIVIERE LA BRUCHE,26712801347,FRCR91,BRUCHE 4,1/1/02,,3/29/99,,ERNOLSHEIM-BRUCHE,67,BAS-RHIN,A2--0110,La Bruche,945,1080,kg/j DBO5,86,ROTH ET AUBE TRANSPORTS,LINSIG CAROLE,1037767,6838187,Boues Activées - traitement Azote - traitement Phosphore,18000,,4512,564,
2379,ERSTEIN ,67130,1045600,6825115,,A2560212,RUISSEAU LA SCHEER,26713002379,FRCR22,ILL 7,7/28/14,,12/20/12,,ERSTEIN,67,BAS-RHIN,A25-0212,La Scheer,2250,1815,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1045448,6825322,Boues Activées - traitement Azote - traitement Phosphore,33000,16137,8787,615,
379,RHINAU ,67397,1048890,6813167,,A051030D,RUISSEAU LE BRUNNWASSER,26739700379,,,1/1/74,12/31/03,,,RHINAU,67,BAS-RHIN,A0510300,Ruisseau le Brunnwasser,348,,kg/j DBO5,86,SOCIETE BOIS COMPOSES,,,,Boues Activées,,,1168,146,A0510300
