type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0579061V0021;CELLES SUR BELLE (Base de loisirs );79061;Celles-sur-Belle;452096.0;6576224.0;F;;0479061S0002;CELLES SUR BELLE ( Base de loisirs );;450.0;Primaire bio simple (Décanteur Digesteur;68.0;;;;;79061;Celles-sur-Belle;79061000A;21790061200011;COMMUNE DE CELLES SUR BELLE ;452096.66;6576227.5
RJ;0511236V0021;MOLANDIER 2;11236;Molandier;595505.0;6239070.0;R;;0511236V002;MOLANDIER 2;Unitaire;190.0;Secondaire bio (Ntk);28.0;;;;;11236;Molandier;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;595545.0;6239080.0
RJ;0512159V0031;MORLHON LE HAUT (Marmont);12159;Morlhon-le-Haut;625886.0;6358957.0;F;;0512159V003;MORLHON LE HAUT (Dauquies);;140.0;Secondaire bio (Ntk);4.5;;;;;12159;Morlhon-le-Haut;12159000A;21120159500017;COMMUNE DE MORLHON LE HAUT ;625613.0;6359000.0
RJ;0515011V0011;ARNAC (CAMPING MUNICIPAL);15011;Arnac;637773.0;6442931.0;R;;0515011V001;ARNAC (CAMPING MUNICIPAL);Séparatif;400.0;Secondaire bio (Ntk);60.0;;;;;15011;Arnac;15011000A;21150011100011;COMMUNE D'ARNAC ;638024.0;6443027.0
RJ;0581043V0021;BUSQUE CENTRE DE LOISIRS LA COURBE;81043;Busque;614465.2;6299869.0;R;;0581043V002;BUSQUE CENTRE DE LOISIRS LA COURBE;;230.0;Primaire bio simple (Décanteur Digesteur;50.0;;;;;81043;Busque;81105000A;21810105300013;COMMUNE DE GRAULHET ;614232.6;6299817.5
RJ;0512003V0021;Les Albres (bourg);12003;Les Albres;634697.0;6382360.0;F;;0512003V002;Les Albres (bourg);Séparatif;225.0;Secondaire bio (Ntk et Pt bio);33.8;;;;;12003;Les Albres;12003000A;21120003500015;COMMUNE DES ALBRES ;634605.0;6382290.0
RJ;0509214V0011;MOULIS - BOURG;09214;Moulis;544431.0;6208720.0;R;;0509214V001;MOULIS - BOURG;Séparatif;430.0;Secondaire bio (Ntk);64.5;;;;;09214;Moulis;09268009A;20006794000185;COMMUNAUTE DE COMMUNES COUSERANS PYRENEES;544435.0;6208680.0
RJ;0531037V0021;AVIGNONET LAURAGAIS (PORT LAURAGAIS);31037;Avignonet-Lauragais;603069.0;6251400.0;R;;0531037V002;AVIGNONET LAURAGAIS (PORT LAURAGAIS);Séparatif;500.0;Secondaire bio (Ntk);82.0;;;;;31037;Avignonet-Lauragais;31000000B;22310001700423;DEPARTEMENT DE LA HAUTE-GARONNE ;603024.0;6251390.0
RJ;0524416V0011;SAINT GERMAIN DE BELVES;24416;Saint-Germain-de-Belvès;544712.94;6413897.0;R;;0524416V001;SAINT GERMAIN DE BELVES;;130.0;Primaire bio simple (Décanteur Digesteur;19.0;;;;;24416;Saint-Germain-de-Belvès;24396011A;20004105100018;COMMUNAUTE DE COMMUNES VALLEE DORDOGNE ET FORET BESSEDE;544712.94;6413897.0
RJ;0516267V0011;POULLIGNAC (DECHARGE);16267;Poullignac;466282.7;6482193.5;R;;0516267V001;POULLIGNAC (DECHARGE);;150.0;Lagunes;30.0;;;;;16267;Poullignac;16267000A;21160267700018;COMMUNE DE POULLIGNAC ;466250.34;6482238.5
RJ;0531278V0011;LATOUE;31278;Latoue;519528.06;6232882.5;R;;0531278V001;LATOUE;Séparatif;200.0;Secondaire bio (Ntk);30.0;;;;;31278;Latoue;31278000A;21310278300015;COMMUNE DE LATOUE ;519528.06;6232882.5
RJ;0516290V0011;ROUZEDE (DECHARGE);16290;Rouzède;511796.25;6516305.5;R;;0516290V001;ROUZEDE (DECHARGE);;400.0;Lagunes;80.0;;;;;16290;Rouzède;16290000A;21160290900015;COMMUNE DE ROUZEDE ;511789.78;6516341.0
RJ;0611263V0021;NEBIAS( LAFAGE);11263;Nébias;626871.44;6199410.5;R;;0511263V002;NEBIAS( LAFAGE);;50.0;Secondaire bio (Ntk);8.0;;;;;11263;Nébias;11263000A;21110263700017;COMMUNE DE NEBIAS ;628899.0;6198349.0
