Année;Code_step;Nom_step;Capacité_traitement;Dispositif_traitement;CoordonnéeX_step;CoordonnéeY_step;CoordonnéeX_rejet;CoordonnéeY_rejet;Code_qualité_localisation_Rejet;Libellé_qualité_localisation_Rejet;Code_commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2003;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;846033;6544856;846027;6544895;1;Précision bonne (dans un rayon de 50 m);01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2003;060901006001;AMBLEON;120;Biol. / Nitrif.;902323;6519883;902305;6519812;1;Précision bonne (dans un rayon de 50 m);01006;AMBLEON;01;RHONE-ALPES;V161
2003;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;881575;6547613;881563;6547635;1;Précision bonne (dans un rayon de 50 m);01007;AMBRONAY;01;RHONE-ALPES;V290
2003;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;905812;6524918;905803;6524815;1;Précision bonne (dans un rayon de 50 m);01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2003;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;917909;6536718;917913;6536694;1;Précision bonne (dans un rayon de 50 m);01010;ANGLEFORT;01;RHONE-ALPES;V126
2003;060901011001;APREMONT;400;Biol. / Nitrif.;905175;6571403;905124;6571421;1;Précision bonne (dans un rayon de 50 m);01011;APREMONT;01;RHONE-ALPES;V251
2003;060901021002;ARS SUR FORMANS;2250;Biologique Simple;840732;6545053;840736;6545028;1;Précision bonne (dans un rayon de 50 m);01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2003;060901022002;ARTEMARE;1500;Biol. / Nitrif.;909135;6533439;909178;6533426;1;Précision bonne (dans un rayon de 50 m);01022;ARTEMARE;01;RHONE-ALPES;V143
2003;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;867654;6576575;867693;6576571;1;Précision bonne (dans un rayon de 50 m);01024;ATTIGNAT;01;RHONE-ALPES;U401
2003;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;866842;6578671;866933;6578641;1;Précision bonne (dans un rayon de 50 m);01024;ATTIGNAT;01;RHONE-ALPES;U403
2003;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;849888;6581986;849878;6582106;1;Précision bonne (dans un rayon de 50 m);01025;BAGE LA VILLE;01;RHONE-ALPES;U411
2003;060901026001;BAGE LE CHATEL;1100;Lagune;848214;6580195;848201;6580122;1;Précision bonne (dans un rayon de 50 m);01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
2003;060901028001;BANEINS - CHEF LIEU;225;Lagune;846518;6558506;846383;6558539;1;Précision bonne (dans un rayon de 50 m);01028;BANEINS;01;RHONE-ALPES;U440
2003;060901029001;BEAUPONT;285;Biologique Simple;873633;6592261;873616;6592233;1;Précision bonne (dans un rayon de 50 m);01029;BEAUPONT;01;RHONE-ALPES;U344
2003;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;917589;6557982;917613;6557930;1;Précision bonne (dans un rayon de 50 m);01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
2003;060901034001;BELLEY - CHEF LIEU;18333;Biol. / Nitrif.;910111;6520966;910244;6520754;1;Précision bonne (dans un rayon de 50 m);01034;BELLEY;01;RHONE-ALPES;V146
2003;060901035001;BELLEYDOUX;300;Biol. / Nitrif.;914187;6576129;914196;6576140;1;Précision bonne (dans un rayon de 50 m);01035;BELLEYDOUX;01;RHONE-ALPES;V101
