Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;libelle_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau;Nom_Masse_Eau
2008;060904200002;STATION D'EPURATION DE SALIGNAC - SENS;500;Biologique Simple;938992;6344387;938992;6344387;3;Localisation imprécise;04200;SALIGNAC;04;PROVENCE-ALPES-COTE D'AZUR;FRDR11749;riou de jabron
2008;060911086002;STATION D'EPURATION DE CAVES;1000;Biologique avec nitrification;698675;6203299;698622;6203126;2;Précision +- 500 mètres;11086;CAVES;11;LANGUEDOC-ROUSSILLON;FRDT02;Salses-Leucate
2008;060983111001;STATION D'EPURATION DE SAINTE ANASTASIE;1800;Biologique avec nitrification;954486;6253874;954484;6253914;2;Précision +- 500 mètres;83111;STE ANASTASIE SUR ISSOLE;83;PROVENCE-ALPES-COTE D'AZUR;FRDR131;L'Arc de sa source à la Cause
2008;060921575001;STATION D'EPURATION DE SAINT SYMPHORIEN SUR SAONE;400;Biologique avec nitrification;874664;6669590;874603;6669719;1;Précision +- 50 mètres;21575;ST SYMPHORIEN SUR SAONE;21;BOURGOGNE;FRDR1806b;La Saône du Salon à la déviation de Seurre
2008;060925051001;STATION D'EPURATION DE BELLEHERBE;1950;Biologique avec nitrification;977295;6691021;977284;6691036;1;Précision +- 50 mètres;25051;BELLEHERBE;25;FRANCHE-COMTE;FRDR10425;ruisseau de vaucluse
2008;060920062001;STATION D EPURATION DE CARBUCCIA VILLAGE;400;Biologique avec nitrification;1193529;6123286;1193528;6123293;1;Précision +- 50 mètres;20062;CARBUCCIA;2A;CORSE;FRER39;La Gravona de sa source au ruisseau des Moulins inclus
2008;060934261001;STATION D'EPURATION DE ST GUILHEM LE DESERT;1000;Biologique avec nitrification;744505;6292420;744517;6292413;1;Précision +- 50 mètres;34261;ST GUILHEM LE DESERT;34;LANGUEDOC-ROUSSILLON;FRDR169;L'Hérault du barrage de Moulin Bertrand au ruisseau de Gassac
2008;060925248002;STATION D'EPURATION DE LES FONTENELLES - FRAMBOUHANS;1750;Biologique avec nitrification et déphosphatation;983595;6683929;983572;6683902;1;Précision +- 50 mètres;25248;LES FONTENELLES;25;FRANCHE-COMTE;;
2008;060970312001;STATION D'EPURATION DE LUZE - CHAGEY;1500;Biologique avec nitrification;980672;6728345;980706;6728317;1;Précision +- 50 mètres;70312;LUZE;70;FRANCHE-COMTE;FRDR1679;La Lizaine
2008;060904118001;STATION D'EPURATION DE MELVE;150;Biologique avec nitrification;937923;6365917;937741;6365878;1;Précision +- 50 mètres;04118;MELVE;04;PROVENCE-ALPES-COTE D'AZUR;FRDR11810;torrent le mouson
