Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930029002;Barjac;5000;Biologique avec nitrification;806679;6356526;806636;6356531;2;30029;BARJAC;30;76;;;;;
2015;060930031001;La Bastide D'Engras           ;500;Biologique avec nitrification;818356;6333712;818335;6333694;1;30031;LA BASTIDE D ENGRAS;30;76;;;;;
2015;060930032001;Beaucaire;40000;Biologique avec nitrification et dénitrification;832395;6300822;832585;6300951;1;30032;BEAUCAIRE;30;76;;;;;
2015;060930033002;Beauvoisin - Generac;9500;Biologique avec nitrification et dénitrification;805642;6293182;805623;6293207;1;30033;BEAUVOISIN;30;76;;;;;
2015;060930033002;Beauvoisin - Generac;9500;Biologique avec nitrification et dénitrification;805642;6293182;805623;6293207;1;30033;BEAUVOISIN;30;76;;;;;
2015;060930034001;Bellegarde;8000;Biol. avec nitrif., dénitrif. et déphosphatation;822697;6295343;822740;6295302;1;30034;BELLEGARDE;30;76;;;;;
2015;060930035001;Belvezet;400;Biologique avec nitrification;809303;6331685;809501;6331668;1;30035;BELVEZET;30;76;;;;;
2015;060930036002;Bernis - Aubord;7000;Biologique avec nitrification et dénitrification;804578;6296475;804409;6296503;1;30036;BERNIS;30;76;;;;;
2015;060930036002;Bernis - Aubord;7000;Biologique avec nitrification et dénitrification;804578;6296475;804409;6296503;1;30036;BERNIS;30;76;;;;;
2015;060930037002;Besseges;12000;Biol. avec nitrif., dénitrif. et déphosphatation;789465;6354456;789397;6354367;1;30037;BESSEGES;30;76;;;;;
