ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2017;060901002001;STATION D'EPURATION DE L'ABERGEMENT DE VAREY - BOURG;268;11,505;45,24;17,745;3,106;;;;,058;,951;,078;1,444;;;;L ABERGEMENT DE VAREY;AIN;AUVERGNE-RHONE-ALPES;
2017;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;10,769;29,813;11,849;9,636;;;;,426;3,645;,243;27,972;;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2017;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;76,83;173,445;103,824;23,982;;;;1,479;9,963;2,811;8,532;;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2017;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;6,804;14,483;6,075;2,679;;;;;;0;0;;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2017;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;87,818;216,634;86,541;15,017;;;;2,762;15,089;7,811;3;;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2017;060901011001;STATION D'EPURATION DE APREMONT;400;7,684;16,848;7,125;1,305;;;;,726;2,389;,643;,817;;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2017;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;52,463;160,09;91,316;16,642;;;;,973;9,227;,923;4,969;;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2017;060901022002;STATION D'EPURATION DE ARTEMARE;1500;51,718;138,713;62,113;17,703;;;;1,194;12,102;1,218;3,875;;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2017;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;55,067;238,172;116,601;16,875;;;;;4,619;,609;1,623;;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2017;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;60,325;137,43;62,2;22,856;;;;;7,945;,924;3,838;;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2017;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;48,061;133,35;72,636;9,777;;;;;2,423;;4,957;;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2017;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;22,039;69,93;40,93;6,35;;;;,572;14,31;11,448;5,558;;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2017;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;42,67;120,197;82,385;8,291;;;;;;;5,826;;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
