Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
1999;060901005001;AMBERIEUX EN DOMBES;1900;Biol. / Nitrif.;727,643;65,513;41,491;2,912;10,919;,146;,036;,167;242,305119;19,6539;12,4473;2,3296;4,3676;,1022;,0252;,0835;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
1999;060901006001;AMBLEON;120;Biol. / Nitrif.;21,627;1,947;1,233;,087;,324;,004;,001;,005;7,201791;,5841;,3699;,0696;,1296;,0028;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
1999;060901007001;AMBRONAY - CHEF LIEU;1700;Biologique Simple;937,988;84,452;53,486;3,753;14,075;,188;,047;,216;218,551204;8,4452;10,6972;2,6271;9,8525;,094;,0235;,0864;01007;AMBRONAY;01;RHONE-ALPES;V290
1999;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;60,977;5,49;3,477;,244;,915;,012;,003;,014;42,379015;3,294;2,4339;,2196;,8235;,012;,003;,014;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
1999;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;613,944;40;39,997;2,3;9,8;0;0;0;67,53384;2;3,9997;1,38;,98;0;0;0;01010;ANGLEFORT;01;RHONE-ALPES;V126
1999;060901011001;APREMONT;400;Biol. / Nitrif.;123,706;11,138;7,054;,495;1,856;,025;,006;,028;13,60766;,5569;,7054;,297;,1856;,01;,0024;,0084;01011;APREMONT;01;RHONE-ALPES;V251
1999;060901021002;ARS SUR FORMANS;2250;Biol. / Nitrif.;724,528;65,233;41,314;2,899;10,872;,145;,036;,167;141,28296;6,5233;8,2628;2,0293;2,1744;,0725;,018;,0668;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
1999;060901024001;ATTIGNAT (ANCIENNE);1100;Biol. / Nitrif.;871,75;78,088;49,965;3,449;12,933;,172;,043;,198;592,79;46,8528;34,9755;3,1041;9,0531;,172;,043;,198;01024;ATTIGNAT;01;RHONE-ALPES;U403
1999;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;215,462;19,4;12,286;,862;3,233;,043;,011;,05;42,01509;1,94;2,4572;,6034;,6466;,0215;,0055;,02;01024;ATTIGNAT;01;RHONE-ALPES;U401
1999;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;548,908;49,421;31,3;2,196;8,237;,11;,027;,126;199,253604;14,8263;9,39;1,7568;6,5896;,077;,0189;,063;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
1999;060901026001;BAGE LE CHATEL;1100;Lagune;712,728;64,17;40,641;2,852;10,695;,143;,036;,164;495,34596;38,502;28,4487;2,5668;9,6255;,143;,036;,164;01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
1999;060901028001;BANEINS - CHEF LIEU;225;Lagune;133,542;12,024;7,615;,534;2,004;,027;,007;,031;48,475746;3,6072;2,2845;,4272;1,6032;,0189;,0049;,0155;01028;BANEINS;01;RHONE-ALPES;U440
1999;060901029001;BEAUPONT;285;Biologique Simple;102,732;9,249;5,858;,411;1,542;,021;,005;,024;37,291716;2,7747;1,7574;,3288;1,2336;,0147;,0035;,012;01029;BEAUPONT;01;RHONE-ALPES;U344
1999;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;13537,223;1353,9;790,909;27;143;0;0;0;1895,21122;67,695;94,90908;9,45;74,36;0;0;0;01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
1999;060901034001;BELLEY - CHEF LIEU;12200;Biologique Simple;8804,372;495;601;25;158;0;0;0;1241,416452;34,65;84,14;12,25;34,76;0;0;0;01034;BELLEY;01;RHONE-ALPES;V146
1999;060901034002;BELLEY - BILIGNIN;200;Biologique Simple;94,618;8,518;5,395;,379;1,42;,019;,005;,022;34,346334;2,5554;1,6185;,3032;1,136;,0133;,0035;,011;01034;BELLEY;01;RHONE-ALPES;V146
1999;060901035001;BELLEYDOUX;300;Biol. / Nitrif.;122,309;11,012;6,975;,489;1,835;,024;,006;,028;122,309;11,012;6,975;,489;1,835;,024;,006;,028;01035;BELLEYDOUX;01;RHONE-ALPES;V101
1999;060901036001;BELMONT LUTHEZIEU - MASSIGNIEU;566;Biol. / Nitrif.;50,824;4,577;2,898;,203;,763;,01;,003;,012;9,91068;,4577;,5796;,1421;,1526;,005;,0015;,0048;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V143
1999;060901041001;BETTANT;900;Biol. / Nitrif.;423,968;38,171;24,175;1,697;6,362;,085;,021;,098;288,29824;22,9026;16,9225;1,5273;4,4534;,085;,021;,098;01041;BETTANT;01;RHONE-ALPES;V293
1999;060901043001;BEYNOST -ST MAURICE DE BEYNOST;10600;Biol. / Nitrif.;8002,326;576,018;535,014;22,264;83,236;,88;1,502;1,884;840,24423;28,8009;53,5014;13,3584;8,3236;,352;,6008;,5652;01043;BEYNOST;01;RHONE-ALPES;V300
1999;060901044001;BILLIAT;720;Biologique Simple;178,439;16,065;10,175;,714;2,678;,036;,009;,041;124,015105;9,639;7,1225;,6426;2,4102;,036;,009;,041;01044;BILLIAT;01;RHONE-ALPES;V102
1999;060901046001;BIZIAT - CHEF LIEU;315;Lagune;89,705;8,077;5,115;,359;1,346;,018;,004;,021;32,562915;2,4231;1,5345;,2872;1,0768;,0126;,0028;,0105;01046;BIZIAT;01;RHONE-ALPES;U424
1999;060901047002;BLYES;855;Biol. / Nitrif.;530,797;47,79;30,267;2,124;7,965;,106;,027;,122;176,755401;14,337;9,0801;1,6992;3,186;,0742;,0189;,061;01047;BLYES;01;RHONE-ALPES;V294
1999;060901058002;BREGNIER CORDON-PETIT GLANDIEU;630;Lagune;277,695;25,002;15,835;1,111;4,167;,056;,014;,064;100,803285;7,5006;4,7505;,8888;3,3336;,0392;,0098;,032;01058;BREGNIER CORDON;01;RHONE-ALPES;V161
1999;060901061001;BRENS - GOTRAS PETIT BRENS;450;Lagune;125,658;11,313;7,165;,503;1,886;,025;,006;,029;45,613854;3,3939;2,1495;,4024;1,5088;,0175;,0042;,0145;01061;BRENS;01;RHONE-ALPES;V146
1999;060901061002;BRENS - CHAMPTEL;500;Lagune;83,77;7,542;4,777;,335;1,257;,017;,004;,019;30,40851;2,2626;1,4331;,268;1,0056;,0119;,0028;,0095;01061;BRENS;01;RHONE-ALPES;V146
1999;060901062001;BRESSOLLES - CHEF LIEU;733;Biol. / Nitrif.;373,316;33,611;21,287;1,494;5,602;,075;,019;,086;124,314228;10,0833;6,3861;1,1952;2,2408;,0525;,0133;,043;01062;BRESSOLLES;01;RHONE-ALPES;V300
1999;060901063001;BRION;500;Biol. / Nitrif.;575,291;47,716;35,72;2,244;5,663;,073;,018;,084;392,348462;28,6296;25,004;2,0196;3,9641;,073;,018;,084;01063;BRION;01;RHONE-ALPES;V251
