Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2007;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;1002,451;90,248;57,157;4,011;15,041;,201;,05;,231;363,889713;27,0744;17,1471;3,2088;12,0328;,1407;,035;,1155;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2007;060901006001;AMBLEON;120;Biol. / Nitrif.;23,68;2,132;1,35;,095;,355;,005;,001;,005;7,88544;,6396;,405;,076;,142;,0035;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2007;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;653,92;58,871;37,285;2,616;9,812;,131;,033;,15;217,75536;17,6613;11,1855;2,0928;3,9248;,0917;,0231;,075;01007;AMBRONAY;01;RHONE-ALPES;V290
2007;060901007002;AMBRONAY - GV2C;600;Filtres plantés;141,117;12,704;8,046;,565;2,117;,028;,007;,032;27,235581;1,2704;1,6092;,3729;,4234;,028;,007;,032;01007;AMBRONAY;01;RHONE-ALPES;V290
2007;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;51,492;4,635;2,936;,206;,773;,01;,003;,012;18,691596;1,3905;,8808;,1648;,6184;,007;,0021;,006;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2007;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;419,873;37,8;23,94;1,68;6,3;,084;,021;,097;46,18603;1,89;2,394;1,008;,63;,0336;,0084;,0291;01010;ANGLEFORT;01;RHONE-ALPES;V126
2007;060901011001;APREMONT;400;Biol. / Nitrif.;135,89;12,233;7,748;,544;2,039;,027;,007;,031;26,49855;1,2233;1,5496;,3808;,4078;,0135;,0035;,0124;01011;APREMONT;01;RHONE-ALPES;V251
2007;060901021002;ARS SUR FORMANS;2250;Biologique Simple;756,33;68,091;43,124;3,026;11,348;,151;,038;,174;111,93684;3,40455;4,3124;1,8156;6,8088;,0604;,0152;,0522;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2007;060901022002;ARTEMARE;1500;Biol. / Nitrif.;824,409;74,219;47,005;3,299;12,37;,165;,041;,19;90,68499;3,71095;4,7005;1,9794;1,237;,066;,0164;,057;01022;ARTEMARE;01;RHONE-ALPES;V143
2007;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;408,284;36,756;23,279;1,634;6,126;,082;,02;,094;79,61538;3,6756;4,6558;1,1438;1,2252;,041;,01;,0376;01024;ATTIGNAT;01;RHONE-ALPES;U401
