ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2010;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;14,114;79,5;52,707;14,107;1,188;;;3,087;31,432;2,337;13,8;1,468;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2010;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;133,53;125,6;143,772;27,571;3,086;;;6,137;32,142;11,424;21,536;1,347;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2010;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;37,097;99,416;53,857;14,754;1,96;;;,719;7,14;,885;2,469;,682;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2010;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;21,09;59,555;26,112;9,782;1,115;;;,301;3,013;,522;,854;,191;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2010;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;320,502;679,859;404,913;29,59;5,573;;;1,825;18,25;5,596;4,76;1,314;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2010;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;9,35;17,85;9,35;2,465;,366;;;3,889;17,604;5,732;1,924;,45;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2010;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;28,205;55,138;30,645;7,148;1,663;;;,095;;,284;5,275;,467;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2010;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;13,494;36,179;21,132;3,208;,423;;;,019;,261;,035;,167;,028;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2010;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;17,381;36,129;11,603;;,461;;;;;,182;,773;,4;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2010;060901028001;STATION D'EPURATION DE BANEINS - CHEF LIEU;225;7,9;26,464;13,166;,79;,382;;;1,757;7,613;3,461;1,576;,197;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2010;060901029001;STATION D'EPURATION DE BEAUPONT;285;5,3;14,31;6,36;2,173;,297;;;,352;2,42;,44;,792;,163;;;BEAUPONT;AIN;AUVERGNE-RHONE-ALPES;
2010;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;469,066;1171,826;671,558;;13,254;;;18,063;105,422;28,783;;4,117;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2010;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;439,289;1114,644;545,781;;13,783;;;14,467;133,929;21,224;;5,657;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2010;060901038001;STATION D'EPURATION DE BENY;300;3,45;13,455;5,7;1,215;,14;;;,11;1,44;,59;,18;,026;;;BENY;AIN;AUVERGNE-RHONE-ALPES;
2010;060901039003;STATION D'EPURATION DE BEON;670;37,6;101,05;61,1;5,546;1,119;;;1,066;7,052;1,558;3,313;,303;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
2010;060901041001;STATION D'EPURATION DE BETTANT;900;27,08;83,8;33,28;7,387;1,041;;;3,718;24,596;9,33;1,462;,526;;;BETTANT;AIN;AUVERGNE-RHONE-ALPES;
2010;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;485,021;1178,153;482,521;95,597;10,897;;;5,469;47,012;9,276;18,842;4,385;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
2010;060901054001;STATION D'EPURATION DE BOURG SAINT CHRISTOPHE;1990;41,495;106,133;36,985;16,934;1,681;;;,68;5,765;,55;1,251;1,163;;;BOURG ST CHRISTOPHE;AIN;AUVERGNE-RHONE-ALPES;
2010;060901057001;STATION D'EPURATION DE BOZ - ANCIENNE;500;13,536;37,901;22,56;5,189;,609;;;4,324;18,518;7,426;2,942;,423;;;BOZ;AIN;AUVERGNE-RHONE-ALPES;
