ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2018;060901002001;STATION D'EPURATION DE L'ABERGEMENT DE VAREY - BOURG;268;2,47;6,396;1,56;1,316;,092;;;,075;,48;,075;,759;,09;;;L ABERGEMENT DE VAREY;AIN;AUVERGNE-RHONE-ALPES;
2018;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;44,64;122,194;31,912;20,711;1,643;;;1,896;10,927;1,297;41,477;1,344;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2018;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;4,48;9,156;2,492;1,401;,126;;;;0;;0;0;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2018;060901012104;STATION D'EPURATION DE ARANC;300;5,464;12,25;4,246;1,608;,355;;;,125;1,012;,311;,75;,126;;;ARANC;AIN;AUVERGNE-RHONE-ALPES;
2018;060901015002;STATION D'EPURATION DE ARBOYS-EN-BUGEY - ARBIGNIEU;450;2,139;5,596;3,34;1,075;,141;;;,1;1,7;,2;,212;,059;;;ARBOYS EN BUGEY;AIN;AUVERGNE-RHONE-ALPES;
2018;060901017003;STATION D'EPURATION DE ARGIS - BOURG;400;5,158;16,102;4,938;2,02;,225;;;;;,063;1,17;,077;;;ARGIS;AIN;AUVERGNE-RHONE-ALPES;
2018;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;44,46;133,373;92,505;14,488;1,291;;;,778;7,543;1,177;8,881;,514;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2018;060901022002;STATION D'EPURATION DE ARTEMARE;1500;55,605;179,232;87,955;20,877;9,434;;;1,042;10,023;1,685;2,42;2,272;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2018;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;26,921;81,211;51,294;9,983;1,098;;;,835;3,991;1,03;1,734;,393;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;21,198;78,79;42,164;14,64;1,7;;;1,364;10,23;1,705;3,101;1,308;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;12,549;27,771;17,084;4,147;1,949;;;;,45;,069;1,512;,661;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;21,82;72,936;41,574;6,572;,802;;;,949;12,068;7,051;5,17;,559;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2018;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;26,918;85,47;48,786;8,243;,978;;;,443;2,951;,738;5,074;,565;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2018;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;15,767;58,37;17,621;7,302;,818;;;;;1,691;2,053;,441;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2018;060901028001;STATION D'EPURATION DE BANEINS - CHEF LIEU;225;9,159;21,882;8,503;3,474;,45;;;,589;3,2;1,389;2,095;,312;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2018;060901028801;STATION D'EPURATION DE BANEINS - BOURG;400;9,159;21,882;8,503;3,474;,45;;;,589;3,2;1,389;2,095;,312;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2018;060901029001;STATION D'EPURATION DE BEAUPONT;285;6,552;16,464;6,426;2,298;,223;;;,448;2,611;,783;1,056;,215;;;BEAUPONT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;877,9235;2357,8;1490,2515;211,105;29,864;;;60,325;244,9875;108,995;56,735;7,43;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2018;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;773,8605;1555,468;852,9605;113,309;19,609;;;15,2355;143,291;31,639;23,966;2,52;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2018;060901035001;STATION D'EPURATION DE BELLEYDOUX;300;3,78;6,156;1,44;,526;,051;;;,18;1,692;,576;,349;,061;;;BELLEYDOUX;AIN;AUVERGNE-RHONE-ALPES;
2018;060901036001;STATION D'EPURATION DE VALROMEY SUR SERAN- MASSIGNIEU;566;26,814;68,208;23,02;3,722;,439;;;,234;2,246;,655;2,471;,406;;;VALROMEY-SUR-SERAN;AIN;AUVERGNE-RHONE-ALPES;
2018;060901039003;STATION D'EPURATION DE BEON;670;25,53;53,931;28,856;4,032;,452;;;,35;1,821;,467;1,394;,137;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
2018;060901040001;STATION D'EPURATION DE BEREZIAT;350;5,447;15,203;20,359;1,428;;;;;;;;;;;BEREZIAT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901041001;STATION D'EPURATION DE BETTANT;900;23,892;57,558;30,046;6,337;,805;;;,905;4,435;,996;1,32;,464;;;BETTANT;AIN;AUVERGNE-RHONE-ALPES;
2018;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;375,934;939,2;451,02;112,343;11,672;;;6,913;29,424;9,183;14,125;3,572;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
