ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2020;060901002001;STATION D'EPURATION DE L'ABERGEMENT DE VAREY - BOURG;268;2,643;6,649;2,114;1,334;,095;;;,066;,331;,28;,48;,06;;;L ABERGEMENT DE VAREY;AIN;AUVERGNE-RHONE-ALPES;
2020;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;39,066;155,102;44,906;20,686;2,13;;;1,502;12,97;4,388;41,908;1,433;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2020;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;55,652;147,78;87,808;19,266;2,501;;;3,408;12,4;4,596;8,136;1,226;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2020;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;17,686;46,465;65,116;6,399;,724;;;,381;5,264;,698;2,879;,577;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2020;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;47,306;127,161;48,483;13,114;1,523;;;,469;2,604;,625;,859;,16;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901011001;STATION D'EPURATION DE APREMONT;400;9,483;26,501;10,765;4,665;,418;;;1,999;7,715;2,871;2,768;,343;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901012104;STATION D'EPURATION DE ARANC;300;5,32;10,752;4,2;2,446;,296;;;;,736;,102;1,708;,35;;;ARANC;AIN;AUVERGNE-RHONE-ALPES;
2020;060901015002;STATION D'EPURATION DE ARBOYS-EN-BUGEY - ARBIGNIEU;450;,308;2,594;,745;,962;,097;;;;,704;,375;,047;,012;;;ARBOYS EN BUGEY;AIN;AUVERGNE-RHONE-ALPES;
2020;060901017003;STATION D'EPURATION DE ARGIS - BOURG;400;3,57;5,525;3,818;1,166;,102;;;,124;1,148;,202;1,018;,092;;;ARGIS;AIN;AUVERGNE-RHONE-ALPES;
2020;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;45,183;92,602;58,782;15,158;1,874;;;,693;6,617;1,486;14,113;1,993;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2020;060901022002;STATION D'EPURATION DE ARTEMARE;1500;50,13;95,265;70,69;16,109;1,801;;;;;1,191;4,851;1,107;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2020;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;76,3;265,234;51,76;7,329;,946;;;;2,674;1,044;1,108;,254;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;59,967;153,845;63,866;25,422;2,249;;;1,739;11,852;3,291;5,949;,784;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;36,202;68,53;74,969;8,852;1,456;;;1,015;5,736;1,34;4,636;,499;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;16,218;44,266;23,945;5,891;,68;;;;3,826;1,257;1,455;,148;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2020;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;35,385;84,516;85,646;11,865;1,373;;;;6,916;,334;7,881;,392;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2020;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;10,178;21,79;12,009;4,369;,508;;;;;,301;1,528;,381;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2020;060901029001;STATION D'EPURATION DE BEAUPONT;285;6,322;9,592;18,748;4,127;,342;;;1,368;6,498;8,379;3,056;,368;;;BEAUPONT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;16200;680,728;1644,318;828,255;164,405;20,847;;;24,66;163,15;40,498;57,334;7,636;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2020;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;785,962;1680,681;618,177;;21,334;;;16,904;130,018;27,701;;3,734;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2020;060901036001;STATION D'EPURATION DE VALROMEY SUR SERAN- MASSIGNIEU;566;14,397;25,576;28,795;5,111;,443;;;,319;3,348;,263;2,435;,516;;;VALROMEY-SUR-SERAN;AIN;AUVERGNE-RHONE-ALPES;
2020;060901039003;STATION D'EPURATION DE BEON;670;3,026;5,446;4,16;1,396;,119;;;,116;,907;,144;1,327;,142;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
2020;060901040001;STATION D'EPURATION DE BEREZIAT;350;14,152;65,131;23,018;2,858;,544;;;;0;0;0;0;;;BEREZIAT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901041001;STATION D'EPURATION DE BETTANT;900;4,645;10,29;17,15;2,969;,278;;;;;2,072;,802;,227;;;BETTANT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;404,449;1034,841;432,68;103,724;10,23;;;5,492;38,988;15,001;27,175;5,895;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
2020;060901044001;STATION D'EPURATION DE BILLIAT;720;;;;;;;;1,642;6,039;2,119;2,117;,003;;;BILLIAT;AIN;AUVERGNE-RHONE-ALPES;
2020;060901045001;STATION D'EPURATION DE BIRIEUX;200;7,276;9,814;3,282;1,577;,162;;;,728;2,301;,863;,586;,079;;;BIRIEUX;AIN;AUVERGNE-RHONE-ALPES;
2020;060901047102;STATION D'EPURATION DE BLYES;1500;39,924;108,516;41,46;14,88;1,435;;;1,329;11,237;4,007;8,406;1,502;;;BLYES;AIN;AUVERGNE-RHONE-ALPES;
