identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0005901929;ALSTOM POWER SYSTEMS SA (Machines Electriques);Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;4.42;t/an
0006301171;SARREL;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;11 01 09*;Boues et gâteaux de filtration contenant des substances dangereuses;48.8;t/an
0006201816;INNOVENE MANUFACTURING FRANCE SAS;Production de déchets dangereux;2004;C  ;C Co-incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;3.34;t/an
0006401702;Dubois Patricia;Production de déchets dangereux;2004;I  ;I Incinération;;;07 01 07*;Résidus de réaction et résidus de distillation halogénés;0.26;t/an
0005701608;CORDIER S.A.;Production de déchets dangereux;2004;I  ;I Incinération;;;03 02 05*;Autres produits de protection du bois contenant des substances dangereuses;15;t/an
0007000720;Ferroglobe Manganèse France SAS;Production de déchets dangereux;2004;D  ;D Mise en décharge;;;16 11 01*;Revêtements de fours et réfractaires à base de carbone provenant de procédés métallurgiques contenant des substances dangereuses;121;t/an
0006205245;ARCELORMITTAL FRANCE;Production de déchets dangereux;2004;I  ;I Incinération;;;13 08 02*;Autres émulsions;246;t/an
0006201257;VFT France;Production de déchets dangereux;2004;I  ;I Incinération;;;17 03 03*;Goudron et produits goudronnés.;200;t/an
0006301622;Cromology Research & Industry Ouest;Production de déchets dangereux;2004;I  ;I Incinération;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;77;t/an
0007000727;RENAULT DOUAI SNC;Production de déchets dangereux;2004;T  ;T Autre traitement;;;13 01 13*;Autres huiles hydrauliques.;57;t/an
0006201969;SCHOTT VTF;Production de déchets dangereux;2004;T  ;T Autre traitement;;;16 07 08*;Déchets contenant des hydrocarbures;5.3;t/an
0024800008;G2R IMMO;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;16 06 02*;Accumulateurs ni_cd;11;t/an
0005401195;Uniper - Centrale de LUCY;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 02 08*;Autres huiles moteur, de boîte de vitesses et de lubrification.;2.79;t/an
0006301520;Altia le MANS;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;2;t/an
0005202084;EUTICALS  SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;07 07 10*;Autres gâteaux de filtration et absorbants usés;19;t/an
