identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);;;07 05 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;90.200;90.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 01 01*;Eaux de lavage et liqueurs mères aqueuses;48.040;48.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 01 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;4342.320;4337.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 02 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;376.740;376.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 04 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;172.640;172.600;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 05 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;5736.038;5731.200;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 07 03*;Solvants, liquides de lavage et liqueurs mères organiques halogénés;10.280;10.280;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 07 04*;Autres solvants, liquides de lavage et liqueurs mères organiques;1465.460;1465.000;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 07 08*;Autres résidus de réaction et résidus de distillation;170.760;170.800;t/an
0005100049;SUEZ RR IWS Chemical France;Traitement de déchets dangereux;2006;R2 ;R2 Récupération ou régénération des solvants;;;07 07 11*;Boues provenant du traitement in situ des effluents contenant des substances dangereuses;227.000;226.200;t/an
