identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005800794;CINRAM OPTICAL DISCS;2008;56100;0;8750;0
0010300065;NOVOCERAM SAS;2008;92500;0;2000;0
0005201370;FRONERI Vayres (ex R&R ICE CREAM);2008;112000;0;13600;0
0007405212;SMURFIT Kappa Papier Recyclé France Papeterie de la Seine;2008;0;2040000;35200;0
0006401321;CONSERVES FRANCE;2008;1140000;0;0;0
0010000220;SEALED AIR  SAS;2008;107000;0;67400;0
0005101048;Société LAITIERE DE CLERMONT;2008;248000;0;6030;0
0006104577;HACER TRAITEMENTS DE SURFACE;2008;125000;0;15700;0
0006802373;CNES - Centre Spatial de Toulouse (CST);2008;0;0;107000;0
0006201759;ARKEMA;2008;4720000;0;0;0
0006802453;VILLEROY ET BOCH SAS;2008;143000;0;4450;0
0006201529;CHARAL METZ;2008;0;0;136000;0
0006400055;Sté ELIS SANTE ROUSSET;2008;0;0;138000;0
0006506104;HAUGUEL (Distillerie);2008;0;220000;3800;0
0074507501;STEP - LA CHAPELLE-SAINT-MESMIN;2008;107000;0;0;0
0005401253;MICHELIN;2008;0;281000;26300;0
0006301568;ARRIVE S A S -ST FULGENT;2008;0;0;207000;0
0006102962;UMICORE SPECIALTY POWDERS FRANCE;2008;385000;0;19900;0
0005101032;PASTACORP (ex RCL - RIVOIRE);2008;66200;0;0;0
0006201074;Cokes de Carling SAS;2008;0;0;1260000;0
0010000931;TERR'LOIRE (Société Nouvelle);2008;233000;0;600;0
0005800489;METROPOLE ROUEN NORMANDIE;2008;271000;0;0;0
0006804237;REGIE MUNICIPALE DES EAUX (STEP);2008;0;88700;2450;0
0005800392;DANONE;2008;0;0;575000;0
0006000385;INTERNATIONAL PAPER;2008;0;21700000;0;0
0006206149;GSM;2008;655000;0;0;0
0006400333;ROBERTET SA;2008;0;0;58400;0
0006202541;VISKASE S.A.S.;2008;0;584000;8790;0
0009000033;BA 110 Creil;2008;0;0;125000;0
