identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0006802598;LAFARGE CIMENTS;Traitement de déchets non dangereux;2008;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;36156.000;36160.000;t/an
0007202968;INTERNATIONAL PAPER;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;9;Déchets banals des entreprises;412.320;412.000;t/an
0006504504;Arquus Marolles;Traitement de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;8;Ordures ménagères;180.000;180.000;t/an
0006201850;ONDAL FRANCE;Traitement de déchets non dangereux;2008;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;10;Dechets provenant de procedes thermiques :;3412.000;3412.000;t/an
0005701422;ONYX EST;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;8;Ordures ménagères;33071.360;33080.000;t/an
0006104565;SYND MIXTE DU LAC D ANNECY;Traitement de déchets non dangereux;2008;D10;D10 Incinération à terre;;;8;Ordures ménagères;369292.720;369200.000;t/an
0007000475;FEUTRIE SA;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;10;Dechets provenant de procedes thermiques :;363.120;363.200;t/an
0006304851;FERTIVENDEE;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;1696.000;1696.000;t/an
0005305652;CAEN LA MER;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;5332.000;5320.000;t/an
0007000787;Fives Industries;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;10;Dechets provenant de procedes thermiques :;57.824;58.000;t/an
0006503069;SUEZ RR IWS Minerals France (exSITA FD);Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;10;Dechets provenant de procedes thermiques :;5030.200;5027.600;t/an
0005703560;SUEZ Organique exTERRALYS (VOUILLERS);Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;2;Boues d'effluents industriels;117.040;117.200;t/an
0005105644;VALOR'AISNE;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;4;Déchets de bois;10004.560;10000.000;t/an
0006700413;TREDI Strasbourg;Traitement de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;1;Déchets de préparations chimiques;129.732;129.600;t/an
0005600023;ERASTEEL SAS;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;14;Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :;13017.240;13000.000;t/an
0006900172;Décharge de Saint-Georges;Traitement de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);"";"";8;Ordures ménagères;0.000;4800.000;t/an
0007002524;VERDURE;Traitement de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);157679.240;157720.000;t/an
0006501121;REP;Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;13;Huiles et combustibles liquides usagés (sauf huiles alimentaires et huiles figurant aux chapitres 05, 12 et 19) :;2747.600;2748.000;t/an
0005401231;SUEZ RV Centre Est (ex. SITA CENTRE EST);Traitement de déchets non dangereux;2008;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;14;Déchets de solvants organiques, d'agents réfrigérants et propulseurs (sauf chapitres 07 et 08) :;45268.000;45180.000;t/an
