identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
00       87187001;ABATTOIR MUNICIPAL DE SAINT-YRIEIX;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;6;Déchets animaux de la préparation des aliments et produits alimentaires;6120;t/an
00       87187001;ABATTOIR MUNICIPAL DE SAINT-YRIEIX;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;6;Déchets animaux de la préparation des aliments et produits alimentaires;6104;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;12;Boues ordinaires (sauf boues de dragage);9360;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;3;Déchets soins médicaux ou vétérinaires et déchets biologiques;2.60;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);64000;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2009;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;9;Déchets banals des entreprises;2296;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;12;Boues ordinaires (sauf boues de dragage);39800;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2009;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;800;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2009;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);9960;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2009;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;4;Déchets de bois;48;t/an
00       25041001;Coopérative des MONTS DE JOUX;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;2;Boues d'effluents industriels;15320;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;12;Boues ordinaires (sauf boues de dragage);122.8;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;1.04;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;9;Déchets banals des entreprises;11.84;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);5920;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;D8 ;D8 Traitement biologique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12;;;12;Boues ordinaires (sauf boues de dragage);339.2;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);1248;t/an
00       59178001;DOUAISIENNE D'ABATTAGE;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);3848;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2009;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;2;Boues d'effluents industriels;166.0;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);40000;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2009;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;4;Déchets de bois;49.2;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2009;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;9;Déchets banals des entreprises;576;t/an
00       75664052;FIPSO Aquitaine;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;2;Boues d'effluents industriels;10800;t/an
00       25531010;FROMAGERIE DE CLERVAL;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;2;Boues d'effluents industriels;13880;t/an
00       08158001;GAEC DU CHATEAU D'ETREPIGNY;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;12;Boues ordinaires (sauf boues de dragage);10200;t/an
00       08488003;GAEC FORGET;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;12;Boues ordinaires (sauf boues de dragage);14800;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;2;Boues d'effluents industriels;940;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;6;Déchets animaux de la préparation des aliments et produits alimentaires;28760;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;9;Déchets banals des entreprises;916;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);253.2;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2009;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;344.4;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2009;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;2;Boues d'effluents industriels;428;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2009;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;6;Déchets animaux de la préparation des aliments et produits alimentaires;25740;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2009;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;9;Déchets banals des entreprises;242.4;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2009;D10;D10 Incinération à terre;;;6;Déchets animaux de la préparation des aliments et produits alimentaires;15.2;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2009;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;8;Ordures ménagères;640;t/an
