identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;D10;D10 Incinération à terre;59;"";02 02 99;Déchets non spécifiés ailleurs.;1390;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);76;"";02 02 03;Matières impropres à la consommation ou à la transformation;151;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;76;"";02 02 04;Boues provenant du traitement in situ des effluents;2479;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);76;"";02 03 04;Matières impropres à la consommation ou à la transformation;329;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;76;"";15 01 01;Emballages en papier/carton;261;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;76;"";20 01 38;Bois autres que ceux visés à la rubrique 20 01 37;3750;t/an
00       76278001;ALLIANCE ELABORES;Production de déchets non dangereux;2012;R9 ;R9 Régénération ou autres réemplois des huiles;59;"";20 01 25;Huiles et matières grasses alimentaires;30.2;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2012;D10;D10 Incinération à terre;79;"";02 02 03;Matières impropres à la consommation ou à la transformation;14400;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2012;D10;D10 Incinération à terre;44;"";18 01 02;Déchets anatomiques et organes, y compris sacs de sang et réserves de sang (sauf rubrique 18 01 03);0.625;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2012;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;49;"";15 01 02;Emballages en matières plastiques;513;t/an
00       49003604;CHARAL;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;49;"";02 02 04;Boues provenant du traitement in situ des effluents;9450;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);24;"";02 03 04;Matières impropres à la consommation ou à la transformation;722;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;24;"";19 09 01;Déchets solides de première filtration et de dégrillage;324;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;16;"";15 01 03;Emballages en bois;33.0;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);24;"";02 01 03;Déchets de tissus végétaux;4436;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;24;"";15 01 04;Emballages métalliques;65.8;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;24;"";15 01 01;Emballages en papier/carton;98;t/an
00       75624001;CONSERVERIE DE BERGERAC;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;24;"";15 01 02;Emballages en matières plastiques;30;t/an
00       25041001;Coopérative des MONTS DE JOUX;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;25;"";02 02 04;Boues provenant du traitement in situ des effluents;3830;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;D12;D12 Stockage permanent (par exemple, placement de conteneurs dans une mine, etc.);31;"";08 03 18;Déchets de toner d'impression autres que ceux visés à la rubrique 08 03 17;0.111;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);40;"";02 02 04;Boues provenant du traitement in situ des effluents;83.7;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);40;"";02 01 02;Déchets de tissus animaux;10400;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);40;"";20 03 01;Déchets municipaux en mélange;81.5;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;62;"";15 01 02;Emballages en matières plastiques;0.539;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;40;"";20 01 01;Papier et carton;74;t/an
00       40282001;FERMIERS LANDAIS SAS;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;40;"";20 01 38;Bois autres que ceux visés à la rubrique 20 01 37;9.7;t/an
00       75664052;FIPSO Aquitaine;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;64;"";02 02 04;Boues provenant du traitement in situ des effluents;7276;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;40;"";02 02 04;Boues provenant du traitement in situ des effluents;834;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);40;"";02 02 02;Déchets de tissus animaux;15862;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);64;"";02 02 04;Boues provenant du traitement in situ des effluents;486;t/an
00       75664050;LABEYRIE;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);64;"";02 02 99;Déchets non spécifiés ailleurs.;3330;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);02;"";02 02 03;Matières impropres à la consommation ou à la transformation;117.8;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);51;"";15 01 02;Emballages en matières plastiques;156;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;51;"";19 08 12;Boues provenant du traitement biologique des eaux usées industrielles autres que celles visées à la rubrique 19 08 11;188;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;BELGIQUE;02 02 02;Déchets de tissus animaux;7072;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;PAYS-BAS;02 02 02;Déchets de tissus animaux;3864;t/an
00       51101001;Les ELEVEURS de la CHAMPAGNE;Production de déchets non dangereux;2012;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;51;"";15 01 01;Emballages en papier/carton;124;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2012;D10;D10 Incinération à terre;03;"";02 02 02;Déchets de tissus animaux;3.43;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2012;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;25;"";20 01 01;Papier et carton;160;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2012;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;39;"";02 02 02;Déchets de tissus animaux;3160;t/an
00       25578200;Les éleveurs de la Chevillotte;Production de déchets non dangereux;2012;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;39;"";02 02 04;Boues provenant du traitement in situ des effluents;352;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2012;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";20 01 99;Autres fractions non spécifiées ailleurs.;584;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2012;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;44;"";02 03 04;Matières impropres à la consommation ou à la transformation;3074;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2012;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);65;"";15 01 01;Emballages en papier/carton;1342;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2012;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);65;"";15 01 02;Emballages en matières plastiques;232;t/an
00       75664053;LINDT ET SPRUNGLI;Production de déchets non dangereux;2012;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);64;"";17 02 01;Bois;630;t/an
