identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0010000165;AXEREAL;50368180101768;Le Grand Champrond;28400;CHAMPROND-EN-PERCHET;EURE-ET-LOIR;CENTRE;543842.000000;6803558.000000;2154;4621Z;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;;
0006108149;BTMF SA;07180564200304;RUE MARC SEGUIN;01000;BOURG-EN-BRESSE;AIN;AUVERGNE-RHONE-ALPES;871068.000000;6570742.000000;2154;9601B;Blanchisserie-teinturerie de détail;;
0010500308;ATELIER DECAPAGE SERVICES;84538999800012;5 RUE BARROUIN;42000;SAINT-ETIENNE;LOIRE;AUVERGNE-RHONE-ALPES;808305.000000;6484797.000000;2154;2561Z;Traitement et revêtement des métaux;;
0009000025;Base aérienne 126 Ventiseri Solenzara;15600005100300;RN 198 CS 10001    20223 GHISONACCIA CEDEX;20240;VENTISERI;HAUTE-CORSE;CORSE;41.908916;9.390976;4326;8422Z;Défense;;
0007204650;ISDI Lorignac CDC Haute Saintonge;20004152300180;Les Terriers des Caves;17240;LORIGNAC;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;411349.000000;6491808.000000;2154;8411Z;Administration publique générale;;
0010004952;SB AUTO PIECES;47770931500014;45 bis, rue Pierrette;41100;NAVEIL;LOIR-ET-CHER;CENTRE;551441.000000;6746346.000000;2154;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;;
0006700514;BRUDER KELLER;67668034100010;ZI DU BRUEHL;67260;SARRE-UNION;BAS-RHIN;GRAND-EST;999187.000000;6878365.000000;2154;2550B;Découpage, emboutissage;;
0006702647;DRUCK CHEMIE;37780069300022;Route de Bretten;68780;SOPPE-LE-BAS;HAUT-RHIN;GRAND-EST;7.084211;47.711026;4326;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;;
0010001573;YANNICK LEBAS;30600163700025;Les Gallards, Route de Coullons;45500;POILLY-LEZ-GIEN;LOIRET;CENTRE;667795.000000;6729355.000000;2154;3812Z;Collecte des déchets dangereux;;
0007002056;NORTENE TECHNOLOGIES SAS;35284609100010;149, Avenue de la rotonde;59160;LILLE;NORD;HAUTS-DE-FRANCE;3.001146;50.639672;4326;2229B;Fabrication de produits de consommation courante en matières plastiques;;
0010001931;3C FRANCE;31833202000011;Route d'Aubigny sur Nère;18380;LA CHAPELLE-D'ANGILLON;CHER;CENTRE;657278.000000;6697286.000000;2154;2829B;Fabrication d'autres machines d'usage général;;
0025500062;SA MATERIAUX ROUTIERS FRANCILIEN;41517867200044;Quai des basses veuves;89140;PONT-SUR-YONNE;YONNE;BOURGOGNE-FRANCHE-COMTE;715098.000000;6800259.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0007003092;LYS SERVICES;44033422500024;ZA des Petits Pacaux, rue Dr Rousseau;59660;MERVILLE;NORD;HAUTS-DE-FRANCE;674549.000000;7059898.000000;2154;5224B;Manutention non portuaire;;
0006600228;SARL DOMITIA GRANULATS;48078510400013;Sainte Croix, 8 Chemin de Bizanet;11100;MONTREDON-DES-CORBIERES;AUDE;OCCITANIE;692847.000000;6230006.000000;2154;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;3.(b);Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
0010001408;TRISALID;85250529600016;651 rue de la Motte Pétrée;45770;SARAN;LOIRET;CENTRE;615126.000000;6762223.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0007201426;GAIA  (St Agnant) ex-GCM;49402440900182;Le Moulin de l'Angle;17620;SAINT-AGNANT;CHARENTE-MARITIME;NOUVELLE-AQUITAINE;395833.000000;6540037.000000;2154;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;;
0006700585;PLASTIC OMNIUM AUTO INERGY FRANCE;51951245300076;2 rue des Imprimés;68120;PFASTATT;HAUT-RHIN;GRAND-EST;1021797.000000;6748466.000000;2154;2229A;Fabrication de pièces techniques à base de matières plastiques;;
0006207937;BARISIEN SAS (site maxival);33522119800088;Zone Industrielle, Devant le Habe;54920;VILLERS-LA-MONTAGNE;MEURTHE-ET-MOSELLE;GRAND-EST;907075.000000;6932539.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006807903;SMDVDMAT TRIFYL;25810216900087;lieu-dit Prado de Lamothe;81290;LABRUGUIERE;TARN;OCCITANIE;640353.000000;6272746.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006207889;ECO-VERT;45135941800022;Lieu-dit Langweiler à Guénange;57310;GUENANGE;MOSELLE;GRAND-EST;932979.000000;6915513.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006103356;SETFORGE;51135339300016;41 avenue Berthelot;42152;L'HORME;LOIRE;AUVERGNE-RHONE-ALPES;821439.000000;6489229.000000;2154;2550A;Forge, estampage, matriçage ,  métallurgie des poudres;;
0005306786;SCOPELEC;78417602600242;Route d'Aubusson;61100;SAINT-GEORGES-DES-GROSEILLERS;ORNE;NORMANDIE;437860.000000;6858112.000000;2154;3320D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;;
0024900041;KNAUF ISBA;34154500200014;Route de lyon;89015;AUXERRE;YONNE;BOURGOGNE-FRANCHE-COMTE;745058.000000;6743107.000000;2154;2223Z;Fabrication d'éléments en matières plastiques pour la construction;;
0010004353;AUTOPIECES 37;42490564400011;;37110;AUZOUER-EN-TOURAINE;INDRE-ET-LOIRE;CENTRE;493300;2283400;27572;4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;;
0007000578;DOUNOR;33478136600029;ZI -30-32, rue du Vertuquet;59960;NEUVILLE-EN-FERRAIN;NORD;HAUTS-DE-FRANCE;711822.000000;7072940.000000;2154;1395Z;Fabrication de non-tissés, sauf habillement;9.(a);Usines destinées au prétraitement (opérations de lavage, de blanchiment, de mercerisation) ou à la teinture de fibres ou de textiles d'une capacité de traitement de 10 tonnes par jour
0006114521;GROS ENVIRONNEMENT;95450612700271;Roizon;38350;NANTES-EN-RATIER;ISERE;AUVERGNE-RHONE-ALPES;921987.000000;6428120.000000;2154;4941A;Transports routiers de fret interurbains;;
0007202786;DEMAZOIN Laurence;65182017700012;La Maillerie, Route de Montbron;16600;TOUVRE;CHARENTE;NOUVELLE-AQUITAINE;485367.000000;6511008.000000;2154;2219Z;Fabrication d'autres articles en caoutchouc;;
