,admin4
969,59009
34225,80038
34253,60276
34255,62153
34256,62261
34257,62634
34293,62280
34540,02100
34550,02112
34554,02117
34571,02142
34572,02144
34619,02199
34632,02214
34655,02240
34666,02257
34678,02270
34690,02287
34691,02288
34695,02293
34697,02296
34701,02303
34704,02310
34706,02315
34707,02317
34709,02320
34711,02322
34712,02323
34715,02327
34718,02330
34720,02334
34726,02340
34729,02343
34731,02345
34738,02355
34742,02359
34747,02367
34750,02371
34756,02380
34758,02382
34759,02383
34764,02390
34766,02392
34770,02397
34775,02402
34789,02420
34795,02426
34815,02451
34816,02452
34834,02476
34839,02481
34854,02500
34857,02504
34864,02511
34885,02539
34891,02549
34907,02569
34908,02570
34909,02571
34920,02584
34935,02604
34942,02614
34943,02615
34946,02618
34962,02635
34964,02637
34974,02650
34981,02658
35008,02694
35015,02702
35016,02703
35020,02708
35035,02726
35054,02747
35057,02752
35061,02756
35073,02772
35075,02774
35082,02785
47384,59101
47385,59102
47386,59103
47387,59104
47388,59105
47389,59106
47390,59107
47391,59108
47392,59109
47393,59110
47394,59111
47395,59112
47396,59113
47397,59114
47398,59115
47399,59116
47400,59117
47401,59118
47402,59119
47403,59120
47404,59121
47405,59123
47406,59124
47407,59125
47408,59126
47409,59128
47410,59129
47411,59131
47412,59132
47413,59133
47414,59134
47415,59137
47416,59138
47417,59139
47418,59140
47419,59141
47420,59142
47421,59144
47422,59145
47423,59146
47424,59147
47425,59148
47426,59149
47427,59150
47428,59151
47429,59152
47430,59153
47431,59155
47432,59156
47433,59158
47434,59159
47435,59160
47436,59162
47437,59164
47438,59165
47439,59167
47440,59168
47441,59169
47442,59170
47443,59171
47444,59174
47445,59175
47446,59176
47447,59177
47448,59179
47449,59181
47450,59182
47451,59184
47452,59186
47453,59187
47454,59189
47455,59190
47456,59191
47457,59192
47458,59193
47459,59194
47460,59195
47461,59197
47462,59198
47463,59199
47464,59200
47465,59201
47466,59202
47467,59203
47468,59204
47469,59205
47470,59207
47471,59208
47472,59209
47473,59210
47474,59212
47475,59213
47476,59214
47477,59215
47478,59216
47479,59217
47480,59219
47481,59221
47482,59222
47483,59224
47484,59225
47485,59226
47486,59227
47487,59228
47488,59229
47489,59230
47490,59231
47491,59233
47492,59234
47493,59236
47494,59237
47495,59238
47496,59240
47497,59241
47498,59242
47499,59243
47500,59244
47501,59246
47502,59247
47503,59249
47504,59250
47505,59251
47506,59253
47507,59254
47508,59255
47509,59256
47510,59257
47511,59258
47512,59259
47513,59260
47514,59261
47515,59262
47516,59264
47517,59265
47518,59266
47519,59267
47520,59270
47521,59271
47522,59272
47523,59273
47524,59275
47525,59276
47526,59277
47527,59279
47528,59281
47529,59282
47530,59283
47531,59284
47532,59285
47533,59287
47534,59288
47535,59289
47536,59291
47537,59292
47538,59293
47539,59294
47540,59295
47541,59296
47542,59297
47543,59300
47544,59301
47545,59302
47546,59303
47547,59304
47548,59305
47549,59306
47550,59307
47551,59308
47552,59309
47553,59310
47554,59311
47555,59313
47556,59314
47557,59315
47558,59316
47559,59317
47560,59318
47561,59319
47562,59320
47563,59322
47564,59323
47565,59324
47566,59325
47567,59327
47568,59328
47569,59330
47570,59331
47571,59333
47572,59334
47573,59335
47574,59336
47575,59337
47576,59338
47577,59339
47578,59340
47579,59341
47580,59343
47581,59344
47582,59345
47583,59346
47584,59347
47585,59348
47586,59349
47587,59351
47588,59352
47589,59353
47590,59354
47591,59356
47592,59358
47593,59359
47594,59361
47595,59363
47596,59364
47597,59365
47598,59366
47599,59369
47600,59370
47601,59374
47602,59377
47603,59379
47604,59381
47605,59382
47606,59383
47607,59384
47608,59385
