,admin4
3255,68040
34187,88355
34206,54179
34207,55232
34208,55484
34213,67381
34230,08327
34249,54242
34251,57397
34279,08011
34280,08291
35643,08105
35644,08106
35648,08119
35650,08121
35651,08122
35653,08124
35654,08125
35662,08136
35663,08137
35664,08139
35665,08140
35666,08141
35667,08142
35670,08145
35676,08153
35678,08155
35679,08156
35680,08158
35681,08159
35682,08160
35684,08162
35687,08166
35688,08170
35691,08173
35692,08174
35693,08175
35695,08179
35696,08183
35697,08184
35698,08185
35699,08186
35700,08187
35701,08188
35702,08189
35703,08190
35704,08191
35710,08201
35711,08202
35712,08203
35715,08206
35716,08207
35717,08209
35719,08211
35720,08212
35721,08214
35722,08216
35723,08217
35724,08222
35725,08223
35727,08226
35728,08230
35729,08232
35732,08235
35733,08236
35734,08237
35737,08242
35742,08247
35743,08248
35744,08249
35746,08251
35747,08252
35749,08255
35751,08257
35753,08260
35757,08268
35758,08269
35761,08273
35763,08276
35764,08277
35768,08281
35769,08282
35773,08289
35774,08293
35775,08295
35777,08297
35778,08298
35780,08302
35782,08304
35783,08305
35787,08312
35790,08315
35791,08316
35793,08322
35796,08326
35797,08328
35800,08331
35801,08332
35802,08334
35803,08335
35804,08336
35807,08341
35808,08342
35809,08346
35810,08347
35812,08349
35815,08352
35816,08353
35817,08354
35818,08355
35820,08357
35821,08358
35822,08361
35823,08363
35825,08365
35828,08370
35831,08375
35832,08377
35840,08385
35842,08388
35843,08389
35844,08391
35847,08394
35848,08395
35850,08399
35851,08400
35855,08405
35858,08408
35859,08409
35865,08417
35868,08421
35869,08422
35870,08424
35875,08430
35877,08434
35879,08436
35880,08437
35882,08439
35886,08444
35888,08449
35891,08454
35893,08456
35894,08457
35896,08459
35897,08460
35900,08463
35902,08466
35903,08468
35908,08477
35909,08478
35910,08479
35911,08480
35912,08482
35913,08483
35915,08486
35916,08487
35917,08488
35919,08491
35920,08492
35922,08494
35924,08497
35925,08498
35927,08501
35928,08502
35929,08503
45487,52161
45488,52162
45496,52174
45526,52227
45531,52234
45534,52243
45537,52247
45555,52287
45557,52289
45564,52301
45566,52304
45611,52372
45631,52407
45635,52416
45644,52433
45658,52455
45668,52476
45671,52482
45686,52505
45717,52549
45827,54100
45828,54101
45829,54102
45830,54103
45831,54104
45832,54105
45833,54106
45834,54107
45835,54108
45836,54109
45837,54110
45838,54111
45839,54112
45840,54113
45841,54114
45842,54115
45843,54116
45844,54117
45845,54118
45846,54119
45847,54120
45848,54122
45849,54123
45850,54124
45851,54125
45852,54126
45853,54130
45854,54131
45855,54133
45856,54134
45857,54135
45858,54136
45859,54137
45860,54138
45861,54139
45862,54141
45863,54142
45864,54143
45865,54144
45866,54145
45867,54146
45868,54147
45869,54148
45870,54150
45871,54151
45872,54152
45873,54153
45874,54154
45875,54155
45876,54156
45877,54157
45878,54158
45879,54159
45880,54160
45881,54161
45882,54162
45883,54163
45884,54164
45885,54165
45886,54167
45887,54169
45888,54171
45889,54172
45890,54173
45891,54174
45892,54175
45893,54176
45894,54177
45895,54178
45896,54180
45897,54181
45898,54182
45899,54183
45900,54184
45901,54185
45902,54187
45903,54189
45904,54190
45905,54191
45906,54193
45907,54194
45908,54195
45909,54196
45910,54197
45911,54198
45912,54199
45913,54200
45914,54201
45915,54202
45916,54203
45917,54204
45918,54206
45919,54207
45920,54208
45921,54209
45922,54210
45923,54211
45924,54212
45925,54213
45926,54214
45927,54215
45928,54216
45929,54217
45930,54218
45931,54219
45932,54220
45933,54221
45934,54222
45935,54223
45936,54225
45937,54227
45938,54228
45939,54229
45940,54231
45941,54232
45942,54233
45943,54235
45944,54237
45945,54238
45946,54239
45947,54240
45948,54243
45949,54244
45950,54245
45951,54246
45952,54247
45953,54248
45954,54249
45955,54251
45956,54252
45957,54253
45958,54254
45959,54255
45960,54256
45961,54257
45962,54258
45963,54259
45964,54260
45965,54261
45966,54262
45967,54263
45968,54264
45969,54266
45970,54268
45971,54269
45972,54270
45973,54272
45974,54273
45975,54274
45976,54275
45977,54276
45978,54277
45979,54278
45980,54279
45981,54281
45982,54282
45983,54283
45984,54284
45985,54285
45986,54286
45987,54287
45988,54288
45989,54290
45990,54292
45991,54293
45992,54294
45993,54295
45994,54296
45995,54297
45996,54298
45997,54299
45998,54300
45999,54301
46000,54302
46001,54303
46002,54304
46003,54305
46004,54307
46005,54308
46006,54309
46007,54310
46008,54311
46009,54312
46010,54313
46011,54314
46012,54315
46013,54317
46014,54318
46015,54320
46016,54321
46017,54323
46018,54324
46019,54325
46020,54326
46021,54327
46022,54328
46023,54330
46024,54331
46025,54332
46026,54333
46027,54335
46028,54337
46029,54338
46030,54339
46031,54340
46034,54344
46035,54345
46036,54346
46037,54348
46038,54349
46039,54350
46040,54351
46041,54353
46042,54354
46043,54356
46044,54357
46045,54358
46046,54359
46047,54360
46048,54362
46049,54363
46050,54364
46051,54365
46052,54366
46053,54367
46054,54368
46055,54369
46056,54370
46057,54371
46058,54373
46059,54374
46060,54375
46061,54376
46062,54378
46063,54379
46064,54380
46065,54381
46066,54382
46067,54383
46068,54385
46069,54386
46070,54387
46071,54388
46072,54389
46073,54391
46074,54392
46075,54393
46076,54394
46077,54396
46078,54397
46079,54398
46080,54399
46081,54401
46082,54402
46083,54403
46084,54404
46085,54405
46086,54406
46087,54407
46088,54408
46089,54409
46090,54410
46091,54411
46092,54413
46093,54415
46094,54416
46095,54417
46096,54418
46097,54419
46098,54421
46099,54422
46100,54423
46101,54424
46102,54425
46103,54427
46104,54429
46105,54430
46106,54432
46107,54433
46108,54434
46109,54436
46110,54437
46111,54438
46112,54439
46113,54440
46114,54441
46115,54445
46116,54446
46117,54447
46118,54449
46119,54450
46120,54451
46121,54452
46122,54453
46123,54455
46124,54456
46125,54459
46126,54460
46127,54462
46128,54463
46129,54464
46130,54465
46131,54466
46132,54467
46133,54468
46134,54470
46135,54471
46136,54472
46137,54473
46138,54474
46139,54477
46140,54478
46141,54479
46142,54481
46143,54482
46144,54483
46145,54484
46146,54485
46147,54488
46148,54489
46149,54490
46150,54492
46151,54493
46152,54494
46153,54495
46154,54496
46155,54497
46156,54498
46157,54499
46158,54500
46159,54502
46160,54504
46161,54505
46162,54507
46163,54509
46164,54510
46165,54511
46166,54512
46167,54513
46168,54514
46169,54517
46170,54519
46171,54520
46172,54522
46173,54523
46174,54524
46175,54525
46176,54526
46177,54527
46178,54529
46179,54530
46180,54531
46181,54532
46182,54533
46183,54534
46184,54536
46185,54538
46186,54539
46187,54540
46188,54541
46189,54544
46190,54545
46191,54546
46192,54548
46193,54549
46194,54550
46195,54551
46196,54554
46197,54555
46198,54556
46199,54557
46200,54558
46201,54559
46202,54560
46203,54561
46204,54562
46205,54563
46206,54564
46207,54566
46208,54567
46209,54568
46210,54569
46211,54570
46212,54571
46213,54573
46214,54574
46215,54575
46216,54577
46217,54578
46218,54579
46219,54581
46220,54582
46221,54583
46222,54584
46223,54585
46224,54586
46225,54587
46226,54588
46227,54589
46228,54590
46229,54591
46230,54592
46231,54593
46232,54594
46233,54595
46234,54596
46235,54597
46236,54598
46237,54599
46238,54601
46239,55100
46241,55102
46243,55105
46244,55106
46245,55107
46247,55109
46248,55110
46249,55111
46251,55115
46254,55121
46255,55122
46256,55124
46258,55127
46263,55137
46264,55140
46268,55146
46269,55149
46271,55153
46272,55154
46274,55156
46275,55157
46276,55158
46277,55159
46278,55160
46279,55163
46280,55165
46281,55166
46282,55167
46283,55168
46285,55171
46286,55173
46291,55180
46292,55181
46293,55182
46294,55183
46295,55184
46296,55188
46297,55193
46300,55196
46301,55197
46302,55198
46304,55200
46305,55201
46307,55204
46308,55206
46311,55211
46312,55212
46315,55216
46316,55217
46317,55219
46318,55220
46320,55222
46322,55225
46323,55226
46324,55228
46325,55229
46326,55236
46327,55237
46328,55241
46329,55242
46330,55243
46331,55244
46332,55245
46336,55250
46338,55252
46339,55255
46340,55256
46343,55262
46344,55265
46346,55268
46347,55269
46350,55274
46351,55275
46352,55278
46353,55279
46354,55280
46358,55286
46359,55288
46363,55292
46364,55293
46367,55297
46371,55303
46373,55306
46374,55310
46375,55311
46376,55312
46378,55317
46379,55320
46380,55321
46382,55323
46383,55325
46384,55327
46385,55328
46386,55329
46390,55333
46391,55334
46393,55336
46394,55338
46395,55339
46398,55345
46400,55349
46401,55350
46403,55353
46404,55355
46405,55356
46406,55357
46408,55360
46409,55363
46410,55364
46411,55365
46412,55367
46413,55368
46419,55375
46421,55377
46424,55381
46428,55387
46430,55391
46432,55396
46433,55397
46434,55398
46435,55400
46436,55403
46438,55405
46439,55406
46440,55407
46441,55408
46443,55410
46444,55412
46446,55415
46449,55420
46451,55422
46455,55428
46456,55429
46458,55431
46459,55433
46460,55434
46462,55437
46463,55438
46464,55439
46465,55443
46466,55444
46467,55445
46469,55448
46470,55449
46474,55456
46475,55457
46476,55458
46478,55460
46479,55461
46480,55462
46482,55468
46483,55469
46485,55471
46486,55474
46487,55475
46490,55481
