,admin4
19474,66001
34174,66106
34177,04245
34181,38331
34184,74309
34189,74097
34193,25103
34194,26283
34214,73180
34215,74173
34218,04096
34219,07072
34221,26012
34222,26078
34223,34040
34224,71033
34227,01349
34228,01405
34236,26358
34239,34124
34240,34184
34241,39153
34260,66197
34261,70494
34262,74175
34267,01042
34268,11027
34269,26027
34270,30016
34274,69047
34276,84085
34277,38006
34278,01102
34286,30010
34287,34003
34288,38545
34294,66123
34295,70520
34297,73155
34298,01103
34299,01104
34300,01106
34301,01107
34302,01110
34303,01111
34304,01113
34305,01114
34306,01115
34307,01116
34308,01117
34309,01118
34310,01121
34312,01123
34313,01125
34314,01127
34315,01129
34316,01130
34317,01133
34318,01134
34319,01136
34320,01138
34321,01139
34322,01140
34323,01142
34324,01143
34325,01145
34326,01146
34327,01147
34328,01149
34329,01150
34330,01151
34331,01153
34333,01155
34334,01157
34335,01159
34336,01162
34337,01163
34338,01165
34339,01166
34340,01167
34341,01169
34342,01170
34343,01171
34344,01173
34345,01174
34346,01175
34347,01177
34348,01179
34349,01180
34350,01181
34352,01183
34353,01185
34355,01187
34356,01188
34357,01190
34358,01191
34359,01192
34360,01193
34361,01194
34362,01195
34363,01196
34364,01197
34365,01199
34366,01202
34367,01203
34368,01204
34370,01206
34371,01208
34372,01209
34373,01211
34374,01212
34375,01213
34376,01214
34377,01216
34379,01219
34381,01225
34382,01227
34383,01228
34384,01229
34385,01230
34386,01231
34387,01232
34388,01233
34389,01235
34390,01236
34391,01237
34392,01238
34393,01241
34394,01242
34395,01244
34396,01246
34397,01248
34398,01250
34399,01252
34400,01254
34401,01257
34402,01258
34403,01259
34404,01261
34405,01262
34406,01264
34407,01266
34408,01268
34409,01269
34410,01272
34411,01273
34412,01277
34413,01279
34414,01280
34415,01281
34416,01282
34417,01283
34418,01284
34419,01285
34420,01286
34421,01288
34422,01289
34423,01290
34424,01291
34425,01293
34426,01295
34427,01298
34428,01301
34429,01302
34430,01303
34431,01304
34432,01305
34433,01306
34434,01308
34435,01310
34436,01311
34438,01314
34440,01317
34441,01318
34442,01319
34443,01320
34444,01321
34445,01322
